,AT,DE,PL,SK,sum
2022-01-01 00:00:00+00:00,790.0,1088.0,0.0,684.0,2562.0
2022-01-01 01:00:00+00:00,609.0,1116.0,0.0,446.0,2171.0
2022-01-01 02:00:00+00:00,576.0,1208.0,0.0,329.0,2113.0
2022-01-01 03:00:00+00:00,531.0,1182.0,0.0,295.0,2008.0
2022-01-01 04:00:00+00:00,515.0,1207.0,0.0,188.0,1910.0
2022-01-01 05:00:00+00:00,583.0,1409.0,0.0,115.0,2107.0
2022-01-01 06:00:00+00:00,715.0,1782.0,0.0,0.0,2497.0
2022-01-01 07:00:00+00:00,752.0,1646.0,0.0,25.0,2423.0
2022-01-01 08:00:00+00:00,758.0,1521.0,0.0,4.0,2283.0
2022-01-01 09:00:00+00:00,603.0,1044.0,0.0,33.0,1680.0
2022-01-01 10:00:00+00:00,293.0,904.0,146.0,12.0,1355.0
2022-01-01 11:00:00+00:00,263.0,975.0,87.0,1.0,1326.0
2022-01-01 12:00:00+00:00,212.0,858.0,144.0,0.0,1214.0
2022-01-01 13:00:00+00:00,342.0,695.0,144.0,11.0,1192.0
2022-01-01 14:00:00+00:00,581.0,598.0,0.0,159.0,1338.0
2022-01-01 15:00:00+00:00,858.0,662.0,70.0,519.0,2109.0
2022-01-01 16:00:00+00:00,1054.0,841.0,0.0,584.0,2479.0
2022-01-01 17:00:00+00:00,1119.0,835.0,0.0,664.0,2618.0
2022-01-01 18:00:00+00:00,1229.0,902.0,0.0,824.0,2955.0
2022-01-01 19:00:00+00:00,1193.0,852.0,0.0,831.0,2876.0
2022-01-01 20:00:00+00:00,1229.0,859.0,0.0,838.0,2926.0
2022-01-01 21:00:00+00:00,1358.0,999.0,0.0,684.0,3041.0
2022-01-01 22:00:00+00:00,1273.0,829.0,0.0,614.0,2716.0
2022-01-01 23:00:00+00:00,1658.0,860.0,0.0,946.0,3464.0
2022-01-02 00:00:00+00:00,1626.0,932.0,0.0,914.0,3472.0
2022-01-02 01:00:00+00:00,1354.0,719.0,0.0,597.0,2670.0
2022-01-02 02:00:00+00:00,1213.0,624.0,0.0,495.0,2332.0
2022-01-02 03:00:00+00:00,1194.0,599.0,0.0,457.0,2250.0
2022-01-02 04:00:00+00:00,1183.0,611.0,0.0,446.0,2240.0
2022-01-02 05:00:00+00:00,1176.0,617.0,0.0,459.0,2252.0
2022-01-02 06:00:00+00:00,1248.0,623.0,0.0,555.0,2426.0
2022-01-02 07:00:00+00:00,1393.0,548.0,0.0,928.0,2869.0
2022-01-02 08:00:00+00:00,1454.0,479.0,0.0,1149.0,3082.0
2022-01-02 09:00:00+00:00,1379.0,221.0,0.0,1246.0,2846.0
2022-01-02 10:00:00+00:00,1335.0,3.0,0.0,1445.0,2783.0
2022-01-02 11:00:00+00:00,1334.0,0.0,0.0,1424.0,2758.0
2022-01-02 12:00:00+00:00,1339.0,3.0,0.0,1487.0,2829.0
2022-01-02 13:00:00+00:00,1418.0,0.0,0.0,1608.0,3026.0
2022-01-02 14:00:00+00:00,1485.0,129.0,0.0,1715.0,3329.0
2022-01-02 15:00:00+00:00,1635.0,222.0,0.0,2038.0,3895.0
2022-01-02 16:00:00+00:00,1740.0,289.0,0.0,2014.0,4043.0
2022-01-02 17:00:00+00:00,1656.0,247.0,0.0,1915.0,3818.0
2022-01-02 18:00:00+00:00,1627.0,226.0,0.0,1916.0,3769.0
2022-01-02 19:00:00+00:00,1529.0,216.0,0.0,1779.0,3524.0
2022-01-02 20:00:00+00:00,1428.0,220.0,0.0,1649.0,3297.0
2022-01-02 21:00:00+00:00,1504.0,332.0,0.0,1395.0,3231.0
2022-01-02 22:00:00+00:00,1321.0,303.0,0.0,1221.0,2845.0
2022-01-02 23:00:00+00:00,1230.0,329.0,0.0,1034.0,2593.0
2022-01-03 00:00:00+00:00,843.0,244.0,0.0,685.0,1772.0
2022-01-03 01:00:00+00:00,728.0,249.0,0.0,643.0,1620.0
2022-01-03 02:00:00+00:00,682.0,286.0,0.0,601.0,1569.0
2022-01-03 03:00:00+00:00,713.0,328.0,0.0,635.0,1676.0
2022-01-03 04:00:00+00:00,962.0,416.0,0.0,947.0,2325.0
2022-01-03 05:00:00+00:00,1109.0,397.0,0.0,1407.0,2913.0
2022-01-03 06:00:00+00:00,1022.0,454.0,0.0,1301.0,2777.0
2022-01-03 07:00:00+00:00,1173.0,508.0,0.0,1375.0,3056.0
2022-01-03 08:00:00+00:00,1338.0,455.0,0.0,1492.0,3285.0
2022-01-03 09:00:00+00:00,1271.0,459.0,0.0,1437.0,3167.0
2022-01-03 10:00:00+00:00,1245.0,506.0,0.0,1449.0,3200.0
2022-01-03 11:00:00+00:00,1175.0,523.0,0.0,1408.0,3106.0
2022-01-03 12:00:00+00:00,1205.0,506.0,0.0,1318.0,3029.0
2022-01-03 13:00:00+00:00,1264.0,460.0,0.0,1365.0,3089.0
2022-01-03 14:00:00+00:00,1239.0,432.0,0.0,1337.0,3008.0
2022-01-03 15:00:00+00:00,1454.0,433.0,0.0,1581.0,3468.0
2022-01-03 16:00:00+00:00,1616.0,529.0,0.0,1474.0,3619.0
2022-01-03 17:00:00+00:00,1628.0,585.0,0.0,1412.0,3625.0
2022-01-03 18:00:00+00:00,1625.0,569.0,0.0,1473.0,3667.0
2022-01-03 19:00:00+00:00,1596.0,540.0,0.0,1478.0,3614.0
2022-01-03 20:00:00+00:00,1686.0,684.0,0.0,1333.0,3703.0
2022-01-03 21:00:00+00:00,1622.0,840.0,0.0,1129.0,3591.0
2022-01-03 22:00:00+00:00,1537.0,914.0,0.0,1098.0,3549.0
2022-01-03 23:00:00+00:00,1622.0,890.0,0.0,1377.0,3889.0
2022-01-04 00:00:00+00:00,1358.0,760.0,0.0,1134.0,3252.0
2022-01-04 01:00:00+00:00,1285.0,804.0,0.0,954.0,3043.0
2022-01-04 02:00:00+00:00,1206.0,804.0,0.0,864.0,2874.0
2022-01-04 03:00:00+00:00,1283.0,759.0,0.0,1005.0,3047.0
2022-01-04 04:00:00+00:00,1594.0,883.0,0.0,1269.0,3746.0
2022-01-04 05:00:00+00:00,1556.0,574.0,0.0,1563.0,3693.0
2022-01-04 06:00:00+00:00,1480.0,644.0,0.0,1589.0,3713.0
2022-01-04 07:00:00+00:00,1487.0,817.0,0.0,1450.0,3754.0
2022-01-04 08:00:00+00:00,1480.0,796.0,0.0,1318.0,3594.0
2022-01-04 09:00:00+00:00,1435.0,622.0,0.0,1349.0,3406.0
2022-01-04 10:00:00+00:00,1470.0,747.0,0.0,1405.0,3622.0
2022-01-04 11:00:00+00:00,1390.0,664.0,0.0,1430.0,3484.0
2022-01-04 12:00:00+00:00,1329.0,623.0,0.0,1410.0,3362.0
2022-01-04 13:00:00+00:00,1165.0,804.0,0.0,1323.0,3292.0
2022-01-04 14:00:00+00:00,1031.0,960.0,0.0,1172.0,3163.0
2022-01-04 15:00:00+00:00,1206.0,846.0,0.0,1374.0,3426.0
2022-01-04 16:00:00+00:00,1297.0,999.0,0.0,1270.0,3566.0
2022-01-04 17:00:00+00:00,1452.0,1201.0,0.0,1309.0,3962.0
2022-01-04 18:00:00+00:00,1449.0,1183.0,0.0,1420.0,4052.0
2022-01-04 19:00:00+00:00,1462.0,1221.0,0.0,1339.0,4022.0
2022-01-04 20:00:00+00:00,1414.0,1223.0,0.0,1161.0,3798.0
2022-01-04 21:00:00+00:00,1518.0,1259.0,0.0,1052.0,3829.0
2022-01-04 22:00:00+00:00,1578.0,1178.0,0.0,1135.0,3891.0
2022-01-04 23:00:00+00:00,1609.0,1117.0,0.0,833.0,3559.0
2022-01-05 00:00:00+00:00,1414.0,890.0,0.0,744.0,3048.0
2022-01-05 01:00:00+00:00,1314.0,743.0,0.0,655.0,2712.0
