,NO,FI,DK,DE,PL,LT,sum
2022-01-01 00:00:00+00:00,1124.0,1679.0,400.0,30.0,498.0,592.0,4323.0
2022-01-01 01:00:00+00:00,955.0,1459.0,393.0,46.0,498.0,576.0,3927.0
2022-01-01 02:00:00+00:00,819.0,1109.0,293.0,473.0,498.0,681.0,3873.0
2022-01-01 03:00:00+00:00,1074.0,1091.0,302.0,94.0,498.0,734.0,3793.0
2022-01-01 04:00:00+00:00,971.0,1036.0,165.0,0.0,501.0,726.0,3399.0
2022-01-01 05:00:00+00:00,1195.0,1047.0,111.0,0.0,598.0,412.0,3363.0
2022-01-01 06:00:00+00:00,1333.0,1022.0,219.0,0.0,598.0,429.0,3601.0
2022-01-01 07:00:00+00:00,1112.0,1258.0,229.0,0.0,587.0,231.0,3417.0
2022-01-01 08:00:00+00:00,669.0,1287.0,349.0,0.0,414.0,95.0,2814.0
2022-01-01 09:00:00+00:00,488.0,1364.0,1011.0,0.0,16.0,0.0,2879.0
2022-01-01 10:00:00+00:00,452.0,1462.0,717.0,0.0,0.0,62.0,2693.0
2022-01-01 11:00:00+00:00,587.0,1448.0,945.0,0.0,0.0,0.0,2980.0
2022-01-01 12:00:00+00:00,784.0,1422.0,844.0,0.0,0.0,0.0,3050.0
2022-01-01 13:00:00+00:00,696.0,1466.0,594.0,0.0,0.0,0.0,2756.0
2022-01-01 14:00:00+00:00,605.0,1744.0,247.0,0.0,0.0,218.0,2814.0
2022-01-01 15:00:00+00:00,882.0,1820.0,227.0,0.0,0.0,249.0,3178.0
2022-01-01 16:00:00+00:00,1035.0,2059.0,4.0,0.0,103.0,448.0,3649.0
2022-01-01 17:00:00+00:00,1174.0,2100.0,0.0,0.0,575.0,527.0,4376.0
2022-01-01 18:00:00+00:00,1548.0,2443.0,0.0,0.0,598.0,730.0,5319.0
2022-01-01 19:00:00+00:00,1514.0,2624.0,190.0,0.0,598.0,733.0,5659.0
2022-01-01 20:00:00+00:00,1510.0,2641.0,241.0,0.0,598.0,734.0,5724.0
2022-01-01 21:00:00+00:00,1439.0,2644.0,384.0,231.0,598.0,734.0,6030.0
2022-01-01 22:00:00+00:00,1034.0,2452.0,698.0,465.0,598.0,734.0,5981.0
2022-01-01 23:00:00+00:00,1291.0,2248.0,830.0,550.0,598.0,734.0,6251.0
2022-01-02 00:00:00+00:00,1253.0,2427.0,778.0,604.0,597.0,734.0,6393.0
2022-01-02 01:00:00+00:00,1362.0,2409.0,521.0,604.0,582.0,734.0,6212.0
2022-01-02 02:00:00+00:00,1581.0,2540.0,8.0,372.0,598.0,734.0,5833.0
2022-01-02 03:00:00+00:00,1819.0,2486.0,0.0,39.0,597.0,734.0,5675.0
2022-01-02 04:00:00+00:00,2027.0,2427.0,0.0,0.0,586.0,734.0,5774.0
2022-01-02 05:00:00+00:00,2070.0,2335.0,0.0,0.0,589.0,734.0,5728.0
2022-01-02 06:00:00+00:00,1631.0,2389.0,0.0,0.0,598.0,734.0,5352.0
2022-01-02 07:00:00+00:00,1597.0,2336.0,0.0,0.0,598.0,734.0,5265.0
2022-01-02 08:00:00+00:00,1544.0,2209.0,155.0,0.0,598.0,734.0,5240.0
2022-01-02 09:00:00+00:00,1168.0,2547.0,139.0,0.0,598.0,734.0,5186.0
2022-01-02 10:00:00+00:00,964.0,2584.0,14.0,0.0,577.0,734.0,4873.0
2022-01-02 11:00:00+00:00,915.0,2476.0,301.0,0.0,318.0,726.0,4736.0
2022-01-02 12:00:00+00:00,860.0,2593.0,158.0,0.0,307.0,612.0,4530.0
2022-01-02 13:00:00+00:00,867.0,2556.0,325.0,0.0,578.0,734.0,5060.0
2022-01-02 14:00:00+00:00,693.0,2511.0,244.0,0.0,439.0,734.0,4621.0
2022-01-02 15:00:00+00:00,729.0,2262.0,157.0,0.0,394.0,614.0,4156.0
2022-01-02 16:00:00+00:00,911.0,1889.0,243.0,0.0,198.0,687.0,3928.0
2022-01-02 17:00:00+00:00,747.0,2009.0,250.0,0.0,233.0,604.0,3843.0
2022-01-02 18:00:00+00:00,636.0,2078.0,246.0,0.0,463.0,713.0,4136.0
2022-01-02 19:00:00+00:00,523.0,2138.0,247.0,0.0,484.0,720.0,4112.0
2022-01-02 20:00:00+00:00,296.0,2466.0,213.0,0.0,76.0,426.0,3477.0
2022-01-02 21:00:00+00:00,166.0,2434.0,9.0,0.0,542.0,722.0,3873.0
2022-01-02 22:00:00+00:00,413.0,2362.0,0.0,0.0,24.0,734.0,3533.0
2022-01-02 23:00:00+00:00,1057.0,1867.0,0.0,0.0,0.0,734.0,3658.0
2022-01-03 00:00:00+00:00,1559.0,1480.0,0.0,0.0,0.0,734.0,3773.0
2022-01-03 01:00:00+00:00,1661.0,1487.0,0.0,0.0,0.0,734.0,3882.0
2022-01-03 02:00:00+00:00,1474.0,1612.0,0.0,0.0,0.0,734.0,3820.0
2022-01-03 03:00:00+00:00,1463.0,1877.0,0.0,0.0,0.0,734.0,4074.0
2022-01-03 04:00:00+00:00,927.0,2484.0,0.0,0.0,18.0,734.0,4163.0
2022-01-03 05:00:00+00:00,446.0,2581.0,0.0,0.0,565.0,734.0,4326.0
2022-01-03 06:00:00+00:00,260.0,2492.0,8.0,0.0,599.0,734.0,4093.0
2022-01-03 07:00:00+00:00,150.0,2378.0,0.0,0.0,599.0,734.0,3861.0
2022-01-03 08:00:00+00:00,304.0,2433.0,0.0,0.0,599.0,734.0,4070.0
2022-01-03 09:00:00+00:00,357.0,2386.0,0.0,0.0,599.0,734.0,4076.0
2022-01-03 10:00:00+00:00,206.0,2499.0,30.0,0.0,599.0,734.0,4068.0
2022-01-03 11:00:00+00:00,423.0,2655.0,0.0,0.0,599.0,734.0,4411.0
2022-01-03 12:00:00+00:00,438.0,2682.0,0.0,0.0,599.0,734.0,4453.0
2022-01-03 13:00:00+00:00,355.0,2610.0,0.0,0.0,599.0,734.0,4298.0
2022-01-03 14:00:00+00:00,354.0,2622.0,0.0,0.0,599.0,734.0,4309.0
2022-01-03 15:00:00+00:00,367.0,2499.0,0.0,182.0,598.0,734.0,4380.0
2022-01-03 16:00:00+00:00,402.0,2483.0,0.0,303.0,598.0,725.0,4511.0
2022-01-03 17:00:00+00:00,634.0,2576.0,0.0,172.0,598.0,693.0,4673.0
2022-01-03 18:00:00+00:00,487.0,2676.0,110.0,230.0,598.0,733.0,4834.0
2022-01-03 19:00:00+00:00,668.0,2685.0,242.0,306.0,598.0,734.0,5233.0
2022-01-03 20:00:00+00:00,659.0,2660.0,469.0,309.0,598.0,734.0,5429.0
2022-01-03 21:00:00+00:00,724.0,2627.0,478.0,575.0,598.0,734.0,5736.0
2022-01-03 22:00:00+00:00,722.0,2573.0,601.0,605.0,596.0,734.0,5831.0
2022-01-03 23:00:00+00:00,523.0,2589.0,743.0,605.0,533.0,734.0,5727.0
2022-01-04 00:00:00+00:00,681.0,2658.0,664.0,605.0,429.0,734.0,5771.0
2022-01-04 01:00:00+00:00,543.0,2571.0,1038.0,605.0,489.0,734.0,5980.0
2022-01-04 02:00:00+00:00,481.0,2557.0,1086.0,605.0,568.0,734.0,6031.0
2022-01-04 03:00:00+00:00,398.0,2466.0,1355.0,605.0,593.0,730.0,6147.0
2022-01-04 04:00:00+00:00,269.0,2397.0,1560.0,604.0,403.0,610.0,5843.0
2022-01-04 05:00:00+00:00,82.0,2214.0,1363.0,604.0,597.0,232.0,5092.0
2022-01-04 06:00:00+00:00,0.0,2157.0,1109.0,111.0,599.0,348.0,4324.0
2022-01-04 07:00:00+00:00,0.0,1959.0,1419.0,279.0,592.0,185.0,4434.0
2022-01-04 08:00:00+00:00,0.0,1782.0,1429.0,307.0,483.0,203.0,4204.0
2022-01-04 09:00:00+00:00,0.0,1704.0,1445.0,273.0,594.0,243.0,4259.0
2022-01-04 10:00:00+00:00,0.0,1651.0,1391.0,250.0,598.0,313.0,4203.0
2022-01-04 11:00:00+00:00,0.0,1764.0,1283.0,62.0,598.0,571.0,4278.0
2022-01-04 12:00:00+00:00,0.0,1589.0,1390.0,47.0,599.0,636.0,4261.0
2022-01-04 13:00:00+00:00,0.0,1690.0,1203.0,47.0,598.0,684.0,4222.0
2022-01-04 14:00:00+00:00,0.0,1780.0,965.0,0.0,598.0,715.0,4058.0
2022-01-04 15:00:00+00:00,0.0,1850.0,1156.0,0.0,598.0,545.0,4149.0
