,BE,DE,UK,NO,DK,sum
2023-01-01 00:00:00+00:00,1312.0,21.0,0.0,649.0,575.0,2557.0
2023-01-01 00:15:00+00:00,,1.0,0.0,,,1.0
2023-01-01 00:30:00+00:00,,0.0,0.0,,,0.0
2023-01-01 00:45:00+00:00,,41.0,0.0,,,41.0
2023-01-01 01:00:00+00:00,485.0,885.0,0.0,649.0,619.0,2638.0
2023-01-01 01:15:00+00:00,,1069.0,0.0,,,1069.0
2023-01-01 01:30:00+00:00,,1047.0,0.0,,,1047.0
2023-01-01 01:45:00+00:00,,1127.0,0.0,,,1127.0
2023-01-01 02:00:00+00:00,33.0,1251.0,0.0,649.0,604.0,2537.0
2023-01-01 02:15:00+00:00,,1298.0,0.0,,,1298.0
2023-01-01 02:30:00+00:00,,1377.0,0.0,,,1377.0
2023-01-01 02:45:00+00:00,,1344.0,0.0,,,1344.0
2023-01-01 03:00:00+00:00,0.0,1416.0,0.0,649.0,580.0,2645.0
2023-01-01 03:15:00+00:00,,1428.0,0.0,,,1428.0
2023-01-01 03:30:00+00:00,,1468.0,0.0,,,1468.0
2023-01-01 03:45:00+00:00,,1472.0,0.0,,,1472.0
2023-01-01 04:00:00+00:00,268.0,1154.0,0.0,649.0,670.0,2741.0
2023-01-01 04:15:00+00:00,,1168.0,0.0,,,1168.0
2023-01-01 04:30:00+00:00,,1122.0,0.0,,,1122.0
2023-01-01 04:45:00+00:00,,1110.0,0.0,,,1110.0
2023-01-01 05:00:00+00:00,93.0,1373.0,0.0,649.0,692.0,2807.0
2023-01-01 05:15:00+00:00,,1421.0,0.0,,,1421.0
2023-01-01 05:30:00+00:00,,1436.0,0.0,,,1436.0
2023-01-01 05:45:00+00:00,,1457.0,0.0,,,1457.0
2023-01-01 06:00:00+00:00,505.0,1127.0,0.0,649.0,571.0,2852.0
2023-01-01 06:15:00+00:00,,1116.0,0.0,,,1116.0
2023-01-01 06:30:00+00:00,,1156.0,0.0,,,1156.0
2023-01-01 06:45:00+00:00,,1024.0,0.0,,,1024.0
2023-01-01 07:00:00+00:00,587.0,1063.0,0.0,649.0,680.0,2979.0
2023-01-01 07:15:00+00:00,,1035.0,0.0,,,1035.0
2023-01-01 07:30:00+00:00,,1008.0,0.0,,,1008.0
2023-01-01 07:45:00+00:00,,979.0,0.0,,,979.0
2023-01-01 08:00:00+00:00,211.0,1059.0,0.0,649.0,253.0,2172.0
2023-01-01 08:15:00+00:00,,1205.0,0.0,,,1205.0
2023-01-01 08:30:00+00:00,,1182.0,0.0,,,1182.0
2023-01-01 08:45:00+00:00,,1204.0,0.0,,,1204.0
2023-01-01 09:00:00+00:00,0.0,1148.0,168.0,649.0,0.0,1965.0
2023-01-01 09:15:00+00:00,,1276.0,168.0,,,1444.0
2023-01-01 09:30:00+00:00,,1434.0,168.0,,,1602.0
2023-01-01 09:45:00+00:00,,1332.0,295.0,,,1627.0
2023-01-01 10:00:00+00:00,100.0,490.0,1024.0,649.0,0.0,2263.0
2023-01-01 10:15:00+00:00,,419.0,1025.0,,,1444.0
2023-01-01 10:30:00+00:00,,313.0,1024.0,,,1337.0
2023-01-01 10:45:00+00:00,,226.0,1024.0,,,1250.0
2023-01-01 11:00:00+00:00,0.0,446.0,1024.0,649.0,0.0,2119.0
2023-01-01 11:15:00+00:00,,310.0,1024.0,,,1334.0
2023-01-01 11:30:00+00:00,,323.0,1025.0,,,1348.0
2023-01-01 11:45:00+00:00,,326.0,1025.0,,,1351.0
2023-01-01 12:00:00+00:00,0.0,210.0,1024.0,649.0,3.0,1886.0
2023-01-01 12:15:00+00:00,,203.0,1024.0,,,1227.0
2023-01-01 12:30:00+00:00,,159.0,1025.0,,,1184.0
2023-01-01 12:45:00+00:00,,153.0,1024.0,,,1177.0
2023-01-01 13:00:00+00:00,0.0,230.0,1024.0,648.0,0.0,1902.0
2023-01-01 13:15:00+00:00,,210.0,1025.0,,,1235.0
2023-01-01 13:30:00+00:00,,334.0,1024.0,,,1358.0
2023-01-01 13:45:00+00:00,,410.0,1024.0,,,1434.0
2023-01-01 14:00:00+00:00,0.0,108.0,1025.0,613.0,0.0,1746.0
2023-01-01 14:15:00+00:00,,0.0,1024.0,,,1024.0
2023-01-01 14:30:00+00:00,,0.0,1025.0,,,1025.0
2023-01-01 14:45:00+00:00,,0.0,1024.0,,,1024.0
2023-01-01 15:00:00+00:00,0.0,0.0,1025.0,399.0,0.0,1424.0
2023-01-01 15:15:00+00:00,,0.0,1025.0,,,1025.0
2023-01-01 15:30:00+00:00,,0.0,1025.0,,,1025.0
2023-01-01 15:45:00+00:00,,0.0,1024.0,,,1024.0
2023-01-01 16:00:00+00:00,0.0,0.0,1025.0,89.0,0.0,1114.0
2023-01-01 16:15:00+00:00,,0.0,1025.0,,,1025.0
2023-01-01 16:30:00+00:00,,0.0,1025.0,,,1025.0
2023-01-01 16:45:00+00:00,,0.0,981.0,,,981.0
2023-01-01 17:00:00+00:00,0.0,0.0,888.0,0.0,0.0,888.0
2023-01-01 17:15:00+00:00,,0.0,887.0,,,887.0
2023-01-01 17:30:00+00:00,,0.0,887.0,,,887.0
2023-01-01 17:45:00+00:00,,0.0,929.0,,,929.0
2023-01-01 18:00:00+00:00,0.0,0.0,1019.0,0.0,0.0,1019.0
2023-01-01 18:15:00+00:00,,0.0,1019.0,,,1019.0
2023-01-01 18:30:00+00:00,,0.0,1020.0,,,1020.0
2023-01-01 18:45:00+00:00,,0.0,1021.0,,,1021.0
2023-01-01 19:00:00+00:00,0.0,0.0,1024.0,11.0,0.0,1035.0
2023-01-01 19:15:00+00:00,,0.0,1024.0,,,1024.0
2023-01-01 19:30:00+00:00,,0.0,1024.0,,,1024.0
2023-01-01 19:45:00+00:00,,0.0,1025.0,,,1025.0
2023-01-01 20:00:00+00:00,0.0,0.0,1019.0,278.0,0.0,1297.0
2023-01-01 20:15:00+00:00,,0.0,1019.0,,,1019.0
2023-01-01 20:30:00+00:00,,0.0,1019.0,,,1019.0
2023-01-01 20:45:00+00:00,,0.0,1021.0,,,1021.0
2023-01-01 21:00:00+00:00,0.0,0.0,1024.0,593.0,0.0,1617.0
2023-01-01 21:15:00+00:00,,0.0,1024.0,,,1024.0
2023-01-01 21:30:00+00:00,,0.0,1024.0,,,1024.0
2023-01-01 21:45:00+00:00,,0.0,1025.0,,,1025.0
2023-01-01 22:00:00+00:00,0.0,0.0,1025.0,649.0,0.0,1674.0
2023-01-01 22:15:00+00:00,,0.0,1024.0,,,1024.0
2023-01-01 22:30:00+00:00,,0.0,1025.0,,,1025.0
2023-01-01 22:45:00+00:00,,0.0,1024.0,,,1024.0
2023-01-01 23:00:00+00:00,0.0,1.0,1024.0,649.0,12.0,1686.0
2023-01-01 23:15:00+00:00,,0.0,1024.0,,,1024.0
2023-01-01 23:30:00+00:00,,31.0,1025.0,,,1056.0
2023-01-01 23:45:00+00:00,,151.0,1024.0,,,1175.0
2023-01-02 00:00:00+00:00,0.0,450.0,1024.0,649.0,0.0,2123.0
2023-01-02 00:15:00+00:00,,554.0,1024.0,,,1578.0
2023-01-02 00:30:00+00:00,,599.0,1024.0,,,1623.0
2023-01-02 00:45:00+00:00,,1023.0,1024.0,,,2047.0
2023-01-02 01:00:00+00:00,0.0,1022.0,1024.0,649.0,0.0,2695.0
2023-01-02 01:15:00+00:00,,1071.0,1024.0,,,2095.0
2023-01-02 01:30:00+00:00,,1098.0,1024.0,,,2122.0
2023-01-02 01:45:00+00:00,,1110.0,1024.0,,,2134.0
2023-01-02 02:00:00+00:00,0.0,974.0,1024.0,649.0,58.0,2705.0
2023-01-02 02:15:00+00:00,,913.0,1025.0,,,1938.0
2023-01-02 02:30:00+00:00,,864.0,1024.0,,,1888.0
2023-01-02 02:45:00+00:00,,844.0,1024.0,,,1868.0
2023-01-02 03:00:00+00:00,0.0,784.0,1025.0,649.0,83.0,2541.0
2023-01-02 03:15:00+00:00,,765.0,1024.0,,,1789.0
2023-01-02 03:30:00+00:00,,732.0,1024.0,,,1756.0
2023-01-02 03:45:00+00:00,,655.0,1025.0,,,1680.0
2023-01-02 04:00:00+00:00,0.0,631.0,1024.0,635.0,116.0,2406.0
2023-01-02 04:15:00+00:00,,567.0,1024.0,,,1591.0
2023-01-02 04:30:00+00:00,,549.0,1024.0,,,1573.0
2023-01-02 04:45:00+00:00,,351.0,865.0,,,1216.0
2023-01-02 05:00:00+00:00,0.0,269.0,566.0,306.0,98.0,1239.0
2023-01-02 05:15:00+00:00,,48.0,566.0,,,614.0
2023-01-02 05:30:00+00:00,,0.0,566.0,,,566.0
2023-01-02 05:45:00+00:00,,0.0,540.0,,,540.0
2023-01-02 06:00:00+00:00,0.0,0.0,486.0,0.0,0.0,486.0
2023-01-02 06:15:00+00:00,,0.0,486.0,,,486.0
2023-01-02 06:30:00+00:00,,0.0,486.0,,,486.0
2023-01-02 06:45:00+00:00,,0.0,485.0,,,485.0
2023-01-02 07:00:00+00:00,0.0,0.0,891.0,0.0,0.0,891.0
2023-01-02 07:15:00+00:00,,0.0,891.0,,,891.0
2023-01-02 07:30:00+00:00,,0.0,891.0,,,891.0
2023-01-02 07:45:00+00:00,,0.0,786.0,,,786.0
2023-01-02 08:00:00+00:00,0.0,0.0,567.0,0.0,0.0,567.0
2023-01-02 08:15:00+00:00,,0.0,568.0,,,568.0
2023-01-02 08:30:00+00:00,,0.0,568.0,,,568.0
2023-01-02 08:45:00+00:00,,0.0,568.0,,,568.0
2023-01-02 09:00:00+00:00,0.0,0.0,1021.0,0.0,0.0,1021.0
2023-01-02 09:15:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 09:30:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 09:45:00+00:00,,0.0,1023.0,,,1023.0
2023-01-02 10:00:00+00:00,0.0,0.0,1024.0,0.0,0.0,1024.0
2023-01-02 10:15:00+00:00,,0.0,1023.0,,,1023.0
2023-01-02 10:30:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 10:45:00+00:00,,0.0,978.0,,,978.0
2023-01-02 11:00:00+00:00,0.0,0.0,870.0,0.0,0.0,870.0
2023-01-02 11:15:00+00:00,,0.0,870.0,,,870.0
2023-01-02 11:30:00+00:00,,0.0,870.0,,,870.0
2023-01-02 11:45:00+00:00,,0.0,916.0,,,916.0
2023-01-02 12:00:00+00:00,0.0,0.0,1024.0,0.0,0.0,1024.0
2023-01-02 12:15:00+00:00,,0.0,1023.0,,,1023.0
2023-01-02 12:30:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 12:45:00+00:00,,0.0,989.0,,,989.0
2023-01-02 13:00:00+00:00,0.0,0.0,905.0,0.0,0.0,905.0
2023-01-02 13:15:00+00:00,,0.0,904.0,,,904.0
2023-01-02 13:30:00+00:00,,0.0,904.0,,,904.0
2023-01-02 13:45:00+00:00,,0.0,894.0,,,894.0
2023-01-02 14:00:00+00:00,0.0,0.0,841.0,0.0,0.0,841.0
2023-01-02 14:15:00+00:00,,0.0,841.0,,,841.0
2023-01-02 14:30:00+00:00,,0.0,841.0,,,841.0
2023-01-02 14:45:00+00:00,,0.0,842.0,,,842.0
2023-01-02 15:00:00+00:00,0.0,0.0,903.0,0.0,0.0,903.0
2023-01-02 15:15:00+00:00,,0.0,903.0,,,903.0
2023-01-02 15:30:00+00:00,,0.0,903.0,,,903.0
2023-01-02 15:45:00+00:00,,0.0,829.0,,,829.0
2023-01-02 16:00:00+00:00,0.0,0.0,682.0,0.0,0.0,682.0
2023-01-02 16:15:00+00:00,,0.0,681.0,,,681.0
2023-01-02 16:30:00+00:00,,0.0,681.0,,,681.0
2023-01-02 16:45:00+00:00,,0.0,739.0,,,739.0
2023-01-02 17:00:00+00:00,354.0,0.0,1024.0,0.0,0.0,1378.0
2023-01-02 17:15:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 17:30:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 17:45:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 18:00:00+00:00,1141.0,0.0,1024.0,0.0,0.0,2165.0
2023-01-02 18:15:00+00:00,,0.0,1025.0,,,1025.0
2023-01-02 18:30:00+00:00,,0.0,1025.0,,,1025.0
2023-01-02 18:45:00+00:00,,0.0,1025.0,,,1025.0
2023-01-02 19:00:00+00:00,1423.0,0.0,1025.0,0.0,0.0,2448.0
2023-01-02 19:15:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 19:30:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 19:45:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 20:00:00+00:00,1759.0,0.0,1025.0,0.0,0.0,2784.0
2023-01-02 20:15:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 20:30:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 20:45:00+00:00,,0.0,1025.0,,,1025.0
2023-01-02 21:00:00+00:00,1873.0,0.0,1024.0,0.0,0.0,2897.0
2023-01-02 21:15:00+00:00,,0.0,1024.0,,,1024.0
2023-01-02 21:30:00+00:00,,0.0,1025.0,,,1025.0
2023-01-02 21:45:00+00:00,,0.0,1014.0,,,1014.0
2023-01-02 22:00:00+00:00,1629.0,0.0,994.0,0.0,0.0,2623.0
2023-01-02 22:15:00+00:00,,0.0,994.0,,,994.0
2023-01-02 22:30:00+00:00,,0.0,993.0,,,993.0
2023-01-02 22:45:00+00:00,,0.0,928.0,,,928.0
2023-01-02 23:00:00+00:00,1392.0,0.0,619.0,13.0,0.0,2024.0
2023-01-02 23:15:00+00:00,,0.0,619.0,,,619.0
2023-01-02 23:30:00+00:00,,0.0,619.0,,,619.0
2023-01-02 23:45:00+00:00,,0.0,632.0,,,632.0
2023-01-03 00:00:00+00:00,1152.0,0.0,657.0,293.0,0.0,2102.0
2023-01-03 00:15:00+00:00,,0.0,657.0,,,657.0
2023-01-03 00:30:00+00:00,,0.0,657.0,,,657.0
2023-01-03 00:45:00+00:00,,0.0,646.0,,,646.0
2023-01-03 01:00:00+00:00,340.0,0.0,592.0,0.0,0.0,932.0
2023-01-03 01:15:00+00:00,,0.0,593.0,,,593.0
2023-01-03 01:30:00+00:00,,0.0,592.0,,,592.0
2023-01-03 01:45:00+00:00,,0.0,592.0,,,592.0
2023-01-03 02:00:00+00:00,0.0,0.0,542.0,132.0,34.0,708.0
2023-01-03 02:15:00+00:00,,0.0,542.0,,,542.0
2023-01-03 02:30:00+00:00,,0.0,542.0,,,542.0
2023-01-03 02:45:00+00:00,,0.0,568.0,,,568.0
2023-01-03 03:00:00+00:00,0.0,0.0,689.0,386.0,0.0,1075.0
2023-01-03 03:15:00+00:00,,0.0,690.0,,,690.0
2023-01-03 03:30:00+00:00,,0.0,689.0,,,689.0
2023-01-03 03:45:00+00:00,,0.0,690.0,,,690.0
2023-01-03 04:00:00+00:00,0.0,0.0,303.0,300.0,0.0,603.0
2023-01-03 04:15:00+00:00,,0.0,303.0,,,303.0
2023-01-03 04:30:00+00:00,,0.0,304.0,,,304.0
2023-01-03 04:45:00+00:00,,0.0,336.0,,,336.0
2023-01-03 05:00:00+00:00,0.0,0.0,490.0,0.0,0.0,490.0
2023-01-03 05:15:00+00:00,,0.0,490.0,,,490.0
2023-01-03 05:30:00+00:00,,0.0,490.0,,,490.0
2023-01-03 05:45:00+00:00,,0.0,515.0,,,515.0
2023-01-03 06:00:00+00:00,0.0,0.0,633.0,0.0,0.0,633.0
2023-01-03 06:15:00+00:00,,0.0,632.0,,,632.0
2023-01-03 06:30:00+00:00,,0.0,633.0,,,633.0
2023-01-03 06:45:00+00:00,,0.0,639.0,,,639.0
2023-01-03 07:00:00+00:00,0.0,0.0,674.0,0.0,0.0,674.0
2023-01-03 07:15:00+00:00,,0.0,673.0,,,673.0
2023-01-03 07:30:00+00:00,,0.0,673.0,,,673.0
2023-01-03 07:45:00+00:00,,0.0,393.0,,,393.0
2023-01-03 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 08:15:00+00:00,,0.0,0.0,,,0.0
2023-01-03 08:30:00+00:00,,0.0,0.0,,,0.0
2023-01-03 08:45:00+00:00,,0.0,0.0,,,0.0
2023-01-03 09:00:00+00:00,0.0,0.0,401.0,0.0,0.0,401.0
2023-01-03 09:15:00+00:00,,0.0,400.0,,,400.0
2023-01-03 09:30:00+00:00,,0.0,401.0,,,401.0
2023-01-03 09:45:00+00:00,,0.0,402.0,,,402.0
2023-01-03 10:00:00+00:00,0.0,0.0,699.0,0.0,0.0,699.0
2023-01-03 10:15:00+00:00,,0.0,699.0,,,699.0
2023-01-03 10:30:00+00:00,,0.0,699.0,,,699.0
2023-01-03 10:45:00+00:00,,0.0,699.0,,,699.0
2023-01-03 11:00:00+00:00,0.0,0.0,902.0,0.0,0.0,902.0
2023-01-03 11:15:00+00:00,,0.0,902.0,,,902.0
2023-01-03 11:30:00+00:00,,0.0,902.0,,,902.0
2023-01-03 11:45:00+00:00,,0.0,923.0,,,923.0
2023-01-03 12:00:00+00:00,0.0,0.0,1024.0,0.0,0.0,1024.0
2023-01-03 12:15:00+00:00,,0.0,1023.0,,,1023.0
2023-01-03 12:30:00+00:00,,129.0,1023.0,,,1152.0
2023-01-03 12:45:00+00:00,,109.0,1009.0,,,1118.0
2023-01-03 13:00:00+00:00,0.0,0.0,942.0,0.0,9.0,951.0
2023-01-03 13:15:00+00:00,,0.0,942.0,,,942.0
2023-01-03 13:30:00+00:00,,51.0,942.0,,,993.0
2023-01-03 13:45:00+00:00,,162.0,850.0,,,1012.0
2023-01-03 14:00:00+00:00,0.0,292.0,667.0,0.0,301.0,1260.0
2023-01-03 14:15:00+00:00,,317.0,668.0,,,985.0
2023-01-03 14:30:00+00:00,,421.0,668.0,,,1089.0
