,AT,HR,IT,HU,sum
2024-01-01 00:00:00+00:00,0.0,119.0,858.0,0.0,977.0
2024-01-01 00:15:00+00:00,0.0,44.0,,0.0,44.0
2024-01-01 00:30:00+00:00,0.0,89.0,,0.0,89.0
2024-01-01 00:45:00+00:00,0.0,89.0,,0.0,89.0
2024-01-01 01:00:00+00:00,0.0,89.0,1035.0,0.0,1124.0
2024-01-01 01:15:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 01:30:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 01:45:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 02:00:00+00:00,0.0,0.0,1057.0,0.0,1057.0
2024-01-01 02:15:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 02:30:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 02:45:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 03:00:00+00:00,0.0,0.0,1027.0,0.0,1027.0
2024-01-01 03:15:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 03:30:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 03:45:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 04:00:00+00:00,0.0,0.0,1005.0,0.0,1005.0
2024-01-01 04:15:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 04:30:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 04:45:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 05:00:00+00:00,0.0,0.0,985.0,0.0,985.0
2024-01-01 05:15:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 05:30:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 05:45:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 06:00:00+00:00,0.0,0.0,885.0,0.0,885.0
2024-01-01 06:15:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 06:30:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 06:45:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 07:00:00+00:00,0.0,0.0,834.0,0.0,834.0
2024-01-01 07:15:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 07:30:00+00:00,0.0,0.0,,0.0,0.0
2024-01-01 07:45:00+00:00,0.0,29.0,,0.0,29.0
2024-01-01 08:00:00+00:00,0.0,29.0,922.0,0.0,951.0
2024-01-01 08:15:00+00:00,0.0,29.0,,0.0,29.0
2024-01-01 08:30:00+00:00,0.0,29.0,,0.0,29.0
2024-01-01 08:45:00+00:00,0.0,29.0,,0.0,29.0
2024-01-01 09:00:00+00:00,0.0,29.0,884.0,0.0,913.0
2024-01-01 09:15:00+00:00,0.0,19.0,,0.0,19.0
2024-01-01 09:30:00+00:00,0.0,102.0,,0.0,102.0
2024-01-01 09:45:00+00:00,0.0,104.0,,0.0,104.0
2024-01-01 10:00:00+00:00,0.0,93.0,838.0,0.0,931.0
2024-01-01 10:15:00+00:00,0.0,159.0,,0.0,159.0
2024-01-01 10:30:00+00:00,0.0,144.0,,0.0,144.0
2024-01-01 10:45:00+00:00,0.0,138.0,,0.0,138.0
2024-01-01 11:00:00+00:00,0.0,108.0,865.0,0.0,973.0
2024-01-01 11:15:00+00:00,0.0,135.0,,0.0,135.0
2024-01-01 11:30:00+00:00,0.0,87.0,,0.0,87.0
2024-01-01 11:45:00+00:00,0.0,87.0,,0.0,87.0
2024-01-01 12:00:00+00:00,0.0,185.0,862.0,0.0,1047.0
2024-01-01 12:15:00+00:00,0.0,116.0,,0.0,116.0
