,NO,FI,DK,DE,PL,LT,sum
2024-01-01 00:00:00+00:00,2086.0,1410.0,0.0,0.0,0.0,534.0,4030.0
2024-01-01 01:00:00+00:00,2128.0,1167.0,0.0,0.0,0.0,420.0,3715.0
2024-01-01 02:00:00+00:00,2193.0,1014.0,0.0,0.0,0.0,690.0,3897.0
2024-01-01 03:00:00+00:00,2024.0,1232.0,0.0,0.0,0.0,696.0,3952.0
2024-01-01 04:00:00+00:00,1683.0,1397.0,0.0,0.0,0.0,686.0,3766.0
2024-01-01 05:00:00+00:00,1592.0,1313.0,0.0,0.0,0.0,701.0,3606.0
2024-01-01 06:00:00+00:00,1580.0,1220.0,0.0,0.0,0.0,672.0,3472.0
2024-01-01 07:00:00+00:00,1761.0,1174.0,0.0,0.0,0.0,658.0,3593.0
2024-01-01 08:00:00+00:00,2024.0,1327.0,0.0,0.0,0.0,720.0,4071.0
2024-01-01 09:00:00+00:00,2055.0,1306.0,0.0,0.0,0.0,715.0,4076.0
2024-01-01 10:00:00+00:00,2052.0,1613.0,0.0,0.0,0.0,713.0,4378.0
2024-01-01 11:00:00+00:00,1608.0,1939.0,0.0,0.0,0.0,708.0,4255.0
2024-01-01 12:00:00+00:00,1808.0,1989.0,36.0,0.0,0.0,694.0,4527.0
2024-01-01 13:00:00+00:00,1585.0,1940.0,242.0,0.0,3.0,716.0,4486.0
2024-01-01 14:00:00+00:00,1661.0,1925.0,9.0,0.0,396.0,733.0,4724.0
2024-01-01 15:00:00+00:00,1405.0,2304.0,0.0,0.0,591.0,679.0,4979.0
2024-01-01 16:00:00+00:00,982.0,2421.0,0.0,0.0,598.0,680.0,4681.0
2024-01-01 17:00:00+00:00,1474.0,2241.0,0.0,0.0,595.0,733.0,5043.0
2024-01-01 18:00:00+00:00,1844.0,1954.0,0.0,0.0,479.0,733.0,5010.0
2024-01-01 19:00:00+00:00,2125.0,2103.0,0.0,0.0,17.0,733.0,4978.0
2024-01-01 20:00:00+00:00,2486.0,2143.0,0.0,0.0,0.0,733.0,5362.0
2024-01-01 21:00:00+00:00,2209.0,2215.0,0.0,74.0,0.0,733.0,5231.0
2024-01-01 22:00:00+00:00,1921.0,2316.0,0.0,0.0,0.0,732.0,4969.0
2024-01-01 23:00:00+00:00,1570.0,2227.0,0.0,0.0,0.0,704.0,4501.0
2024-01-02 00:00:00+00:00,1275.0,2293.0,0.0,0.0,0.0,722.0,4290.0
2024-01-02 01:00:00+00:00,1172.0,2432.0,0.0,0.0,0.0,721.0,4325.0
2024-01-02 02:00:00+00:00,1284.0,2369.0,0.0,0.0,0.0,722.0,4375.0
2024-01-02 03:00:00+00:00,1411.0,2163.0,0.0,0.0,0.0,733.0,4307.0
2024-01-02 04:00:00+00:00,1108.0,2195.0,0.0,0.0,13.0,733.0,4049.0
2024-01-02 05:00:00+00:00,1393.0,1909.0,0.0,0.0,457.0,733.0,4492.0
2024-01-02 06:00:00+00:00,1437.0,1819.0,0.0,0.0,592.0,733.0,4581.0
2024-01-02 07:00:00+00:00,1137.0,1723.0,0.0,0.0,598.0,733.0,4191.0
2024-01-02 08:00:00+00:00,902.0,1910.0,0.0,0.0,598.0,733.0,4143.0
2024-01-02 09:00:00+00:00,774.0,2035.0,0.0,0.0,598.0,733.0,4140.0
2024-01-02 10:00:00+00:00,1047.0,2251.0,0.0,0.0,598.0,733.0,4629.0
2024-01-02 11:00:00+00:00,759.0,2103.0,0.0,0.0,598.0,733.0,4193.0
2024-01-02 12:00:00+00:00,638.0,2086.0,0.0,0.0,598.0,733.0,4055.0
2024-01-02 13:00:00+00:00,662.0,2051.0,0.0,0.0,598.0,733.0,4044.0
2024-01-02 14:00:00+00:00,188.0,2100.0,8.0,0.0,598.0,733.0,3627.0
