,AT,BE,CZ,DK,FR,LU,NL,NO,PL,SE,CH,sum
2022-01-01 00:00:00+00:00,1805.0,221.0,155.0,1133.0,487.0,449.0,1325.0,1361.0,396.0,0.0,3233.0,10565.0
2022-01-01 00:15:00+00:00,1823.0,161.0,,1155.0,,453.0,1346.0,1361.0,,,3251.0,9550.0
2022-01-01 00:30:00+00:00,1706.0,201.0,,1186.0,,457.0,1316.0,1361.0,,,3161.0,9388.0
2022-01-01 00:45:00+00:00,1694.0,124.0,,1121.0,,464.0,1269.0,1361.0,,,3131.0,9164.0
2022-01-01 01:00:00+00:00,1760.0,0.0,187.0,644.0,880.0,477.0,1143.0,1361.0,408.0,0.0,3302.0,10162.0
2022-01-01 01:15:00+00:00,1696.0,0.0,,586.0,,477.0,1135.0,1360.0,,,3380.0,8634.0
2022-01-01 01:30:00+00:00,1669.0,0.0,,573.0,,482.0,1044.0,1361.0,,,3422.0,8551.0
2022-01-01 01:45:00+00:00,1735.0,0.0,,616.0,,461.0,1046.0,1368.0,,,3459.0,8685.0
2022-01-01 02:00:00+00:00,1702.0,153.0,95.0,476.0,527.0,407.0,1344.0,1393.0,450.0,0.0,3501.0,10048.0
2022-01-01 02:15:00+00:00,1615.0,133.0,,586.0,,403.0,1399.0,1400.0,,,3504.0,9040.0
2022-01-01 02:30:00+00:00,1596.0,77.0,,656.0,,404.0,1324.0,1399.0,,,3480.0,8936.0
2022-01-01 02:45:00+00:00,1555.0,112.0,,747.0,,407.0,1423.0,1400.0,,,3319.0,8963.0
2022-01-01 03:00:00+00:00,1474.0,0.0,26.0,621.0,94.0,377.0,1532.0,1400.0,367.0,0.0,3084.0,8975.0
2022-01-01 03:15:00+00:00,1450.0,0.0,,743.0,,359.0,1558.0,1400.0,,,3154.0,8664.0
2022-01-01 03:30:00+00:00,1435.0,0.0,,734.0,,374.0,1521.0,1400.0,,,3150.0,8614.0
2022-01-01 03:45:00+00:00,1456.0,0.0,,688.0,,375.0,1523.0,1399.0,,,3154.0,8595.0
2022-01-01 04:00:00+00:00,1407.0,0.0,0.0,495.0,0.0,323.0,1421.0,1400.0,333.0,2.0,3127.0,8508.0
2022-01-01 04:15:00+00:00,1452.0,0.0,,486.0,,314.0,1298.0,1400.0,,,3169.0,8119.0
2022-01-01 04:30:00+00:00,1463.0,0.0,,458.0,,290.0,1199.0,1400.0,,,3203.0,8013.0
2022-01-01 04:45:00+00:00,1530.0,0.0,,573.0,,285.0,1099.0,1399.0,,,3235.0,8121.0
2022-01-01 05:00:00+00:00,1518.0,0.0,0.0,789.0,0.0,284.0,1237.0,1400.0,325.0,2.0,3206.0,8761.0
2022-01-01 05:15:00+00:00,1525.0,0.0,,923.0,,307.0,1296.0,1400.0,,,3234.0,8685.0
2022-01-01 05:30:00+00:00,1573.0,0.0,,976.0,,325.0,1390.0,1399.0,,,3244.0,8907.0
2022-01-01 05:45:00+00:00,1558.0,0.0,,1077.0,,335.0,1480.0,1400.0,,,3216.0,9066.0
2022-01-01 06:00:00+00:00,1448.0,0.0,0.0,898.0,0.0,334.0,1613.0,1399.0,219.0,2.0,3158.0,9071.0
2022-01-01 06:15:00+00:00,1382.0,0.0,,938.0,,321.0,1593.0,1399.0,,,3082.0,8715.0
2022-01-01 06:30:00+00:00,1316.0,0.0,,1063.0,,300.0,1510.0,1398.0,,,2970.0,8557.0
2022-01-01 06:45:00+00:00,1356.0,0.0,,1132.0,,281.0,1475.0,1399.0,,,2836.0,8479.0
2022-01-01 07:00:00+00:00,1294.0,0.0,0.0,893.0,0.0,276.0,1499.0,1400.0,5.0,2.0,2577.0,7946.0
2022-01-01 07:15:00+00:00,1406.0,0.0,,1035.0,,251.0,1369.0,1400.0,,,2655.0,8116.0
2022-01-01 07:30:00+00:00,1487.0,0.0,,1124.0,,232.0,1238.0,1399.0,,,2758.0,8238.0
2022-01-01 07:45:00+00:00,1509.0,0.0,,1120.0,,218.0,1232.0,1400.0,,,2817.0,8296.0
2022-01-01 08:00:00+00:00,1547.0,0.0,0.0,936.0,0.0,200.0,1331.0,1399.0,19.0,2.0,2772.0,8206.0
2022-01-01 08:15:00+00:00,1567.0,0.0,,962.0,,209.0,1359.0,1398.0,,,2777.0,8272.0
2022-01-01 08:30:00+00:00,1545.0,0.0,,1021.0,,211.0,1279.0,1399.0,,,2755.0,8210.0
2022-01-01 08:45:00+00:00,1543.0,0.0,,957.0,,211.0,1222.0,1399.0,,,2738.0,8070.0
2022-01-01 09:00:00+00:00,1501.0,0.0,11.0,636.0,0.0,219.0,1197.0,1400.0,379.0,2.0,2443.0,7788.0
2022-01-01 09:15:00+00:00,1542.0,0.0,,645.0,,209.0,1133.0,1400.0,,,2379.0,7308.0
2022-01-01 09:30:00+00:00,1523.0,0.0,,644.0,,222.0,1085.0,1399.0,,,2372.0,7245.0
2022-01-01 09:45:00+00:00,1518.0,0.0,,649.0,,214.0,976.0,1400.0,,,2266.0,7023.0
2022-01-01 10:00:00+00:00,1293.0,0.0,0.0,904.0,0.0,209.0,843.0,1400.0,449.0,2.0,1622.0,6722.0
2022-01-01 10:15:00+00:00,1279.0,0.0,,1069.0,,208.0,824.0,1400.0,,,1449.0,6229.0
2022-01-01 10:30:00+00:00,1330.0,0.0,,1040.0,,194.0,883.0,1401.0,,,1313.0,6161.0
2022-01-01 10:45:00+00:00,1315.0,0.0,,939.0,,227.0,982.0,1399.0,,,1391.0,6253.0
2022-01-01 11:00:00+00:00,1363.0,0.0,0.0,518.0,0.0,258.0,1078.0,1397.0,373.0,2.0,1616.0,6605.0
2022-01-01 11:15:00+00:00,1280.0,0.0,,333.0,,275.0,1102.0,1396.0,,,1543.0,5929.0
2022-01-01 11:30:00+00:00,1239.0,0.0,,372.0,,282.0,1126.0,1396.0,,,1477.0,5892.0
2022-01-01 11:45:00+00:00,1219.0,0.0,,377.0,,287.0,1121.0,1390.0,,,1505.0,5899.0
2022-01-01 12:00:00+00:00,1160.0,0.0,0.0,568.0,0.0,281.0,1053.0,1366.0,380.0,2.0,1367.0,6177.0
2022-01-01 12:15:00+00:00,1096.0,0.0,,479.0,,258.0,1081.0,1360.0,,,1138.0,5412.0
2022-01-01 12:30:00+00:00,895.0,0.0,,483.0,,240.0,1067.0,1361.0,,,1036.0,5082.0
2022-01-01 12:45:00+00:00,837.0,0.0,,480.0,,231.0,1096.0,1360.0,,,1076.0,5080.0
2022-01-01 13:00:00+00:00,828.0,0.0,6.0,584.0,0.0,242.0,1109.0,1360.0,456.0,2.0,1163.0,5750.0
2022-01-01 13:15:00+00:00,840.0,0.0,,586.0,,248.0,1129.0,1361.0,,,1127.0,5291.0
2022-01-01 13:30:00+00:00,867.0,0.0,,451.0,,244.0,1148.0,1361.0,,,1104.0,5175.0
2022-01-01 13:45:00+00:00,891.0,0.0,,493.0,,244.0,1168.0,1361.0,,,1096.0,5253.0
2022-01-01 14:00:00+00:00,880.0,0.0,325.0,691.0,0.0,216.0,1249.0,1360.0,670.0,2.0,1029.0,6422.0
2022-01-01 14:15:00+00:00,938.0,0.0,,663.0,,218.0,1301.0,1360.0,,,1068.0,5548.0
2022-01-01 14:30:00+00:00,966.0,0.0,,665.0,,213.0,1305.0,1359.0,,,1157.0,5665.0
2022-01-01 14:45:00+00:00,980.0,0.0,,660.0,,219.0,1353.0,1318.0,,,1261.0,5791.0
2022-01-01 15:00:00+00:00,846.0,0.0,404.0,840.0,0.0,254.0,1428.0,1148.0,917.0,2.0,1147.0,6986.0
2022-01-01 15:15:00+00:00,876.0,0.0,,856.0,,279.0,1473.0,1105.0,,,1287.0,5876.0
2022-01-01 15:30:00+00:00,867.0,0.0,,857.0,,279.0,1474.0,1105.0,,,1325.0,5907.0
2022-01-01 15:45:00+00:00,890.0,0.0,,861.0,,301.0,1431.0,1055.0,,,1285.0,5823.0
2022-01-01 16:00:00+00:00,867.0,0.0,390.0,898.0,0.0,309.0,1321.0,855.0,622.0,2.0,1243.0,6507.0
2022-01-01 16:15:00+00:00,846.0,0.0,,900.0,,343.0,1377.0,804.0,,,1358.0,5628.0
2022-01-01 16:30:00+00:00,917.0,0.0,,900.0,,343.0,1421.0,805.0,,,1382.0,5768.0
2022-01-01 16:45:00+00:00,928.0,0.0,,842.0,,350.0,1489.0,730.0,,,1439.0,5778.0
2022-01-01 17:00:00+00:00,1050.0,0.0,674.0,630.0,0.0,413.0,1619.0,433.0,814.0,2.0,1495.0,7130.0
2022-01-01 17:15:00+00:00,1025.0,0.0,,584.0,,443.0,1644.0,357.0,,,1537.0,5590.0
2022-01-01 17:30:00+00:00,1089.0,0.0,,585.0,,448.0,1677.0,357.0,,,1659.0,5815.0
2022-01-01 17:45:00+00:00,1102.0,0.0,,564.0,,406.0,1573.0,456.0,,,1685.0,5786.0
