,ES,IT,CH,BE,DE,UK,sum
2022-01-01 00:00:00+00:00,3308.0,1677.0,469.0,0.0,1.0,0.0,5455.0
2022-01-01 01:00:00+00:00,3303.0,1281.0,239.0,0.0,0.0,0.0,4823.0
2022-01-01 02:00:00+00:00,3182.0,1238.0,403.0,0.0,0.0,0.0,4823.0
2022-01-01 03:00:00+00:00,3075.0,1259.0,627.0,0.0,117.0,0.0,5078.0
2022-01-01 04:00:00+00:00,3112.0,1190.0,670.0,0.0,239.0,0.0,5211.0
2022-01-01 05:00:00+00:00,3162.0,1285.0,681.0,0.0,312.0,0.0,5440.0
2022-01-01 06:00:00+00:00,3068.0,1415.0,707.0,0.0,504.0,0.0,5694.0
2022-01-01 07:00:00+00:00,2926.0,1720.0,1140.0,0.0,1147.0,0.0,6933.0
2022-01-01 08:00:00+00:00,2774.0,1888.0,1334.0,0.0,1579.0,0.0,7575.0
2022-01-01 09:00:00+00:00,1841.0,2083.0,1630.0,0.0,2112.0,0.0,7666.0
2022-01-01 10:00:00+00:00,1306.0,2121.0,1730.0,51.0,2681.0,0.0,7889.0
2022-01-01 11:00:00+00:00,2117.0,1902.0,1192.0,0.0,2122.0,0.0,7333.0
2022-01-01 12:00:00+00:00,3072.0,1855.0,1103.0,0.0,2302.0,0.0,8332.0
2022-01-01 13:00:00+00:00,2735.0,2494.0,1812.0,296.0,2872.0,0.0,10209.0
2022-01-01 14:00:00+00:00,1187.0,3090.0,2594.0,983.0,3443.0,0.0,11297.0
2022-01-01 15:00:00+00:00,1508.0,3090.0,2545.0,905.0,3295.0,0.0,11343.0
2022-01-01 16:00:00+00:00,1906.0,2855.0,2145.0,106.0,2782.0,256.0,10050.0
2022-01-01 17:00:00+00:00,2848.0,2494.0,1551.0,0.0,1861.0,526.0,9280.0
2022-01-01 18:00:00+00:00,3172.0,2283.0,1487.0,0.0,1268.0,0.0,8210.0
2022-01-01 19:00:00+00:00,3187.0,2315.0,1404.0,0.0,1081.0,460.0,8447.0
2022-01-01 20:00:00+00:00,3148.0,2417.0,1580.0,0.0,1309.0,148.0,8602.0
2022-01-01 21:00:00+00:00,3247.0,2168.0,1181.0,0.0,824.0,420.0,7840.0
2022-01-01 22:00:00+00:00,3160.0,2094.0,1236.0,0.0,747.0,0.0,7237.0
2022-01-01 23:00:00+00:00,3202.0,2186.0,1797.0,0.0,831.0,0.0,8016.0
2022-01-02 00:00:00+00:00,3146.0,1825.0,1515.0,0.0,544.0,0.0,7030.0
2022-01-02 01:00:00+00:00,3214.0,1615.0,1529.0,0.0,755.0,0.0,7113.0
2022-01-02 02:00:00+00:00,3145.0,1499.0,1433.0,0.0,832.0,0.0,6909.0
