,DK,FI,DE,SE,NL,UK,sum
2022-01-01 00:00:00+00:00,0.0,79.0,0.0,582.0,0.0,188.0,849.0
2022-01-01 00:15:00+00:00,,,0.0,,,,0.0
2022-01-01 00:30:00+00:00,,,0.0,,,,0.0
2022-01-01 00:45:00+00:00,,,0.0,,,,0.0
2022-01-01 01:00:00+00:00,0.0,88.0,0.0,587.0,0.0,0.0,675.0
2022-01-01 01:15:00+00:00,,,0.0,,,,0.0
2022-01-01 01:30:00+00:00,,,0.0,,,,0.0
2022-01-01 01:45:00+00:00,,,0.0,,,,0.0
2022-01-01 02:00:00+00:00,0.0,86.0,0.0,533.0,0.0,0.0,619.0
2022-01-01 02:15:00+00:00,,,0.0,,,,0.0
2022-01-01 02:30:00+00:00,,,0.0,,,,0.0
2022-01-01 02:45:00+00:00,,,0.0,,,,0.0
2022-01-01 03:00:00+00:00,0.0,88.0,0.0,508.0,0.0,0.0,596.0
2022-01-01 03:15:00+00:00,,,0.0,,,,0.0
2022-01-01 03:30:00+00:00,,,0.0,,,,0.0
2022-01-01 03:45:00+00:00,,,0.0,,,,0.0
2022-01-01 04:00:00+00:00,0.0,86.0,0.0,464.0,0.0,0.0,550.0
2022-01-01 04:15:00+00:00,,,0.0,,,,0.0
2022-01-01 04:30:00+00:00,,,0.0,,,,0.0
2022-01-01 04:45:00+00:00,,,0.0,,,,0.0
2022-01-01 05:00:00+00:00,0.0,86.0,0.0,460.0,0.0,0.0,546.0
2022-01-01 05:15:00+00:00,,,0.0,,,,0.0
2022-01-01 05:30:00+00:00,,,0.0,,,,0.0
2022-01-01 05:45:00+00:00,,,0.0,,,,0.0
2022-01-01 06:00:00+00:00,0.0,84.0,0.0,495.0,0.0,0.0,579.0
2022-01-01 06:15:00+00:00,,,0.0,,,,0.0
2022-01-01 06:30:00+00:00,,,0.0,,,,0.0
2022-01-01 06:45:00+00:00,,,0.0,,,,0.0
2022-01-01 07:00:00+00:00,0.0,51.0,0.0,567.0,0.0,0.0,618.0
2022-01-01 07:15:00+00:00,,,0.0,,,,0.0
2022-01-01 07:30:00+00:00,,,0.0,,,,0.0
2022-01-01 07:45:00+00:00,,,0.0,,,,0.0
2022-01-01 08:00:00+00:00,0.0,47.0,0.0,620.0,0.0,0.0,667.0
2022-01-01 08:15:00+00:00,,,0.0,,,,0.0
2022-01-01 08:30:00+00:00,,,0.0,,,,0.0
2022-01-01 08:45:00+00:00,,,0.0,,,,0.0
2022-01-01 09:00:00+00:00,0.0,55.0,0.0,696.0,0.0,0.0,751.0
2022-01-01 09:15:00+00:00,,,0.0,,,,0.0
2022-01-01 09:30:00+00:00,,,0.0,,,,0.0
2022-01-01 09:45:00+00:00,,,0.0,,,,0.0
2022-01-01 10:00:00+00:00,0.0,66.0,0.0,777.0,0.0,0.0,843.0
2022-01-01 10:15:00+00:00,,,0.0,,,,0.0
2022-01-01 10:30:00+00:00,,,0.0,,,,0.0
2022-01-01 10:45:00+00:00,,,0.0,,,,0.0
