,FI,LV,RU,sum
2023-01-04 12:00:00+00:00,0.0,240.0,297.0,537.0
2023-01-04 13:00:00+00:00,0.0,176.0,259.0,435.0
2023-01-04 14:00:00+00:00,0.0,135.0,205.0,340.0
2023-01-04 15:00:00+00:00,0.0,97.0,174.0,271.0
2023-01-04 16:00:00+00:00,0.0,92.0,197.0,289.0
2023-01-04 17:00:00+00:00,0.0,107.0,215.0,322.0
2023-01-04 18:00:00+00:00,0.0,120.0,217.0,337.0
2023-01-04 19:00:00+00:00,0.0,46.0,180.0,226.0
2023-01-04 20:00:00+00:00,0.0,0.0,143.0,143.0
2023-01-04 21:00:00+00:00,0.0,0.0,132.0,132.0
2023-01-04 22:00:00+00:00,0.0,92.0,277.0,369.0
2023-01-04 23:00:00+00:00,0.0,115.0,310.0,425.0
2023-01-05 00:00:00+00:00,0.0,80.0,270.0,350.0
2023-01-05 01:00:00+00:00,0.0,52.0,261.0,313.0
2023-01-05 02:00:00+00:00,0.0,61.0,245.0,306.0
2023-01-05 03:00:00+00:00,0.0,79.0,241.0,320.0
2023-01-05 04:00:00+00:00,0.0,102.0,240.0,342.0
2023-01-05 05:00:00+00:00,0.0,40.0,114.0,154.0
2023-01-05 06:00:00+00:00,0.0,114.0,209.0,323.0
2023-01-05 07:00:00+00:00,0.0,14.0,101.0,115.0
2023-01-05 08:00:00+00:00,0.0,14.0,162.0,176.0
2023-01-05 09:00:00+00:00,0.0,14.0,188.0,202.0
2023-01-05 10:00:00+00:00,0.0,35.0,170.0,205.0
2023-01-05 11:00:00+00:00,0.0,0.0,137.0,137.0
2023-01-05 12:00:00+00:00,0.0,0.0,105.0,105.0
2023-01-05 13:00:00+00:00,0.0,0.0,81.0,81.0
2023-01-05 14:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-05 15:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-05 16:00:00+00:00,0.0,0.0,50.0,50.0
2023-01-05 17:00:00+00:00,0.0,0.0,20.0,20.0
2023-01-05 18:00:00+00:00,0.0,0.0,35.0,35.0
2023-01-05 19:00:00+00:00,0.0,102.0,136.0,238.0
2023-01-05 20:00:00+00:00,0.0,0.0,53.0,53.0
2023-01-05 21:00:00+00:00,0.0,0.0,44.0,44.0
2023-01-05 22:00:00+00:00,0.0,0.0,55.0,55.0
2023-01-05 23:00:00+00:00,0.0,0.0,43.0,43.0
2023-01-06 00:00:00+00:00,0.0,0.0,36.0,36.0
2023-01-06 01:00:00+00:00,0.0,0.0,14.0,14.0
2023-01-06 02:00:00+00:00,0.0,0.0,44.0,44.0
2023-01-06 03:00:00+00:00,0.0,0.0,35.0,35.0
2023-01-06 04:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-06 05:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-06 06:00:00+00:00,0.0,0.0,0.0,0.0
2023-01-06 07:00:00+00:00,0.0,28.0,58.0,86.0
2023-01-06 08:00:00+00:00,0.0,62.0,118.0,180.0
2023-01-06 09:00:00+00:00,0.0,134.0,192.0,326.0
2023-01-06 10:00:00+00:00,0.0,176.0,236.0,412.0
2023-01-06 11:00:00+00:00,0.0,165.0,218.0,383.0
2023-01-06 12:00:00+00:00,0.0,151.0,180.0,331.0
2023-01-06 13:00:00+00:00,0.0,160.0,221.0,381.0
2023-01-06 14:00:00+00:00,0.0,179.0,238.0,417.0
2023-01-06 15:00:00+00:00,0.0,160.0,224.0,384.0
2023-01-06 16:00:00+00:00,0.0,58.0,169.0,227.0
2023-01-06 17:00:00+00:00,0.0,0.0,118.0,118.0
2023-01-06 18:00:00+00:00,0.0,0.0,62.0,62.0
2023-01-06 19:00:00+00:00,0.0,0.0,61.0,61.0
2023-01-06 20:00:00+00:00,0.0,0.0,71.0,71.0
2023-01-06 21:00:00+00:00,0.0,0.0,79.0,79.0
2023-01-06 22:00:00+00:00,0.0,0.0,99.0,99.0
2023-01-06 23:00:00+00:00,0.0,176.0,178.0,354.0
2023-01-07 00:00:00+00:00,0.0,221.0,151.0,372.0
2023-01-07 01:00:00+00:00,0.0,225.0,208.0,433.0
