,BY,LV,PL,SE,sum
2024-01-01 00:00:00+00:00,0.0,352.0,0.0,0.0,352.0
2024-01-01 01:00:00+00:00,0.0,311.0,0.0,0.0,311.0
2024-01-01 02:00:00+00:00,43.0,523.0,0.0,0.0,566.0
2024-01-01 03:00:00+00:00,0.0,409.0,0.0,0.0,409.0
2024-01-01 04:00:00+00:00,0.0,408.0,0.0,0.0,408.0
2024-01-01 05:00:00+00:00,0.0,414.0,0.0,0.0,414.0
2024-01-01 06:00:00+00:00,31.0,548.0,0.0,0.0,579.0
2024-01-01 07:00:00+00:00,32.0,518.0,0.0,0.0,550.0
2024-01-01 08:00:00+00:00,63.0,582.0,0.0,0.0,645.0
2024-01-01 09:00:00+00:00,54.0,547.0,0.0,0.0,601.0
2024-01-01 10:00:00+00:00,40.0,489.0,0.0,0.0,529.0
2024-01-01 11:00:00+00:00,0.0,332.0,0.0,0.0,332.0
2024-01-01 12:00:00+00:00,52.0,458.0,0.0,0.0,510.0
2024-01-01 13:00:00+00:00,50.0,492.0,0.0,0.0,542.0
2024-01-01 14:00:00+00:00,0.0,345.0,0.0,0.0,345.0
2024-01-01 15:00:00+00:00,0.0,278.0,0.0,0.0,278.0
2024-01-01 16:00:00+00:00,0.0,242.0,0.0,0.0,242.0
2024-01-01 17:00:00+00:00,0.0,379.0,0.0,0.0,379.0
2024-01-01 18:00:00+00:00,12.0,548.0,0.0,0.0,560.0
2024-01-01 19:00:00+00:00,22.0,560.0,0.0,0.0,582.0
2024-01-01 20:00:00+00:00,35.0,607.0,0.0,0.0,642.0
2024-01-01 21:00:00+00:00,9.0,654.0,0.0,0.0,663.0
2024-01-01 22:00:00+00:00,34.0,626.0,0.0,0.0,660.0
2024-01-01 23:00:00+00:00,56.0,601.0,0.0,0.0,657.0
2024-01-02 00:00:00+00:00,41.0,594.0,0.0,0.0,635.0
2024-01-02 01:00:00+00:00,34.0,574.0,0.0,0.0,608.0
2024-01-02 02:00:00+00:00,56.0,533.0,0.0,0.0,589.0
2024-01-02 03:00:00+00:00,19.0,495.0,0.0,0.0,514.0
2024-01-02 04:00:00+00:00,0.0,387.0,0.0,0.0,387.0
2024-01-02 05:00:00+00:00,65.0,378.0,0.0,0.0,443.0
2024-01-02 06:00:00+00:00,40.0,344.0,0.0,0.0,384.0
2024-01-02 07:00:00+00:00,78.0,369.0,0.0,0.0,447.0
2024-01-02 08:00:00+00:00,77.0,478.0,0.0,0.0,555.0
2024-01-02 09:00:00+00:00,76.0,461.0,0.0,0.0,537.0
2024-01-02 10:00:00+00:00,70.0,484.0,0.0,0.0,554.0
2024-01-02 11:00:00+00:00,44.0,534.0,0.0,0.0,578.0
2024-01-02 12:00:00+00:00,18.0,527.0,0.0,0.0,545.0
2024-01-02 13:00:00+00:00,32.0,557.0,0.0,0.0,589.0
2024-01-02 14:00:00+00:00,54.0,539.0,0.0,0.0,593.0
2024-01-02 15:00:00+00:00,38.0,558.0,0.0,0.0,596.0
2024-01-02 16:00:00+00:00,22.0,585.0,0.0,0.0,607.0
2024-01-02 17:00:00+00:00,18.0,574.0,0.0,0.0,592.0
2024-01-02 18:00:00+00:00,21.0,606.0,0.0,0.0,627.0
2024-01-02 19:00:00+00:00,0.0,489.0,0.0,0.0,489.0
2024-01-02 20:00:00+00:00,21.0,551.0,0.0,0.0,572.0
2024-01-02 21:00:00+00:00,4.0,539.0,0.0,0.0,543.0
