,FI,LV,RU,sum
2022-01-01 00:00:00+00:00,0.0,213.0,306.0,519.0
2022-01-01 01:00:00+00:00,0.0,196.0,360.0,556.0
2022-01-01 02:00:00+00:00,0.0,161.0,319.0,480.0
2022-01-01 03:00:00+00:00,0.0,133.0,294.0,427.0
2022-01-01 04:00:00+00:00,0.0,140.0,271.0,411.0
2022-01-01 05:00:00+00:00,0.0,133.0,412.0,545.0
2022-01-01 06:00:00+00:00,0.0,123.0,174.0,297.0
2022-01-01 07:00:00+00:00,0.0,325.0,257.0,582.0
2022-01-01 08:00:00+00:00,0.0,360.0,271.0,631.0
2022-01-01 09:00:00+00:00,0.0,337.0,260.0,597.0
2022-01-01 10:00:00+00:00,0.0,314.0,263.0,577.0
2022-01-01 11:00:00+00:00,0.0,332.0,289.0,621.0
2022-01-01 12:00:00+00:00,0.0,300.0,348.0,648.0
2022-01-01 13:00:00+00:00,0.0,90.0,349.0,439.0
2022-01-01 14:00:00+00:00,0.0,40.0,321.0,361.0
2022-01-01 15:00:00+00:00,0.0,83.0,349.0,432.0
2022-01-01 16:00:00+00:00,0.0,133.0,434.0,567.0
2022-01-01 17:00:00+00:00,0.0,91.0,380.0,471.0
2022-01-01 18:00:00+00:00,0.0,98.0,461.0,559.0
2022-01-01 19:00:00+00:00,0.0,99.0,445.0,544.0
2022-01-01 20:00:00+00:00,0.0,0.0,315.0,315.0
2022-01-01 21:00:00+00:00,0.0,50.0,409.0,459.0
2022-01-01 22:00:00+00:00,0.0,0.0,144.0,144.0
2022-01-01 23:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-02 00:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-02 01:00:00+00:00,0.0,0.0,66.0,66.0
2022-01-02 02:00:00+00:00,0.0,30.0,116.0,146.0
2022-01-02 03:00:00+00:00,0.0,74.0,177.0,251.0
2022-01-02 04:00:00+00:00,0.0,37.0,189.0,226.0
2022-01-02 05:00:00+00:00,0.0,0.0,134.0,134.0
2022-01-02 06:00:00+00:00,0.0,0.0,153.0,153.0
2022-01-02 07:00:00+00:00,0.0,44.0,117.0,161.0
2022-01-02 08:00:00+00:00,0.0,0.0,53.0,53.0
2022-01-02 09:00:00+00:00,0.0,155.0,216.0,371.0
2022-01-02 10:00:00+00:00,0.0,143.0,170.0,313.0
2022-01-02 11:00:00+00:00,0.0,111.0,68.0,179.0
2022-01-02 12:00:00+00:00,0.0,164.0,88.0,252.0
2022-01-02 13:00:00+00:00,0.0,146.0,125.0,271.0
2022-01-02 14:00:00+00:00,0.0,149.0,171.0,320.0
2022-01-02 15:00:00+00:00,0.0,169.0,147.0,316.0
2022-01-02 16:00:00+00:00,0.0,108.0,76.0,184.0
2022-01-02 17:00:00+00:00,0.0,113.0,85.0,198.0
2022-01-02 18:00:00+00:00,0.0,126.0,197.0,323.0
2022-01-02 19:00:00+00:00,0.0,102.0,347.0,449.0
2022-01-02 20:00:00+00:00,0.0,103.0,255.0,358.0
2022-01-02 21:00:00+00:00,0.0,149.0,319.0,468.0
2022-01-02 22:00:00+00:00,0.0,168.0,405.0,573.0
2022-01-02 23:00:00+00:00,0.0,36.0,151.0,187.0
2022-01-03 00:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-03 01:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-03 02:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-03 03:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-03 04:00:00+00:00,0.0,47.0,46.0,93.0
2022-01-03 05:00:00+00:00,0.0,96.0,142.0,238.0
2022-01-03 06:00:00+00:00,0.0,181.0,98.0,279.0
2022-01-03 07:00:00+00:00,0.0,219.0,114.0,333.0
2022-01-03 08:00:00+00:00,0.0,197.0,212.0,409.0
2022-01-03 09:00:00+00:00,0.0,243.0,122.0,365.0
2022-01-03 10:00:00+00:00,0.0,220.0,164.0,384.0
2022-01-03 11:00:00+00:00,0.0,150.0,219.0,369.0
2022-01-03 12:00:00+00:00,0.0,150.0,165.0,315.0
2022-01-03 13:00:00+00:00,0.0,65.0,111.0,176.0
2022-01-03 14:00:00+00:00,0.0,38.0,119.0,157.0
2022-01-03 15:00:00+00:00,0.0,104.0,269.0,373.0
2022-01-03 16:00:00+00:00,0.0,124.0,292.0,416.0
2022-01-03 17:00:00+00:00,0.0,124.0,324.0,448.0
2022-01-03 18:00:00+00:00,0.0,153.0,297.0,450.0
2022-01-03 19:00:00+00:00,0.0,159.0,355.0,514.0
2022-01-03 20:00:00+00:00,0.0,103.0,423.0,526.0
2022-01-03 21:00:00+00:00,0.0,200.0,473.0,673.0
2022-01-03 22:00:00+00:00,0.0,168.0,440.0,608.0
2022-01-03 23:00:00+00:00,0.0,236.0,526.0,762.0
2022-01-04 00:00:00+00:00,0.0,251.0,529.0,780.0
2022-01-04 01:00:00+00:00,0.0,256.0,530.0,786.0
2022-01-04 02:00:00+00:00,0.0,287.0,529.0,816.0
2022-01-04 03:00:00+00:00,0.0,273.0,563.0,836.0
2022-01-04 04:00:00+00:00,0.0,223.0,430.0,653.0
2022-01-04 05:00:00+00:00,0.0,280.0,410.0,690.0
2022-01-04 06:00:00+00:00,0.0,250.0,445.0,695.0
2022-01-04 07:00:00+00:00,0.0,286.0,418.0,704.0
2022-01-04 08:00:00+00:00,0.0,250.0,428.0,678.0
2022-01-04 09:00:00+00:00,0.0,136.0,409.0,545.0
2022-01-04 10:00:00+00:00,0.0,153.0,380.0,533.0
2022-01-04 11:00:00+00:00,0.0,183.0,455.0,638.0
2022-01-04 12:00:00+00:00,0.0,147.0,509.0,656.0
2022-01-04 13:00:00+00:00,0.0,131.0,518.0,649.0
2022-01-04 14:00:00+00:00,0.0,111.0,485.0,596.0
2022-01-04 15:00:00+00:00,0.0,182.0,432.0,614.0
2022-01-04 16:00:00+00:00,0.0,143.0,401.0,544.0
2022-01-04 17:00:00+00:00,0.0,242.0,413.0,655.0
2022-01-04 18:00:00+00:00,0.0,202.0,374.0,576.0
2022-01-04 19:00:00+00:00,0.0,282.0,464.0,746.0
2022-01-04 20:00:00+00:00,0.0,121.0,255.0,376.0
2022-01-04 21:00:00+00:00,0.0,149.0,266.0,415.0
2022-01-04 22:00:00+00:00,0.0,125.0,256.0,381.0
2022-01-04 23:00:00+00:00,0.0,282.0,387.0,669.0
2022-01-05 00:00:00+00:00,0.0,263.0,390.0,653.0
2022-01-05 01:00:00+00:00,0.0,248.0,364.0,612.0
2022-01-05 02:00:00+00:00,0.0,168.0,233.0,401.0
2022-01-05 03:00:00+00:00,0.0,79.0,71.0,150.0
2022-01-05 04:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 05:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 06:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 07:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 08:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 09:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 10:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 11:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 12:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 13:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 14:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 15:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-05 16:00:00+00:00,0.0,0.0,36.0,36.0
2022-01-05 17:00:00+00:00,0.0,0.0,42.0,42.0
2022-01-05 18:00:00+00:00,0.0,0.0,59.0,59.0
2022-01-05 19:00:00+00:00,0.0,0.0,111.0,111.0
2022-01-05 20:00:00+00:00,0.0,0.0,218.0,218.0
2022-01-05 21:00:00+00:00,0.0,52.0,273.0,325.0
2022-01-05 22:00:00+00:00,0.0,186.0,379.0,565.0
2022-01-05 23:00:00+00:00,0.0,319.0,396.0,715.0
2022-01-06 00:00:00+00:00,0.0,283.0,422.0,705.0
