,AT,HR,RO,RS,SK,SI,UA,sum
2023-01-01 00:00:00+00:00,0.0,1315.0,289.0,522.0,0.0,493.0,0.0,2619.0
2023-01-01 00:15:00+00:00,0.0,,305.0,,,498.0,,803.0
2023-01-01 00:30:00+00:00,0.0,,279.0,,,510.0,,789.0
2023-01-01 00:45:00+00:00,0.0,,264.0,,,509.0,,773.0
2023-01-01 01:00:00+00:00,0.0,1222.0,239.0,455.0,0.0,509.0,0.0,2425.0
2023-01-01 01:15:00+00:00,0.0,,240.0,,,515.0,,755.0
2023-01-01 01:30:00+00:00,0.0,,255.0,,,509.0,,764.0
2023-01-01 01:45:00+00:00,0.0,,269.0,,,502.0,,771.0
2023-01-01 02:00:00+00:00,0.0,1092.0,274.0,394.0,0.0,489.0,0.0,2249.0
2023-01-01 02:15:00+00:00,0.0,,283.0,,,460.0,,743.0
2023-01-01 02:30:00+00:00,0.0,,300.0,,,441.0,,741.0
2023-01-01 02:45:00+00:00,0.0,,262.0,,,474.0,,736.0
2023-01-01 03:00:00+00:00,0.0,944.0,239.0,313.0,0.0,452.0,0.0,1948.0
2023-01-01 03:15:00+00:00,0.0,,245.0,,,449.0,,694.0
2023-01-01 03:30:00+00:00,0.0,,241.0,,,442.0,,683.0
2023-01-01 03:45:00+00:00,1.0,,238.0,,,437.0,,676.0
2023-01-01 04:00:00+00:00,24.0,912.0,222.0,289.0,0.0,452.0,0.0,1899.0
2023-01-01 04:15:00+00:00,13.0,,216.0,,,442.0,,671.0
2023-01-01 04:30:00+00:00,22.0,,213.0,,,443.0,,678.0
2023-01-01 04:45:00+00:00,1.0,,227.0,,,439.0,,667.0
2023-01-01 05:00:00+00:00,0.0,915.0,267.0,293.0,0.0,412.0,0.0,1887.0
2023-01-01 05:15:00+00:00,0.0,,259.0,,,422.0,,681.0
2023-01-01 05:30:00+00:00,0.0,,256.0,,,415.0,,671.0
2023-01-01 05:45:00+00:00,4.0,,253.0,,,417.0,,674.0
2023-01-01 06:00:00+00:00,34.0,863.0,229.0,262.0,0.0,432.0,0.0,1820.0
2023-01-01 06:15:00+00:00,41.0,,241.0,,,428.0,,710.0
2023-01-01 06:30:00+00:00,5.0,,263.0,,,425.0,,693.0
2023-01-01 06:45:00+00:00,84.0,,219.0,,,433.0,,736.0
2023-01-01 07:00:00+00:00,183.0,847.0,137.0,245.0,0.0,436.0,0.0,1848.0
2023-01-01 07:15:00+00:00,225.0,,131.0,,,456.0,,812.0
2023-01-01 07:30:00+00:00,296.0,,82.0,,,490.0,,868.0
2023-01-01 07:45:00+00:00,402.0,,32.0,,,504.0,,938.0
2023-01-01 08:00:00+00:00,291.0,958.0,69.0,318.0,0.0,461.0,0.0,2097.0
2023-01-01 08:15:00+00:00,232.0,,70.0,,,472.0,,774.0
2023-01-01 08:30:00+00:00,242.0,,63.0,,,479.0,,784.0
2023-01-01 08:45:00+00:00,149.0,,81.0,,,457.0,,687.0
2023-01-01 09:00:00+00:00,108.0,1091.0,73.0,395.0,0.0,454.0,0.0,2121.0
2023-01-01 09:15:00+00:00,113.0,,77.0,,,452.0,,642.0
2023-01-01 09:30:00+00:00,92.0,,86.0,,,446.0,,624.0
2023-01-01 09:45:00+00:00,174.0,,61.0,,,479.0,,714.0
2023-01-01 10:00:00+00:00,252.0,1076.0,16.0,371.0,0.0,483.0,0.0,2198.0
2023-01-01 10:15:00+00:00,193.0,,45.0,,,480.0,,718.0
2023-01-01 10:30:00+00:00,211.0,,44.0,,,484.0,,739.0
2023-01-01 10:45:00+00:00,210.0,,39.0,,,486.0,,735.0
2023-01-01 11:00:00+00:00,135.0,1020.0,72.0,370.0,0.0,423.0,0.0,2020.0
2023-01-01 11:15:00+00:00,155.0,,64.0,,,412.0,,631.0
2023-01-01 11:30:00+00:00,152.0,,77.0,,,398.0,,627.0
2023-01-01 11:45:00+00:00,102.0,,99.0,,,385.0,,586.0
2023-01-01 12:00:00+00:00,83.0,981.0,84.0,353.0,0.0,360.0,0.0,1861.0
2023-01-01 12:15:00+00:00,53.0,,106.0,,,347.0,,506.0
2023-01-01 12:30:00+00:00,21.0,,122.0,,,329.0,,472.0
2023-01-01 12:45:00+00:00,0.0,,151.0,,,308.0,,459.0
2023-01-01 13:00:00+00:00,0.0,1029.0,169.0,410.0,0.0,294.0,0.0,1902.0
2023-01-01 13:15:00+00:00,0.0,,175.0,,,275.0,,450.0
2023-01-01 13:30:00+00:00,0.0,,190.0,,,243.0,,433.0
2023-01-01 13:45:00+00:00,0.0,,228.0,,,224.0,,452.0
2023-01-01 14:00:00+00:00,0.0,979.0,193.0,426.0,0.0,211.0,0.0,1809.0
2023-01-01 14:15:00+00:00,0.0,,226.0,,,182.0,,408.0
2023-01-01 14:30:00+00:00,0.0,,241.0,,,144.0,,385.0
2023-01-01 14:45:00+00:00,0.0,,257.0,,,132.0,,389.0
2023-01-01 15:00:00+00:00,0.0,922.0,296.0,423.0,0.0,87.0,0.0,1728.0
2023-01-01 15:15:00+00:00,0.0,,310.0,,,74.0,,384.0
2023-01-01 15:30:00+00:00,0.0,,329.0,,,53.0,,382.0
2023-01-01 15:45:00+00:00,0.0,,333.0,,,38.0,,371.0
2023-01-01 16:00:00+00:00,0.0,862.0,297.0,410.0,0.0,8.0,0.0,1577.0
2023-01-01 16:15:00+00:00,0.0,,299.0,,,20.0,,319.0
2023-01-01 16:30:00+00:00,0.0,,296.0,,,17.0,,313.0
2023-01-01 16:45:00+00:00,0.0,,292.0,,,18.0,,310.0
2023-01-01 17:00:00+00:00,0.0,818.0,272.0,361.0,0.0,37.0,0.0,1488.0
2023-01-01 17:15:00+00:00,0.0,,253.0,,,53.0,,306.0
2023-01-01 17:30:00+00:00,0.0,,272.0,,,45.0,,317.0
2023-01-01 17:45:00+00:00,0.0,,261.0,,,41.0,,302.0
2023-01-01 18:00:00+00:00,0.0,852.0,301.0,401.0,0.0,1.0,0.0,1555.0
2023-01-01 18:15:00+00:00,0.0,,308.0,,,4.0,,312.0
2023-01-01 18:30:00+00:00,0.0,,302.0,,,9.0,,311.0
