,AT,HR,IT,HU,sum
2023-01-02 00:15:00+00:00,50.0,,,0.0,50.0
2023-01-02 00:30:00+00:00,53.0,,,0.0,53.0
2023-01-02 00:45:00+00:00,62.0,,,0.0,62.0
2023-01-02 01:00:00+00:00,93.0,64.0,257.0,0.0,414.0
2023-01-02 01:15:00+00:00,132.0,,,0.0,132.0
2023-01-02 01:30:00+00:00,140.0,,,0.0,140.0
2023-01-02 01:45:00+00:00,136.0,,,0.0,136.0
2023-01-02 02:00:00+00:00,165.0,61.0,193.0,0.0,419.0
2023-01-02 02:15:00+00:00,153.0,,,0.0,153.0
2023-01-02 02:30:00+00:00,155.0,,,0.0,155.0
2023-01-02 02:45:00+00:00,135.0,,,0.0,135.0
2023-01-02 03:00:00+00:00,77.0,232.0,24.0,0.0,333.0
2023-01-02 03:15:00+00:00,71.0,,,0.0,71.0
2023-01-02 03:30:00+00:00,67.0,,,0.0,67.0
2023-01-02 03:45:00+00:00,61.0,,,0.0,61.0
2023-01-02 04:00:00+00:00,21.0,379.0,87.0,0.0,487.0
2023-01-02 04:15:00+00:00,16.0,,,0.0,16.0
2023-01-02 04:30:00+00:00,20.0,,,0.0,20.0
2023-01-02 04:45:00+00:00,7.0,,,0.0,7.0
2023-01-02 05:00:00+00:00,0.0,454.0,33.0,0.0,487.0
2023-01-02 05:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 05:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 05:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 06:00:00+00:00,8.0,286.0,155.0,0.0,449.0
2023-01-02 06:15:00+00:00,20.0,,,0.0,20.0
2023-01-02 06:30:00+00:00,4.0,,,0.0,4.0
2023-01-02 06:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 07:00:00+00:00,0.0,201.0,451.0,0.0,652.0
2023-01-02 07:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 07:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 07:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 08:00:00+00:00,0.0,127.0,579.0,0.0,706.0
2023-01-02 08:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 08:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 08:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 09:00:00+00:00,0.0,70.0,588.0,0.0,658.0
2023-01-02 09:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 09:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 09:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 10:00:00+00:00,0.0,91.0,568.0,0.0,659.0
2023-01-02 10:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 10:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 10:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 11:00:00+00:00,0.0,259.0,429.0,0.0,688.0
2023-01-02 11:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 11:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 11:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 12:00:00+00:00,0.0,315.0,293.0,0.0,608.0
2023-01-02 12:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 12:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 12:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 13:00:00+00:00,0.0,373.0,290.0,0.0,663.0
2023-01-02 13:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 13:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 13:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 14:00:00+00:00,0.0,356.0,418.0,0.0,774.0
2023-01-02 14:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 14:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 14:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 15:00:00+00:00,0.0,226.0,603.0,0.0,829.0
2023-01-02 15:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 15:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 15:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 16:00:00+00:00,0.0,414.0,610.0,0.0,1024.0
2023-01-02 16:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 16:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 16:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 17:00:00+00:00,0.0,349.0,868.0,0.0,1217.0
2023-01-02 17:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 17:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 17:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 18:00:00+00:00,0.0,272.0,960.0,0.0,1232.0
2023-01-02 18:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 18:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 18:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 19:00:00+00:00,0.0,107.0,969.0,0.0,1076.0
2023-01-02 19:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 19:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 19:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 20:00:00+00:00,0.0,204.0,934.0,0.0,1138.0
2023-01-02 20:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 20:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 20:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 21:00:00+00:00,0.0,287.0,753.0,0.0,1040.0
2023-01-02 21:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 21:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 21:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 22:00:00+00:00,0.0,36.0,959.0,0.0,995.0
2023-01-02 22:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 22:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 22:45:00+00:00,0.0,,,0.0,0.0
2023-01-02 23:00:00+00:00,0.0,71.0,720.0,0.0,791.0
2023-01-02 23:15:00+00:00,0.0,,,0.0,0.0
2023-01-02 23:30:00+00:00,0.0,,,0.0,0.0
2023-01-02 23:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 00:00:00+00:00,0.0,26.0,705.0,0.0,731.0
2023-01-03 00:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 00:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 00:45:00+00:00,2.0,,,0.0,2.0
2023-01-03 01:00:00+00:00,17.0,0.0,631.0,0.0,648.0
2023-01-03 01:15:00+00:00,17.0,,,0.0,17.0
2023-01-03 01:30:00+00:00,23.0,,,0.0,23.0
2023-01-03 01:45:00+00:00,25.0,,,0.0,25.0
2023-01-03 02:00:00+00:00,5.0,0.0,542.0,0.0,547.0
2023-01-03 02:15:00+00:00,5.0,,,0.0,5.0
2023-01-03 02:30:00+00:00,8.0,,,0.0,8.0
2023-01-03 02:45:00+00:00,3.0,,,0.0,3.0
2023-01-03 03:00:00+00:00,0.0,58.0,427.0,0.0,485.0
2023-01-03 03:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 03:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 03:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 04:00:00+00:00,0.0,193.0,337.0,0.0,530.0
2023-01-03 04:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 04:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 04:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 05:00:00+00:00,0.0,342.0,299.0,0.0,641.0
2023-01-03 05:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 05:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 05:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 06:00:00+00:00,0.0,163.0,536.0,0.0,699.0
2023-01-03 06:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 06:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 06:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 07:00:00+00:00,0.0,388.0,265.0,0.0,653.0
2023-01-03 07:15:00+00:00,0.0,,,1.0,1.0
2023-01-03 07:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 07:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 08:00:00+00:00,0.0,375.0,91.0,0.0,466.0
2023-01-03 08:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 08:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 08:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 09:00:00+00:00,0.0,256.0,90.0,0.0,346.0
2023-01-03 09:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 09:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 09:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 10:00:00+00:00,0.0,218.0,117.0,0.0,335.0
2023-01-03 10:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 10:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 10:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 11:00:00+00:00,0.0,324.0,16.0,0.0,340.0
2023-01-03 11:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 11:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 11:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 12:00:00+00:00,0.0,332.0,37.0,0.0,369.0
2023-01-03 12:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 12:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 12:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 13:00:00+00:00,0.0,423.0,110.0,0.0,533.0
2023-01-03 13:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 13:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 13:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 14:00:00+00:00,0.0,384.0,615.0,0.0,999.0
2023-01-03 14:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 14:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 14:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 15:00:00+00:00,0.0,371.0,600.0,0.0,971.0
2023-01-03 15:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 15:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 15:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 16:00:00+00:00,0.0,324.0,725.0,0.0,1049.0
2023-01-03 16:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 16:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 16:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 17:00:00+00:00,0.0,262.0,757.0,0.0,1019.0
2023-01-03 17:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 17:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 17:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 18:00:00+00:00,0.0,247.0,648.0,0.0,895.0
2023-01-03 18:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 18:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 18:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 19:00:00+00:00,0.0,143.0,794.0,0.0,937.0
2023-01-03 19:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 19:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 19:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 20:00:00+00:00,0.0,226.0,632.0,0.0,858.0
2023-01-03 20:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 20:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 20:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 21:00:00+00:00,0.0,55.0,763.0,0.0,818.0
2023-01-03 21:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 21:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 21:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 22:00:00+00:00,0.0,24.0,749.0,0.0,773.0
2023-01-03 22:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 22:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 22:45:00+00:00,0.0,,,0.0,0.0
2023-01-03 23:00:00+00:00,0.0,43.0,613.0,0.0,656.0
2023-01-03 23:15:00+00:00,0.0,,,0.0,0.0
2023-01-03 23:30:00+00:00,0.0,,,0.0,0.0
2023-01-03 23:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 00:00:00+00:00,0.0,36.0,534.0,0.0,570.0
2023-01-04 00:15:00+00:00,0.0,,,0.0,0.0
2023-01-04 00:30:00+00:00,0.0,,,0.0,0.0
2023-01-04 00:45:00+00:00,0.0,,,0.0,0.0
2023-01-04 01:00:00+00:00,3.0,0.0,569.0,0.0,572.0
