,BG,HU,MD,RS,UA,sum
2022-01-01 00:00:00+00:00,318.0,0.0,0.0,555.0,0.0,873.0
2022-01-01 00:15:00+00:00,,0.0,,,,0.0
2022-01-01 00:30:00+00:00,,0.0,,,,0.0
2022-01-01 00:45:00+00:00,,0.0,,,,0.0
2022-01-01 01:00:00+00:00,272.0,0.0,0.0,660.0,0.0,932.0
2022-01-01 01:15:00+00:00,,0.0,,,,0.0
2022-01-01 01:30:00+00:00,,0.0,,,,0.0
2022-01-01 01:45:00+00:00,,0.0,,,,0.0
2022-01-01 02:00:00+00:00,373.0,0.0,0.0,670.0,0.0,1043.0
2022-01-01 02:15:00+00:00,,0.0,,,,0.0
2022-01-01 02:30:00+00:00,,0.0,,,,0.0
2022-01-01 02:45:00+00:00,,0.0,,,,0.0
2022-01-01 03:00:00+00:00,419.0,0.0,0.0,630.0,0.0,1049.0
2022-01-01 03:15:00+00:00,,0.0,,,,0.0
2022-01-01 03:30:00+00:00,,0.0,,,,0.0
2022-01-01 03:45:00+00:00,,0.0,,,,0.0
2022-01-01 04:00:00+00:00,351.0,0.0,0.0,543.0,0.0,894.0
2022-01-01 04:15:00+00:00,,0.0,,,,0.0
2022-01-01 04:30:00+00:00,,0.0,,,,0.0
2022-01-01 04:45:00+00:00,,0.0,,,,0.0
2022-01-01 05:00:00+00:00,310.0,1.0,0.0,499.0,2.0,812.0
2022-01-01 05:15:00+00:00,,0.0,,,,0.0
2022-01-01 05:30:00+00:00,,2.0,,,,2.0
2022-01-01 05:45:00+00:00,,5.0,,,,5.0
2022-01-01 06:00:00+00:00,333.0,35.0,0.0,501.0,22.0,891.0
2022-01-01 06:15:00+00:00,,3.0,,,,3.0
2022-01-01 06:30:00+00:00,,6.0,,,,6.0
2022-01-01 06:45:00+00:00,,4.0,,,,4.0
2022-01-01 07:00:00+00:00,336.0,14.0,0.0,418.0,17.0,785.0
2022-01-01 07:15:00+00:00,,9.0,,,,9.0
2022-01-01 07:30:00+00:00,,65.0,,,,65.0
2022-01-01 07:45:00+00:00,,72.0,,,,72.0
2022-01-01 08:00:00+00:00,307.0,94.0,0.0,348.0,19.0,768.0
2022-01-01 08:15:00+00:00,,96.0,,,,96.0
2022-01-01 08:30:00+00:00,,92.0,,,,92.0
2022-01-01 08:45:00+00:00,,98.0,,,,98.0
2022-01-01 09:00:00+00:00,292.0,119.0,0.0,287.0,51.0,749.0
2022-01-01 09:15:00+00:00,,125.0,,,,125.0
2022-01-01 09:30:00+00:00,,129.0,,,,129.0
2022-01-01 09:45:00+00:00,,123.0,,,,123.0
2022-01-01 10:00:00+00:00,266.0,143.0,0.0,246.0,66.0,721.0
2022-01-01 10:15:00+00:00,,128.0,,,,128.0
2022-01-01 10:30:00+00:00,,128.0,,,,128.0
2022-01-01 10:45:00+00:00,,128.0,,,,128.0
2022-01-01 11:00:00+00:00,221.0,110.0,0.0,280.0,85.0,696.0
2022-01-01 11:15:00+00:00,,117.0,,,,117.0
2022-01-01 11:30:00+00:00,,131.0,,,,131.0
2022-01-01 11:45:00+00:00,,72.0,,,,72.0
2022-01-01 12:00:00+00:00,192.0,58.0,0.0,226.0,180.0,656.0
2022-01-01 12:15:00+00:00,,61.0,,,,61.0
2022-01-01 12:30:00+00:00,,73.0,,,,73.0
2022-01-01 12:45:00+00:00,,73.0,,,,73.0
2022-01-01 13:00:00+00:00,139.0,64.0,0.0,273.0,169.0,645.0
2022-01-01 13:15:00+00:00,,70.0,,,,70.0
2022-01-01 13:30:00+00:00,,62.0,,,,62.0
2022-01-01 13:45:00+00:00,,57.0,,,,57.0
2022-01-01 14:00:00+00:00,127.0,20.0,0.0,250.0,80.0,477.0
2022-01-01 14:15:00+00:00,,4.0,,,,4.0
2022-01-01 14:30:00+00:00,,10.0,,,,10.0
2022-01-01 14:45:00+00:00,,4.0,,,,4.0
2022-01-01 15:00:00+00:00,5.0,3.0,0.0,240.0,30.0,278.0
2022-01-01 15:15:00+00:00,,1.0,,,,1.0
