,DE,LT,CZ,SK,SE,sum
2022-01-01 00:00:00+00:00,29.0,0.0,813.0,496.0,0.0,1338.0
2022-01-01 01:00:00+00:00,77.0,0.0,950.0,522.0,0.0,1549.0
2022-01-01 02:00:00+00:00,254.0,0.0,970.0,506.0,0.0,1730.0
2022-01-01 03:00:00+00:00,277.0,0.0,943.0,492.0,0.0,1712.0
2022-01-01 04:00:00+00:00,331.0,0.0,904.0,450.0,0.0,1685.0
2022-01-01 05:00:00+00:00,346.0,0.0,684.0,342.0,0.0,1372.0
2022-01-01 06:00:00+00:00,481.0,0.0,456.0,260.0,0.0,1197.0
2022-01-01 07:00:00+00:00,476.0,0.0,520.0,356.0,0.0,1352.0
2022-01-01 08:00:00+00:00,424.0,0.0,536.0,314.0,0.0,1274.0
2022-01-01 09:00:00+00:00,11.0,146.0,139.0,70.0,152.0,518.0
2022-01-01 10:00:00+00:00,4.0,117.0,0.0,0.0,573.0,694.0
2022-01-01 11:00:00+00:00,130.0,367.0,0.0,0.0,581.0,1078.0
2022-01-01 12:00:00+00:00,55.0,460.0,0.0,0.0,530.0,1045.0
2022-01-01 13:00:00+00:00,1.0,451.0,0.0,0.0,467.0,919.0
2022-01-01 14:00:00+00:00,0.0,447.0,33.0,10.0,399.0,889.0
2022-01-01 15:00:00+00:00,0.0,302.0,0.0,15.0,387.0,704.0
2022-01-01 16:00:00+00:00,0.0,14.0,113.0,116.0,11.0,254.0
2022-01-01 17:00:00+00:00,0.0,0.0,127.0,132.0,0.0,259.0
2022-01-01 18:00:00+00:00,0.0,0.0,298.0,267.0,0.0,565.0
2022-01-01 19:00:00+00:00,0.0,0.0,288.0,302.0,0.0,590.0
2022-01-01 20:00:00+00:00,0.0,0.0,428.0,375.0,0.0,803.0
2022-01-01 21:00:00+00:00,0.0,0.0,404.0,322.0,0.0,726.0
2022-01-01 22:00:00+00:00,0.0,401.0,162.0,120.0,0.0,683.0
2022-01-01 23:00:00+00:00,0.0,491.0,554.0,400.0,0.0,1445.0
2022-01-02 00:00:00+00:00,0.0,492.0,627.0,481.0,0.0,1600.0
2022-01-02 01:00:00+00:00,0.0,492.0,720.0,452.0,0.0,1664.0
2022-01-02 02:00:00+00:00,0.0,492.0,735.0,450.0,0.0,1677.0
2022-01-02 03:00:00+00:00,0.0,492.0,690.0,412.0,0.0,1594.0
2022-01-02 04:00:00+00:00,0.0,492.0,657.0,375.0,0.0,1524.0
2022-01-02 05:00:00+00:00,0.0,490.0,709.0,379.0,0.0,1578.0
2022-01-02 06:00:00+00:00,0.0,256.0,855.0,448.0,0.0,1559.0
2022-01-02 07:00:00+00:00,0.0,78.0,1046.0,579.0,0.0,1703.0
2022-01-02 08:00:00+00:00,0.0,315.0,889.0,555.0,0.0,1759.0
2022-01-02 09:00:00+00:00,0.0,58.0,798.0,553.0,0.0,1409.0
2022-01-02 10:00:00+00:00,0.0,218.0,554.0,530.0,0.0,1302.0
2022-01-02 11:00:00+00:00,0.0,300.0,511.0,500.0,0.0,1311.0
2022-01-02 12:00:00+00:00,0.0,299.0,468.0,479.0,0.0,1246.0
2022-01-02 13:00:00+00:00,0.0,143.0,765.0,633.0,0.0,1541.0
2022-01-02 14:00:00+00:00,0.0,284.0,600.0,588.0,0.0,1472.0
2022-01-02 15:00:00+00:00,0.0,231.0,632.0,675.0,0.0,1538.0
2022-01-02 16:00:00+00:00,0.0,241.0,750.0,740.0,0.0,1731.0
2022-01-02 17:00:00+00:00,0.0,481.0,553.0,674.0,0.0,1708.0
2022-01-02 18:00:00+00:00,0.0,143.0,750.0,780.0,0.0,1673.0
2022-01-02 19:00:00+00:00,0.0,247.0,850.0,719.0,0.0,1816.0
