,avail_qty,businesstype,docstatus,end,nominal_power,plant_type,production_resource_id,resolution,start
1,0.0,Planned maintenance,,2023-04-01 00:00:00+02:00,276.6,Fossil Gas,18WPGR5-123456-J,PT60M,2023-02-20 00:00:00+01:00
2,0.0,Planned maintenance,,2023-05-24 00:00:00+02:00,1011.3,Nuclear,18WALZ1-12345-0E,PT60M,2023-04-17 00:00:00+02:00
12,0.0,Planned maintenance,,2023-06-10 00:00:00+02:00,995.8,Nuclear,18WASC1-12345-0Z,PT60M,2023-04-29 00:00:00+02:00
13,0.0,Planned maintenance,,2023-03-25 00:00:00+01:00,276.3,Fossil Gas,18WPGR5-123456-J,PT60M,2023-02-13 00:00:00+01:00
14,0.0,Planned maintenance,,2023-01-30 00:00:00+01:00,346.2,Fossil Hard coal,18WSRI3-12345-0N,PT60M,2023-01-09 00:00:00+01:00
15,0.0,Planned maintenance,,2023-01-16 00:00:00+01:00,392.6,Fossil Gas,18WCAMGI10-12-07,PT60M,2023-01-07 00:00:00+01:00
16,0.0,Planned maintenance,,2023-04-26 00:00:00+02:00,372.6,Fossil Gas,18WACE4-12345-0R,PT60M,2023-04-15 00:00:00+02:00
17,0.0,Planned maintenance,,2023-01-30 00:00:00+01:00,399.7,Fossil Gas,18WBES4-12345-0L,PT60M,2023-01-21 00:00:00+01:00
18,0.0,Planned maintenance,,2023-03-29 00:00:00+02:00,415.5,Fossil Gas,18WMALA1-12345-L,PT60M,2023-03-18 00:00:00+01:00
20,0.0,Planned maintenance,,2023-06-26 00:00:00+02:00,1003.4,Nuclear,18WTRL1-12345-0Y,PT60M,2023-05-24 00:00:00+02:00
22,0.0,Planned maintenance,,2023-04-01 00:00:00+02:00,110.4,Hydro Water Reservoir,18WTAJO-12345-0U,PT60M,2022-09-01 00:00:00+02:00
23,0.0,Planned maintenance,,2023-03-25 00:00:00+01:00,302.7,Fossil Gas,18WPGR5-123456-J,PT60M,2023-02-20 00:00:00+01:00
24,0.0,Planned maintenance,,2023-03-25 00:00:00+01:00,109.8,Hydro Pumped Storage,18WSLTG-12345-0T,PT60M,2023-03-06 00:00:00+01:00
