,avail_qty,businesstype,docstatus,end,nominal_power,plant_type,production_resource_id,resolution,start
83,0.0,Unplanned outage,,2022-01-01 09:00:00+00:00,162.0,Hydro Pumped Storage,17W100P100P02764,PT1M,2022-01-01 08:00:00+00:00
84,0.0,Unplanned outage,,2022-01-01 19:00:00+00:00,231.0,Fossil Gas,17W100P100P0350I,PT1M,2022-01-01 19:00:00+00:00
85,0.0,Unplanned outage,,2022-01-01 18:00:00+00:00,162.0,Hydro Pumped Storage,17W100P100P02764,PT60M,2022-01-01 08:00:00+00:00
86,0.0,Planned maintenance,,2022-01-02 09:00:00+00:00,910.0,Nuclear,17W100P100P01784,PT60M,2022-01-01 01:00:00+00:00
87,0.0,Planned maintenance,,2022-01-02 09:00:00+00:00,910.0,Nuclear,17W100P100P01784,PT30M,2022-01-02 09:00:00+00:00
88,713.0,Planned maintenance,,2022-01-02 17:00:00+00:00,1330.0,Nuclear,17W100P100P0223P,PT60M,2022-01-01 19:00:00+00:00
89,808.0,Planned maintenance,,2022-01-02 15:00:00+00:00,915.0,Nuclear,17W100P100P0230S,PT30M,2022-01-02 15:00:00+00:00
90,808.0,Planned maintenance,,2022-01-02 16:00:00+00:00,915.0,Nuclear,17W100P100P0230S,PT1M,2022-01-02 15:00:00+00:00
91,0.0,Planned maintenance,,2021-09-17 23:00:00+00:00,905.0,Nuclear,17W100P100P0191C,PT30M,2021-09-17 22:00:00+00:00
92,0.0,Planned maintenance,,2022-01-03 03:00:00+00:00,905.0,Nuclear,17W100P100P0191C,PT60M,2021-09-17 23:00:00+00:00
93,0.0,Unplanned outage,,2022-01-02 23:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT15M,2022-01-02 23:00:00+00:00
94,0.0,Unplanned outage,,2022-01-02 23:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT1M,2022-01-02 23:00:00+00:00
95,0.0,Unplanned outage,,2022-01-03 03:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-03 02:00:00+00:00
96,0.0,Unplanned outage,,2022-01-03 02:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-03 00:00:00+00:00
97,0.0,Unplanned outage,,2022-01-03 00:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-02 23:00:00+00:00
98,0.0,Unplanned outage,,2021-12-31 11:00:00+00:00,915.0,Nuclear,17W100P100P0229D,PT30M,2021-12-31 11:00:00+00:00
99,0.0,Unplanned outage,,2021-12-31 11:00:00+00:00,915.0,Nuclear,17W100P100P0229D,PT15M,2021-12-31 10:00:00+00:00
100,0.0,Unplanned outage,,2022-01-03 11:00:00+00:00,915.0,Nuclear,17W100P100P0229D,PT60M,2021-12-31 11:00:00+00:00
101,0.0,Unplanned outage,,2021-12-31 10:00:00+00:00,915.0,Nuclear,17W100P100P0229D,PT1M,2021-12-31 10:00:00+00:00
102,810.0,Unplanned outage,,2022-01-03 16:00:00+00:00,915.0,Nuclear,17W100P100P0234K,PT60M,2022-01-03 11:00:00+00:00
103,810.0,Unplanned outage,,2022-01-03 11:00:00+00:00,915.0,Nuclear,17W100P100P0234K,PT1M,2022-01-03 11:00:00+00:00
104,810.0,Unplanned outage,,2022-01-03 11:00:00+00:00,915.0,Nuclear,17W100P100P0234K,PT15M,2022-01-03 11:00:00+00:00
105,0.0,Planned maintenance,,2022-01-11 08:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT30M,2022-01-11 07:00:00+00:00
106,0.0,Planned maintenance,,2022-01-11 14:00:00+00:00,152.0,Hydro Pumped Storage,17W100P100P02756,PT60M,2022-01-11 08:00:00+00:00
108,120.0,Planned maintenance,,2022-01-04 01:00:00+00:00,915.0,Nuclear,17W100P100P0229D,PT60M,2022-01-03 11:00:00+00:00
109,0.0,Planned maintenance,,2022-01-04 06:00:00+00:00,915.0,Nuclear,17W100P100P02000,PT60M,2021-12-29 18:00:00+00:00
110,0.0,Planned maintenance,,2022-01-04 07:00:00+00:00,915.0,Nuclear,17W100P100P02000,PT30M,2022-01-04 06:00:00+00:00
111,0.0,Planned maintenance,,2022-03-18 16:00:00+00:00,69.8,Hydro Run-of-river and poundage,17W100P100P0319C,PT60M,2021-10-18 05:00:00+00:00
112,65.0,Unplanned outage,,2022-01-04 13:00:00+00:00,465.0,Fossil Gas,17W100P100P0246D,PT1M,2022-01-04 13:00:00+00:00
113,65.0,Unplanned outage,,2022-01-04 14:00:00+00:00,465.0,Fossil Gas,17W100P100P0246D,PT30M,2022-01-04 13:00:00+00:00
114,65.0,Unplanned outage,,2022-01-04 13:00:00+00:00,465.0,Fossil Gas,17W100P100P0246D,PT15M,2022-01-04 13:00:00+00:00
115,0.0,Planned maintenance,,2022-01-04 14:00:00+00:00,85.0,Fossil Oil,17W100P100P02586,PT1M,2022-01-04 14:00:00+00:00
116,0.0,Planned maintenance,,2022-01-04 13:00:00+00:00,85.0,Fossil Oil,17W100P100P02586,PT60M,2022-01-03 23:00:00+00:00
117,0.0,Planned maintenance,,2022-01-04 13:00:00+00:00,85.0,Fossil Oil,17W100P100P02586,PT30M,2022-01-04 13:00:00+00:00
118,0.0,Planned maintenance,,2022-01-04 14:00:00+00:00,85.0,Fossil Oil,17W100P100P02586,PT15M,2022-01-04 13:00:00+00:00
119,0.0,Unplanned outage,,2022-01-04 11:00:00+00:00,182.0,Fossil Oil,17W100P100P02691,PT15M,2022-01-04 10:00:00+00:00
120,0.0,Unplanned outage,,2022-01-04 10:00:00+00:00,182.0,Fossil Oil,17W100P100P02691,PT1M,2022-01-04 10:00:00+00:00
121,0.0,Unplanned outage,,2022-01-04 14:00:00+00:00,182.0,Fossil Oil,17W100P100P02691,PT1M,2022-01-04 14:00:00+00:00
122,0.0,Unplanned outage,,2022-01-04 11:00:00+00:00,182.0,Fossil Oil,17W100P100P02691,PT30M,2022-01-04 11:00:00+00:00
123,0.0,Unplanned outage,,2022-01-04 14:00:00+00:00,182.0,Fossil Oil,17W100P100P02691,PT60M,2022-01-04 11:00:00+00:00
124,0.0,Unplanned outage,,2022-01-04 03:00:00+00:00,580.0,Fossil Hard coal,17W100P100P0236G,PT15M,2022-01-04 03:00:00+00:00
125,0.0,Unplanned outage,,2022-01-04 04:00:00+00:00,580.0,Fossil Hard coal,17W100P100P0236G,PT30M,2022-01-04 03:00:00+00:00
126,0.0,Unplanned outage,,2022-01-04 16:00:00+00:00,580.0,Fossil Hard coal,17W100P100P0236G,PT60M,2022-01-04 04:00:00+00:00
127,0.0,Unplanned outage,,2022-01-04 03:00:00+00:00,580.0,Fossil Hard coal,17W100P100P0236G,PT1M,2022-01-04 03:00:00+00:00
128,0.0,Unplanned outage,,2022-01-04 07:00:00+00:00,240.0,Hydro Water Reservoir,17W100P100P02829,PT15M,2022-01-04 07:00:00+00:00
129,0.0,Unplanned outage,,2022-01-04 07:00:00+00:00,240.0,Hydro Water Reservoir,17W100P100P02829,PT1M,2022-01-04 07:00:00+00:00
130,0.0,Unplanned outage,,2022-01-04 07:00:00+00:00,240.0,Hydro Water Reservoir,17W100P100P02829,PT1M,2022-01-04 07:00:00+00:00
131,0.0,Unplanned outage,,2022-01-05 05:00:00+00:00,428.0,Fossil Gas,17W100P100P0351G,PT15M,2022-01-05 04:00:00+00:00
132,0.0,Unplanned outage,,2022-01-05 04:00:00+00:00,428.0,Fossil Gas,17W100P100P0351G,PT1M,2022-01-05 04:00:00+00:00
133,0.0,Unplanned outage,,2022-01-05 05:00:00+00:00,428.0,Fossil Gas,17W100P100P0351G,PT30M,2022-01-05 05:00:00+00:00
134,0.0,Unplanned outage,,2022-01-05 08:00:00+00:00,428.0,Fossil Gas,17W100P100P0351G,PT60M,2022-01-05 05:00:00+00:00
135,0.0,Unplanned outage,,2022-01-05 09:00:00+00:00,428.0,Fossil Gas,17W100P100P0351G,PT30M,2022-01-05 08:00:00+00:00
