,avail_qty,businesstype,docstatus,end,nominal_power,plant_type,production_resource_id,resolution,start
1338,0.0,Unplanned outage,,2023-11-16 07:00:00+00:00,350.0,Fossil Gas,49W000000000046W,PT15M,2023-11-16 04:00:00+00:00
1339,0.0,Unplanned outage,,2023-11-10 08:00:00+00:00,360.0,Fossil Gas,49W000000000088G,PT1M,2023-11-10 08:00:00+00:00
1340,0.0,Unplanned outage,,2023-11-10 09:00:00+00:00,360.0,Fossil Gas,49W000000000088G,PT30M,2023-11-10 09:00:00+00:00
1341,0.0,Unplanned outage,,2023-11-10 09:00:00+00:00,360.0,Fossil Gas,49W000000000088G,PT15M,2023-11-10 08:00:00+00:00
1342,0.0,Unplanned outage,,2023-12-01 16:00:00+00:00,360.0,Fossil Gas,49W000000000088G,PT60M,2023-11-10 09:00:00+00:00
1343,0.0,Unplanned outage,,2023-11-16 11:00:00+00:00,360.0,Fossil Gas,49W000000000082S,PT1M,2023-11-16 11:00:00+00:00
1344,0.0,Unplanned outage,,2023-11-16 11:00:00+00:00,360.0,Fossil Gas,49W000000000082S,PT30M,2023-11-16 11:00:00+00:00
1345,0.0,Unplanned outage,,2023-11-16 12:00:00+00:00,360.0,Fossil Gas,49W000000000082S,PT1M,2023-11-16 11:00:00+00:00
1346,108.0,Unplanned outage,,2023-11-16 18:00:00+00:00,220.0,Fossil Gas,49W0000000001047,PT15M,2023-11-16 13:00:00+00:00
1347,0.0,Unplanned outage,,2023-11-17 09:00:00+00:00,112.0,Fossil Gas,49W0000000000342,PT15M,2023-11-17 05:00:00+00:00
1348,890.0,Unplanned outage,,2023-11-18 15:00:00+00:00,1070.0,Fossil Hard coal,49W000000000102B,PT15M,2023-11-18 06:00:00+00:00
1349,0.0,Unplanned outage,,2023-11-19 19:00:00+00:00,360.0,Fossil Gas,49W000000000080W,PT60M,2023-11-19 16:00:00+00:00
1350,0.0,Unplanned outage,,2023-11-19 16:00:00+00:00,360.0,Fossil Gas,49W000000000080W,PT1M,2023-11-19 16:00:00+00:00
1351,87.0,Unplanned outage,,2023-11-20 07:00:00+00:00,247.0,Fossil Gas,49W000000000047U,PT15M,2023-11-20 06:00:00+00:00
1352,350.0,Unplanned outage,,2023-11-20 08:00:00+00:00,731.0,Fossil Hard coal,49W000000000078J,PT60M,2023-11-19 15:00:00+00:00
1353,350.0,Unplanned outage,,2023-11-20 08:00:00+00:00,731.0,Fossil Hard coal,49W000000000078J,PT1M,2023-11-20 08:00:00+00:00
