,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Run-of-river and poundage,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2024-01-01 02:00:00+02:00,802.0,178.0,189.0,0.0,479.0,1195.0,4350.0,247.0,2.0,0.0,7.0,2725.0
2024-01-01 02:15:00+02:00,799.0,177.0,190.0,0.0,480.0,1147.0,4350.0,247.0,2.0,0.0,7.0,2879.0
2024-01-01 02:30:00+02:00,797.0,172.0,192.0,0.0,479.0,1132.0,4352.0,247.0,2.0,0.0,7.0,2949.0
2024-01-01 02:45:00+02:00,795.0,171.0,192.0,0.0,478.0,1069.0,4351.0,250.0,2.0,0.0,7.0,3000.0
2024-01-01 03:00:00+02:00,802.0,173.0,192.0,0.0,479.0,1056.0,4351.0,250.0,2.0,0.0,7.0,3066.0
2024-01-01 03:15:00+02:00,800.0,175.0,192.0,0.0,481.0,1047.0,4351.0,247.0,2.0,0.0,7.0,3123.0
2024-01-01 03:30:00+02:00,799.0,177.0,192.0,0.0,489.0,1051.0,4349.0,250.0,2.0,0.0,7.0,3192.0
2024-01-01 03:45:00+02:00,800.0,178.0,192.0,0.0,487.0,1024.0,4351.0,250.0,2.0,0.0,7.0,3265.0
2024-01-01 04:00:00+02:00,781.0,174.0,192.0,0.0,489.0,951.0,4350.0,252.0,2.0,0.0,7.0,3247.0
2024-01-01 04:15:00+02:00,802.0,172.0,192.0,0.0,487.0,918.0,4351.0,251.0,2.0,0.0,7.0,3148.0
2024-01-01 04:30:00+02:00,794.0,171.0,192.0,0.0,489.0,927.0,4350.0,253.0,2.0,0.0,7.0,3026.0
2024-01-01 04:45:00+02:00,798.0,177.0,192.0,0.0,494.0,944.0,4350.0,252.0,2.0,0.0,7.0,2977.0
2024-01-01 05:00:00+02:00,797.0,183.0,192.0,0.0,503.0,957.0,4351.0,254.0,2.0,0.0,7.0,2976.0
2024-01-01 05:15:00+02:00,801.0,188.0,191.0,0.0,506.0,988.0,4351.0,255.0,2.0,0.0,7.0,2960.0
2024-01-01 05:30:00+02:00,806.0,199.0,191.0,0.0,505.0,985.0,4352.0,255.0,2.0,0.0,7.0,2942.0
2024-01-01 05:45:00+02:00,804.0,198.0,192.0,0.0,505.0,1016.0,4352.0,255.0,2.0,0.0,7.0,2926.0
2024-01-01 06:00:00+02:00,784.0,200.0,192.0,0.0,508.0,1124.0,4351.0,255.0,2.0,0.0,7.0,2882.0
2024-01-01 06:15:00+02:00,807.0,207.0,192.0,0.0,509.0,1166.0,4351.0,255.0,2.0,0.0,7.0,2814.0
2024-01-01 06:30:00+02:00,810.0,192.0,192.0,0.0,509.0,1212.0,4351.0,255.0,2.0,0.0,7.0,2769.0
2024-01-01 06:45:00+02:00,811.0,169.0,192.0,0.0,511.0,1225.0,4351.0,255.0,2.0,0.0,7.0,2723.0
2024-01-01 07:00:00+02:00,798.0,155.0,192.0,0.0,516.0,1229.0,4351.0,255.0,2.0,0.0,7.0,2732.0
2024-01-01 07:15:00+02:00,802.0,160.0,192.0,0.0,521.0,1247.0,4351.0,255.0,2.0,0.0,7.0,2758.0
2024-01-01 07:30:00+02:00,807.0,161.0,192.0,0.0,521.0,1182.0,4351.0,258.0,2.0,0.0,7.0,2874.0
2024-01-01 07:45:00+02:00,810.0,162.0,192.0,0.0,526.0,1153.0,4351.0,258.0,2.0,0.0,7.0,3048.0
2024-01-01 08:00:00+02:00,802.0,163.0,192.0,0.0,536.0,1127.0,4350.0,258.0,2.0,0.0,7.0,3105.0
2024-01-01 08:15:00+02:00,805.0,162.0,192.0,0.0,543.0,1140.0,4351.0,258.0,2.0,0.0,7.0,3061.0
2024-01-01 08:30:00+02:00,802.0,161.0,192.0,0.0,548.0,1177.0,4353.0,258.0,2.0,0.0,7.0,2971.0
2024-01-01 08:45:00+02:00,798.0,161.0,192.0,0.0,550.0,1181.0,4351.0,260.0,2.0,0.0,7.0,2943.0
2024-01-01 09:00:00+02:00,789.0,157.0,192.0,0.0,557.0,1203.0,4351.0,261.0,2.0,1.0,7.0,2965.0
2024-01-01 09:15:00+02:00,821.0,158.0,192.0,0.0,568.0,1220.0,4354.0,261.0,2.0,3.0,7.0,3009.0
2024-01-01 09:30:00+02:00,826.0,156.0,192.0,0.0,568.0,1251.0,4357.0,261.0,2.0,5.0,7.0,3024.0
2024-01-01 09:45:00+02:00,820.0,155.0,192.0,0.0,565.0,1252.0,4356.0,261.0,2.0,7.0,7.0,3000.0
2024-01-01 10:00:00+02:00,835.0,157.0,192.0,0.0,572.0,1242.0,4353.0,261.0,2.0,11.0,7.0,2939.0
2024-01-01 10:15:00+02:00,829.0,170.0,192.0,0.0,575.0,1234.0,4355.0,261.0,2.0,18.0,7.0,2939.0
2024-01-01 10:30:00+02:00,844.0,169.0,192.0,0.0,581.0,1251.0,4355.0,261.0,2.0,25.0,7.0,2948.0
2024-01-01 10:45:00+02:00,851.0,165.0,192.0,0.0,586.0,1328.0,4354.0,261.0,2.0,32.0,7.0,2899.0
2024-01-01 11:00:00+02:00,826.0,173.0,192.0,0.0,585.0,1386.0,4351.0,258.0,2.0,38.0,7.0,2915.0
2024-01-01 11:15:00+02:00,838.0,171.0,192.0,0.0,588.0,1438.0,4352.0,239.0,2.0,41.0,7.0,2984.0
2024-01-01 11:30:00+02:00,824.0,172.0,192.0,0.0,594.0,1431.0,4352.0,233.0,2.0,45.0,7.0,3003.0
2024-01-01 11:45:00+02:00,818.0,181.0,192.0,0.0,597.0,1427.0,4351.0,231.0,2.0,49.0,7.0,2985.0
2024-01-01 12:00:00+02:00,819.0,189.0,192.0,0.0,596.0,1444.0,4351.0,234.0,2.0,50.0,7.0,2868.0
2024-01-01 12:15:00+02:00,820.0,181.0,190.0,0.0,597.0,1470.0,4351.0,233.0,2.0,49.0,7.0,2724.0
2024-01-01 12:30:00+02:00,812.0,176.0,190.0,0.0,597.0,1512.0,4350.0,235.0,2.0,47.0,7.0,2571.0
2024-01-01 12:45:00+02:00,822.0,174.0,190.0,0.0,596.0,1512.0,4351.0,236.0,2.0,46.0,7.0,2471.0
2024-01-01 13:00:00+02:00,821.0,169.0,190.0,0.0,598.0,1579.0,4352.0,235.0,2.0,41.0,7.0,2428.0
2024-01-01 13:15:00+02:00,819.0,179.0,190.0,0.0,604.0,1612.0,4352.0,230.0,2.0,32.0,7.0,2444.0
2024-01-01 13:30:00+02:00,818.0,202.0,190.0,0.0,606.0,1598.0,4350.0,232.0,2.0,24.0,7.0,2415.0
2024-01-01 13:45:00+02:00,825.0,201.0,188.0,0.0,608.0,1584.0,4351.0,236.0,2.0,15.0,7.0,2400.0
2024-01-01 14:00:00+02:00,805.0,198.0,190.0,0.0,606.0,1530.0,4350.0,237.0,2.0,9.0,7.0,2457.0
2024-01-01 14:15:00+02:00,828.0,202.0,190.0,0.0,601.0,1457.0,4351.0,241.0,2.0,7.0,7.0,2471.0
2024-01-01 14:30:00+02:00,814.0,194.0,192.0,0.0,601.0,1471.0,4350.0,254.0,2.0,4.0,7.0,2438.0
2024-01-01 14:45:00+02:00,818.0,178.0,192.0,0.0,600.0,1542.0,4350.0,256.0,2.0,1.0,7.0,2387.0
2024-01-01 15:00:00+02:00,820.0,171.0,192.0,0.0,602.0,1667.0,4351.0,258.0,2.0,0.0,7.0,2411.0
2024-01-01 15:15:00+02:00,836.0,175.0,192.0,0.0,609.0,1721.0,4350.0,258.0,2.0,0.0,7.0,2439.0
2024-01-01 15:30:00+02:00,838.0,185.0,192.0,0.0,615.0,1689.0,4351.0,260.0,2.0,0.0,7.0,2516.0
2024-01-01 15:45:00+02:00,850.0,178.0,192.0,0.0,629.0,1717.0,4351.0,261.0,2.0,0.0,7.0,2575.0
2024-01-01 16:00:00+02:00,848.0,170.0,192.0,0.0,633.0,1942.0,4351.0,261.0,2.0,0.0,7.0,2626.0
2024-01-01 16:15:00+02:00,848.0,172.0,192.0,0.0,634.0,1984.0,4351.0,261.0,2.0,0.0,7.0,2662.0
2024-01-01 16:30:00+02:00,853.0,190.0,192.0,0.0,637.0,1980.0,4351.0,263.0,2.0,0.0,7.0,2661.0
2024-01-01 16:45:00+02:00,850.0,199.0,192.0,0.0,638.0,2004.0,4352.0,264.0,2.0,0.0,7.0,2622.0
2024-01-01 17:00:00+02:00,834.0,202.0,192.0,0.0,643.0,1989.0,4352.0,264.0,2.0,0.0,7.0,2591.0
2024-01-01 17:15:00+02:00,838.0,207.0,192.0,0.0,642.0,2007.0,4351.0,264.0,2.0,0.0,7.0,2549.0
2024-01-01 17:30:00+02:00,836.0,210.0,192.0,0.0,637.0,2008.0,4351.0,264.0,2.0,0.0,7.0,2496.0
2024-01-01 17:45:00+02:00,837.0,213.0,192.0,0.0,642.0,2032.0,4356.0,264.0,2.0,0.0,7.0,2438.0
2024-01-01 18:00:00+02:00,827.0,220.0,192.0,0.0,641.0,2097.0,4363.0,264.0,2.0,0.0,7.0,2368.0
2024-01-01 18:15:00+02:00,820.0,207.0,192.0,0.0,648.0,2182.0,4361.0,264.0,2.0,0.0,8.0,2333.0
2024-01-01 18:30:00+02:00,829.0,206.0,192.0,0.0,651.0,2200.0,4362.0,264.0,2.0,0.0,14.0,2352.0
2024-01-01 18:45:00+02:00,851.0,200.0,192.0,0.0,653.0,2189.0,4362.0,264.0,2.0,0.0,16.0,2402.0
2024-01-01 19:00:00+02:00,832.0,174.0,192.0,0.0,641.0,2121.0,4361.0,267.0,2.0,0.0,16.0,2465.0
2024-01-01 19:15:00+02:00,845.0,169.0,192.0,0.0,635.0,2042.0,4361.0,267.0,2.0,0.0,16.0,2525.0
2024-01-01 19:30:00+02:00,840.0,169.0,192.0,0.0,632.0,2005.0,4362.0,267.0,2.0,0.0,16.0,2571.0
2024-01-01 19:45:00+02:00,838.0,177.0,192.0,0.0,630.0,1946.0,4361.0,267.0,2.0,0.0,16.0,2605.0
