,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2024-01-01 02:00:00+02:00,31.0,845.0,1435.0,0.0,846.0,35.0,1396.0,0.0,1296.0
2024-01-01 02:15:00+02:00,31.0,842.0,1425.0,0.0,839.0,33.0,1396.0,0.0,1329.0
2024-01-01 02:30:00+02:00,31.0,842.0,1423.0,0.0,836.0,32.0,1396.0,0.0,1365.0
2024-01-01 02:45:00+02:00,32.0,835.0,1421.0,0.0,836.0,31.0,1396.0,0.0,1364.0
2024-01-01 03:00:00+02:00,32.0,851.0,1457.0,0.0,834.0,31.0,1396.0,0.0,1372.0
2024-01-01 03:15:00+02:00,32.0,844.0,1425.0,0.0,808.0,31.0,1396.0,0.0,1347.0
2024-01-01 03:30:00+02:00,32.0,842.0,1423.0,0.0,806.0,31.0,1396.0,0.0,1291.0
2024-01-01 03:45:00+02:00,32.0,839.0,1423.0,0.0,805.0,31.0,1396.0,0.0,1283.0
2024-01-01 04:00:00+02:00,32.0,849.0,1441.0,0.0,820.0,31.0,1396.0,0.0,1287.0
2024-01-01 04:15:00+02:00,32.0,848.0,1438.0,0.0,817.0,31.0,1396.0,0.0,1319.0
2024-01-01 04:30:00+02:00,32.0,837.0,1422.0,0.0,805.0,31.0,1396.0,0.0,1305.0
2024-01-01 04:45:00+02:00,32.0,840.0,1420.0,0.0,805.0,31.0,1396.0,0.0,1277.0
2024-01-01 05:00:00+02:00,32.0,840.0,1432.0,0.0,898.0,30.0,1396.0,0.0,1282.0
2024-01-01 05:15:00+02:00,32.0,847.0,1433.0,0.0,912.0,31.0,1396.0,0.0,1276.0
2024-01-01 05:30:00+02:00,32.0,843.0,1422.0,0.0,903.0,32.0,1395.0,0.0,1300.0
2024-01-01 05:45:00+02:00,32.0,843.0,1421.0,0.0,907.0,32.0,1395.0,0.0,1271.0
2024-01-01 06:00:00+02:00,32.0,842.0,1425.0,0.0,985.0,31.0,1395.0,0.0,1202.0
2024-01-01 06:15:00+02:00,32.0,841.0,1421.0,0.0,986.0,32.0,1395.0,0.0,1170.0
2024-01-01 06:30:00+02:00,32.0,838.0,1426.0,0.0,991.0,32.0,1395.0,0.0,1094.0
2024-01-01 06:45:00+02:00,32.0,839.0,1422.0,0.0,989.0,32.0,1396.0,0.0,1037.0
2024-01-01 07:00:00+02:00,31.0,843.0,1433.0,0.0,1014.0,43.0,1395.0,0.0,954.0
2024-01-01 07:15:00+02:00,32.0,843.0,1424.0,0.0,1165.0,132.0,1395.0,0.0,860.0
2024-01-01 07:30:00+02:00,32.0,842.0,1420.0,0.0,1171.0,149.0,1395.0,0.0,827.0
2024-01-01 07:45:00+02:00,32.0,840.0,1416.0,0.0,1177.0,160.0,1395.0,0.0,773.0
2024-01-01 08:00:00+02:00,31.0,826.0,1378.0,0.0,1171.0,184.0,1395.0,3.0,707.0
2024-01-01 08:15:00+02:00,32.0,822.0,1380.0,0.0,1175.0,185.0,1395.0,21.0,643.0
2024-01-01 08:30:00+02:00,32.0,828.0,1385.0,0.0,1167.0,208.0,1395.0,53.0,574.0
2024-01-01 08:45:00+02:00,31.0,833.0,1393.0,0.0,1173.0,207.0,1395.0,72.0,508.0
2024-01-01 09:00:00+02:00,31.0,800.0,1317.0,0.0,1123.0,206.0,1394.0,97.0,451.0
2024-01-01 09:15:00+02:00,31.0,797.0,1304.0,0.0,1116.0,149.0,1395.0,142.0,426.0
2024-01-01 09:30:00+02:00,31.0,796.0,1319.0,0.0,1043.0,101.0,1394.0,186.0,388.0
2024-01-01 09:45:00+02:00,31.0,798.0,1323.0,0.0,984.0,91.0,1394.0,218.0,376.0
2024-01-01 10:00:00+02:00,32.0,811.0,1355.0,0.0,966.0,52.0,1394.0,249.0,376.0
