,Biomass_Actual Aggregated,Fossil Gas_Actual Aggregated,Hydro Pumped Storage_Actual Aggregated,Hydro Pumped Storage_Actual Consumption,Hydro Run-of-river and poundage_Actual Aggregated,Other_Actual Aggregated,Solar_Actual Aggregated,Waste_Actual Aggregated,Wind Onshore_Actual Aggregated
2022-01-01 02:00:00+02:00,54.0,37.0,0.0,0.0,24.0,14.0,0.0,19.0,247.0
2022-01-01 03:00:00+02:00,54.0,37.0,35.0,0.0,24.0,14.0,0.0,19.0,263.0
2022-01-01 04:00:00+02:00,54.0,37.0,0.0,201.0,24.0,14.0,0.0,19.0,251.0
2022-01-01 05:00:00+02:00,54.0,37.0,0.0,223.0,24.0,14.0,0.0,19.0,265.0
2022-01-01 06:00:00+02:00,55.0,37.0,0.0,216.0,24.0,14.0,0.0,19.0,268.0
2022-01-01 07:00:00+02:00,55.0,37.0,0.0,0.0,24.0,13.0,0.0,19.0,317.0
2022-01-01 08:00:00+02:00,55.0,37.0,110.0,133.0,24.0,13.0,1.0,18.0,344.0
2022-01-01 09:00:00+02:00,55.0,37.0,115.0,141.0,24.0,13.0,3.0,18.0,343.0
2022-01-01 10:00:00+02:00,55.0,37.0,45.0,54.0,24.0,13.0,5.0,18.0,334.0
2022-01-01 11:00:00+02:00,55.0,37.0,0.0,0.0,24.0,13.0,5.0,18.0,288.0
2022-01-01 12:00:00+02:00,55.0,37.0,1.0,0.0,24.0,13.0,4.0,18.0,283.0
2022-01-01 13:00:00+02:00,56.0,37.0,162.0,0.0,24.0,13.0,3.0,18.0,231.0
2022-01-01 14:00:00+02:00,56.0,37.0,192.0,0.0,24.0,13.0,1.0,18.0,190.0
2022-01-01 15:00:00+02:00,56.0,37.0,192.0,0.0,24.0,13.0,0.0,18.0,184.0
2022-01-01 16:00:00+02:00,56.0,37.0,238.0,0.0,24.0,13.0,0.0,18.0,126.0
2022-01-01 17:00:00+02:00,57.0,37.0,423.0,0.0,24.0,13.0,0.0,18.0,94.0
2022-01-01 18:00:00+02:00,56.0,37.0,402.0,0.0,24.0,13.0,0.0,18.0,73.0
2022-01-01 19:00:00+02:00,56.0,37.0,382.0,0.0,24.0,13.0,0.0,18.0,45.0
2022-01-01 20:00:00+02:00,57.0,37.0,408.0,0.0,24.0,13.0,0.0,18.0,20.0
2022-01-01 21:00:00+02:00,57.0,37.0,305.0,0.0,24.0,13.0,0.0,18.0,9.0
2022-01-01 22:00:00+02:00,56.0,37.0,332.0,0.0,24.0,13.0,0.0,18.0,6.0
2022-01-01 23:00:00+02:00,56.0,37.0,147.0,0.0,24.0,13.0,0.0,18.0,10.0
2022-01-02 00:00:00+02:00,57.0,37.0,51.0,0.0,24.0,13.0,0.0,18.0,17.0
2022-01-02 01:00:00+02:00,57.0,36.0,0.0,0.0,24.0,13.0,0.0,19.0,35.0
2022-01-02 02:00:00+02:00,57.0,36.0,0.0,224.0,24.0,13.0,0.0,19.0,54.0
2022-01-02 03:00:00+02:00,57.0,36.0,0.0,440.0,24.0,13.0,0.0,19.0,97.0
2022-01-02 04:00:00+02:00,57.0,36.0,0.0,566.0,24.0,13.0,0.0,19.0,129.0
2022-01-02 05:00:00+02:00,57.0,36.0,0.0,655.0,24.0,13.0,0.0,19.0,171.0
2022-01-02 06:00:00+02:00,57.0,36.0,0.0,652.0,24.0,13.0,0.0,19.0,252.0
