,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Wind Onshore
2023-01-01 01:00:00+01:00,30.0,1947.0,237.0,0.0,1001.0,0.0,27.0,105.0
2023-01-01 02:00:00+01:00,30.0,1945.0,239.0,0.0,909.0,0.0,27.0,157.0
2023-01-01 03:00:00+01:00,30.0,1924.0,239.0,0.0,764.0,0.0,27.0,76.0
2023-01-01 04:00:00+01:00,30.0,1934.0,237.0,0.0,876.0,0.0,27.0,38.0
2023-01-01 05:00:00+01:00,30.0,1943.0,238.0,0.0,996.0,0.0,27.0,95.0
2023-01-01 06:00:00+01:00,30.0,1946.0,242.0,0.0,844.0,0.0,27.0,121.0
2023-01-01 07:00:00+01:00,30.0,1956.0,233.0,0.0,890.0,0.0,27.0,116.0
2023-01-01 08:00:00+01:00,30.0,1931.0,240.0,0.0,1099.0,0.0,27.0,111.0
2023-01-01 09:00:00+01:00,30.0,1932.0,233.0,0.0,1314.0,0.0,27.0,70.0
2023-01-01 10:00:00+01:00,30.0,1954.0,233.0,0.0,1493.0,0.0,27.0,92.0
2023-01-01 11:00:00+01:00,30.0,1948.0,233.0,0.0,1466.0,21.0,27.0,66.0
2023-01-01 12:00:00+01:00,30.0,1957.0,235.0,0.0,1358.0,24.0,27.0,61.0
2023-01-01 13:00:00+01:00,30.0,1959.0,235.0,0.0,1357.0,0.0,27.0,49.0
2023-01-01 14:00:00+01:00,30.0,1938.0,233.0,0.0,1355.0,0.0,27.0,40.0
2023-01-01 15:00:00+01:00,30.0,1911.0,231.0,0.0,1347.0,0.0,27.0,39.0
2023-01-01 16:00:00+01:00,30.0,1896.0,232.0,0.0,1453.0,0.0,27.0,48.0
2023-01-01 17:00:00+01:00,30.0,1896.0,235.0,0.0,1420.0,0.0,27.0,88.0
2023-01-01 18:00:00+01:00,30.0,1936.0,235.0,0.0,1224.0,0.0,27.0,111.0
2023-01-01 19:00:00+01:00,30.0,1942.0,235.0,0.0,1256.0,0.0,27.0,63.0
2023-01-01 20:00:00+01:00,30.0,1926.0,236.0,0.0,1280.0,0.0,27.0,50.0
2023-01-01 21:00:00+01:00,30.0,1935.0,235.0,0.0,1175.0,21.0,27.0,81.0
2023-01-01 22:00:00+01:00,30.0,1934.0,237.0,0.0,1211.0,9.0,27.0,97.0
2023-01-01 23:00:00+01:00,30.0,1947.0,235.0,0.0,1322.0,0.0,27.0,96.0
2023-01-02 00:00:00+01:00,30.0,1911.0,234.0,0.0,1262.0,0.0,27.0,72.0
2023-01-02 01:00:00+01:00,30.0,1900.0,233.0,0.0,1156.0,0.0,27.0,45.0
2023-01-02 02:00:00+01:00,30.0,1906.0,233.0,0.0,1041.0,0.0,27.0,28.0
2023-01-02 03:00:00+01:00,30.0,1886.0,232.0,0.0,993.0,0.0,27.0,23.0
2023-01-02 04:00:00+01:00,30.0,1923.0,232.0,0.0,891.0,0.0,27.0,34.0
2023-01-02 05:00:00+01:00,30.0,1930.0,232.0,0.0,770.0,0.0,27.0,43.0
2023-01-02 06:00:00+01:00,30.0,1943.0,225.0,0.0,962.0,0.0,27.0,56.0
2023-01-02 07:00:00+01:00,30.0,1952.0,225.0,0.0,1076.0,0.0,27.0,93.0
2023-01-02 08:00:00+01:00,30.0,1943.0,232.0,0.0,1336.0,0.0,27.0,105.0
2023-01-02 09:00:00+01:00,30.0,1951.0,233.0,56.0,1483.0,0.0,27.0,86.0
2023-01-02 10:00:00+01:00,30.0,1951.0,233.0,206.0,1462.0,9.0,27.0,66.0
2023-01-02 11:00:00+01:00,30.0,1972.0,230.0,206.0,1439.0,25.0,27.0,52.0
2023-01-02 12:00:00+01:00,30.0,1974.0,235.0,206.0,1395.0,8.0,27.0,40.0
2023-01-02 13:00:00+01:00,30.0,1980.0,225.0,207.0,1369.0,0.0,27.0,41.0
2023-01-02 14:00:00+01:00,30.0,1981.0,232.0,59.0,1386.0,0.0,27.0,44.0
2023-01-02 15:00:00+01:00,30.0,2035.0,230.0,0.0,1446.0,0.0,27.0,33.0
2023-01-02 16:00:00+01:00,30.0,2129.0,229.0,62.0,1483.0,0.0,27.0,46.0
2023-01-02 17:00:00+01:00,30.0,2134.0,229.0,206.0,1493.0,0.0,27.0,59.0
2023-01-02 18:00:00+01:00,30.0,2143.0,230.0,206.0,1473.0,0.0,27.0,57.0
2023-01-02 19:00:00+01:00,30.0,2144.0,231.0,206.0,1459.0,0.0,27.0,50.0
2023-01-02 20:00:00+01:00,30.0,2137.0,230.0,189.0,1469.0,0.0,27.0,24.0
2023-01-02 21:00:00+01:00,30.0,2125.0,228.0,0.0,1166.0,21.0,27.0,16.0
