,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2024-01-01 01:00:00+01:00,452.0,146.0,255.0,52.0,1.0,65.0,1585.0,1335.0
2024-01-01 02:00:00+01:00,438.0,150.0,262.0,53.0,1.0,65.0,1668.0,1256.0
2024-01-01 03:00:00+01:00,395.0,141.0,258.0,52.0,1.0,69.0,1690.0,1222.0
2024-01-01 04:00:00+01:00,392.0,142.0,260.0,53.0,1.0,70.0,1418.0,1119.0
2024-01-01 05:00:00+01:00,393.0,141.0,258.0,52.0,1.0,71.0,1401.0,1115.0
2024-01-01 06:00:00+01:00,408.0,147.0,263.0,53.0,1.0,71.0,1207.0,1199.0
2024-01-01 07:00:00+01:00,409.0,163.0,283.0,56.0,1.0,73.0,1219.0,1261.0
2024-01-01 08:00:00+01:00,409.0,162.0,287.0,60.0,0.0,71.0,1074.0,1259.0
2024-01-01 09:00:00+01:00,410.0,163.0,301.0,67.0,17.0,76.0,1422.0,1298.0
2024-01-01 10:00:00+01:00,483.0,202.0,337.0,68.0,58.0,77.0,1364.0,1316.0
2024-01-01 11:00:00+01:00,491.0,213.0,337.0,68.0,84.0,76.0,1281.0,1292.0
2024-01-01 12:00:00+01:00,508.0,218.0,341.0,67.0,106.0,77.0,1103.0,1257.0
2024-01-01 13:00:00+01:00,580.0,220.0,345.0,68.0,97.0,77.0,921.0,1294.0
2024-01-01 14:00:00+01:00,589.0,213.0,345.0,68.0,49.0,78.0,676.0,1315.0
2024-01-01 15:00:00+01:00,708.0,226.0,359.0,69.0,9.0,96.0,720.0,1357.0
2024-01-01 16:00:00+01:00,802.0,260.0,457.0,70.0,1.0,97.0,831.0,1457.0
2024-01-01 17:00:00+01:00,771.0,264.0,522.0,70.0,1.0,96.0,755.0,1511.0
2024-01-01 18:00:00+01:00,728.0,266.0,519.0,70.0,1.0,97.0,799.0,1541.0
2024-01-01 19:00:00+01:00,738.0,266.0,506.0,70.0,1.0,95.0,976.0,1548.0
2024-01-01 20:00:00+01:00,703.0,241.0,362.0,70.0,1.0,91.0,1065.0,1553.0
2024-01-01 21:00:00+01:00,665.0,232.0,345.0,71.0,1.0,74.0,1152.0,1591.0
2024-01-01 22:00:00+01:00,657.0,230.0,341.0,70.0,0.0,71.0,1162.0,1618.0
2024-01-01 23:00:00+01:00,590.0,201.0,304.0,63.0,0.0,72.0,1256.0,1610.0
2024-01-02 00:00:00+01:00,405.0,184.0,294.0,59.0,0.0,71.0,1170.0,1619.0
2024-01-02 01:00:00+01:00,342.0,176.0,295.0,60.0,1.0,71.0,966.0,1625.0
2024-01-02 02:00:00+01:00,395.0,176.0,289.0,58.0,1.0,70.0,880.0,1576.0
2024-01-02 03:00:00+01:00,432.0,171.0,285.0,57.0,1.0,64.0,946.0,1557.0
2024-01-02 04:00:00+01:00,423.0,165.0,306.0,57.0,1.0,62.0,999.0,1580.0
2024-01-02 05:00:00+01:00,534.0,166.0,365.0,57.0,1.0,66.0,1145.0,1778.0
2024-01-02 06:00:00+01:00,682.0,191.0,374.0,61.0,0.0,94.0,1296.0,1969.0
2024-01-02 07:00:00+01:00,734.0,225.0,541.0,71.0,0.0,95.0,1410.0,2174.0
2024-01-02 08:00:00+01:00,802.0,266.0,561.0,73.0,0.0,96.0,1465.0,2461.0
2024-01-02 09:00:00+01:00,853.0,282.0,555.0,71.0,22.0,96.0,1475.0,2772.0
2024-01-02 10:00:00+01:00,827.0,382.0,564.0,73.0,76.0,96.0,1602.0,3080.0
2024-01-02 11:00:00+01:00,829.0,392.0,573.0,75.0,112.0,98.0,1751.0,3242.0
2024-01-02 12:00:00+01:00,832.0,400.0,570.0,74.0,132.0,97.0,1853.0,3378.0
2024-01-02 13:00:00+01:00,865.0,389.0,571.0,74.0,96.0,96.0,1989.0,3484.0
2024-01-02 14:00:00+01:00,850.0,422.0,579.0,76.0,45.0,99.0,2117.0,3649.0
2024-01-02 15:00:00+01:00,850.0,474.0,628.0,86.0,9.0,102.0,2141.0,3764.0
2024-01-02 16:00:00+01:00,874.0,484.0,638.0,88.0,1.0,103.0,2162.0,3894.0
2024-01-02 17:00:00+01:00,847.0,444.0,622.0,84.0,1.0,100.0,2176.0,3955.0
2024-01-02 18:00:00+01:00,848.0,411.0,604.0,81.0,0.0,99.0,2173.0,4000.0
2024-01-02 19:00:00+01:00,795.0,284.0,592.0,78.0,0.0,100.0,2166.0,4014.0
2024-01-02 20:00:00+01:00,840.0,260.0,568.0,77.0,0.0,99.0,2152.0,4008.0
