,Biomass_Actual Aggregated,Fossil Gas_Actual Aggregated,Fossil Gas_Actual Consumption,Fossil Hard coal_Actual Aggregated,Fossil Hard coal_Actual Consumption,Hydro Pumped Storage_Actual Aggregated,Hydro Pumped Storage_Actual Consumption,Hydro Run-of-river and poundage_Actual Aggregated,Hydro Run-of-river and poundage_Actual Consumption,Hydro Water Reservoir_Actual Aggregated,Hydro Water Reservoir_Actual Consumption,Other_Actual Aggregated,Solar_Actual Aggregated,Wind Offshore_Actual Aggregated,Wind Onshore_Actual Aggregated
2023-01-01 00:00:00+00:00,386.0,133.0,7.0,0.0,0.0,358.0,130.0,982.0,1.0,727.0,0.0,27.0,0.0,8.0,3409.0
2023-01-01 01:00:00+00:00,381.0,133.0,8.0,0.0,0.0,78.0,395.0,759.0,1.0,648.0,0.0,28.0,0.0,9.0,3548.0
2023-01-01 02:00:00+00:00,375.0,133.0,8.0,0.0,0.0,78.0,812.0,537.0,2.0,597.0,0.0,28.0,0.0,12.0,3661.0
2023-01-01 03:00:00+00:00,372.0,134.0,8.0,0.0,0.0,64.0,1130.0,534.0,2.0,586.0,0.0,26.0,0.0,17.0,4057.0
2023-01-01 04:00:00+00:00,371.0,133.0,8.0,0.0,0.0,0.0,1368.0,404.0,2.0,514.0,0.0,26.0,0.0,17.0,4002.0
2023-01-01 05:00:00+00:00,372.0,133.0,8.0,0.0,0.0,0.0,1370.0,440.0,2.0,473.0,1.0,24.0,0.0,9.0,3878.0
2023-01-01 06:00:00+00:00,374.0,133.0,7.0,0.0,0.0,0.0,1367.0,405.0,2.0,470.0,1.0,25.0,0.0,15.0,3752.0
2023-01-01 07:00:00+00:00,375.0,132.0,7.0,0.0,0.0,0.0,1122.0,365.0,2.0,458.0,1.0,26.0,0.0,17.0,3449.0
2023-01-01 08:00:00+00:00,376.0,132.0,7.0,0.0,0.0,0.0,1078.0,327.0,2.0,489.0,1.0,27.0,29.0,17.0,3311.0
2023-01-01 09:00:00+00:00,371.0,136.0,7.0,0.0,0.0,0.0,995.0,314.0,2.0,607.0,0.0,26.0,149.0,17.0,3369.0
2023-01-01 10:00:00+00:00,368.0,135.0,7.0,0.0,0.0,0.0,631.0,318.0,2.0,737.0,0.0,26.0,461.0,13.0,3412.0
2023-01-01 11:00:00+00:00,366.0,136.0,7.0,0.0,0.0,126.0,508.0,779.0,1.0,1060.0,0.0,25.0,683.0,1.0,3389.0
2023-01-01 12:00:00+00:00,363.0,136.0,8.0,0.0,0.0,283.0,284.0,688.0,1.0,691.0,0.0,26.0,666.0,1.0,3928.0
2023-01-01 13:00:00+00:00,363.0,138.0,9.0,0.0,0.0,375.0,461.0,685.0,1.0,657.0,0.0,26.0,479.0,2.0,4077.0
2023-01-01 14:00:00+00:00,353.0,139.0,10.0,0.0,0.0,209.0,549.0,909.0,1.0,688.0,0.0,25.0,271.0,6.0,3957.0
2023-01-01 15:00:00+00:00,369.0,140.0,13.0,0.0,0.0,502.0,117.0,988.0,1.0,784.0,0.0,27.0,136.0,3.0,3617.0
2023-01-01 16:00:00+00:00,361.0,161.0,6.0,0.0,0.0,649.0,61.0,1055.0,1.0,1070.0,0.0,27.0,53.0,2.0,3109.0
2023-01-01 17:00:00+00:00,348.0,230.0,6.0,0.0,0.0,1561.0,60.0,1476.0,0.0,1314.0,0.0,27.0,1.0,3.0,2456.0
2023-01-01 18:00:00+00:00,348.0,295.0,6.0,0.0,0.0,2459.0,59.0,1737.0,0.0,1369.0,0.0,25.0,0.0,6.0,2014.0
2023-01-01 19:00:00+00:00,348.0,296.0,6.0,0.0,0.0,2526.0,59.0,1725.0,0.0,1350.0,0.0,27.0,0.0,4.0,2009.0
2023-01-01 20:00:00+00:00,351.0,297.0,6.0,0.0,0.0,2279.0,153.0,1737.0,0.0,1304.0,0.0,27.0,0.0,7.0,2182.0
2023-01-01 21:00:00+00:00,350.0,179.0,10.0,0.0,0.0,1910.0,243.0,1716.0,0.0,1315.0,0.0,26.0,0.0,6.0,2362.0
2023-01-01 22:00:00+00:00,352.0,140.0,11.0,0.0,0.0,1611.0,291.0,1694.0,0.0,1358.0,0.0,25.0,0.0,3.0,2042.0
2023-01-01 23:00:00+00:00,351.0,133.0,11.0,0.0,0.0,890.0,404.0,1908.0,0.0,889.0,0.0,26.0,0.0,3.0,1500.0
2023-01-02 00:00:00+00:00,344.0,133.0,11.0,0.0,0.0,850.0,404.0,1468.0,0.0,892.0,0.0,27.0,0.0,4.0,1078.0
2023-01-02 01:00:00+00:00,344.0,134.0,10.0,0.0,0.0,722.0,382.0,1278.0,0.0,941.0,0.0,26.0,0.0,2.0,850.0
2023-01-02 02:00:00+00:00,351.0,135.0,12.0,0.0,0.0,810.0,336.0,1153.0,1.0,913.0,0.0,26.0,0.0,3.0,808.0
2023-01-02 03:00:00+00:00,346.0,196.0,11.0,0.0,0.0,904.0,404.0,1199.0,1.0,889.0,0.0,22.0,0.0,1.0,890.0
