,Biomass_Actual Aggregated,Fossil Gas_Actual Aggregated,Fossil Gas_Actual Consumption,Fossil Hard coal_Actual Aggregated,Fossil Hard coal_Actual Consumption,Hydro Pumped Storage_Actual Aggregated,Hydro Pumped Storage_Actual Consumption,Hydro Run-of-river and poundage_Actual Aggregated,Hydro Run-of-river and poundage_Actual Consumption,Hydro Water Reservoir_Actual Aggregated,Hydro Water Reservoir_Actual Consumption,Other_Actual Aggregated,Solar_Actual Aggregated,Wind Offshore_Actual Aggregated,Wind Onshore_Actual Aggregated
2022-01-01 00:00:00+00:00,417.0,158.0,13.0,0.0,0.0,256.0,666.0,339.0,2.0,50.0,1.0,26.0,0.0,25.0,2303.0
2022-01-01 01:00:00+00:00,423.0,154.0,13.0,0.0,0.0,26.0,732.0,195.0,2.0,51.0,1.0,28.0,0.0,25.0,2220.0
2022-01-01 02:00:00+00:00,420.0,155.0,11.0,0.0,0.0,0.0,1104.0,174.0,2.0,44.0,1.0,28.0,0.0,25.0,2146.0
2022-01-01 03:00:00+00:00,418.0,155.0,11.0,0.0,0.0,0.0,1254.0,145.0,2.0,46.0,1.0,27.0,0.0,25.0,2227.0
2022-01-01 04:00:00+00:00,414.0,154.0,11.0,0.0,0.0,0.0,1484.0,142.0,2.0,45.0,1.0,26.0,0.0,25.0,2357.0
2022-01-01 05:00:00+00:00,418.0,154.0,9.0,0.0,0.0,0.0,1623.0,186.0,2.0,48.0,1.0,27.0,0.0,25.0,2415.0
2022-01-01 06:00:00+00:00,416.0,155.0,8.0,0.0,0.0,0.0,1705.0,319.0,1.0,46.0,1.0,28.0,0.0,25.0,2441.0
2022-01-01 07:00:00+00:00,406.0,154.0,8.0,0.0,0.0,0.0,1544.0,346.0,1.0,41.0,1.0,27.0,2.0,25.0,2559.0
2022-01-01 08:00:00+00:00,403.0,156.0,7.0,0.0,0.0,0.0,1952.0,177.0,2.0,52.0,2.0,27.0,116.0,25.0,2707.0
2022-01-01 09:00:00+00:00,404.0,157.0,8.0,0.0,0.0,0.0,1749.0,185.0,2.0,67.0,2.0,27.0,410.0,25.0,2671.0
2022-01-01 10:00:00+00:00,406.0,156.0,7.0,0.0,0.0,0.0,1435.0,182.0,2.0,34.0,2.0,27.0,629.0,25.0,2460.0
2022-01-01 11:00:00+00:00,395.0,154.0,7.0,0.0,0.0,0.0,1416.0,156.0,2.0,35.0,2.0,27.0,711.0,25.0,2308.0
2022-01-01 12:00:00+00:00,396.0,155.0,7.0,0.0,0.0,0.0,1726.0,155.0,2.0,35.0,1.0,27.0,712.0,25.0,2298.0
2022-01-01 13:00:00+00:00,395.0,153.0,7.0,0.0,0.0,0.0,1742.0,155.0,2.0,33.0,1.0,26.0,660.0,25.0,2222.0
2022-01-01 14:00:00+00:00,395.0,150.0,8.0,0.0,0.0,0.0,1625.0,165.0,2.0,34.0,1.0,27.0,572.0,25.0,2099.0
2022-01-01 15:00:00+00:00,394.0,148.0,7.0,0.0,0.0,3.0,1510.0,168.0,2.0,33.0,1.0,28.0,401.0,25.0,2055.0
2022-01-01 16:00:00+00:00,387.0,153.0,7.0,0.0,0.0,114.0,288.0,279.0,1.0,34.0,1.0,26.0,159.0,25.0,2231.0
2022-01-01 17:00:00+00:00,389.0,155.0,7.0,0.0,0.0,301.0,3.0,428.0,1.0,97.0,1.0,26.0,3.0,25.0,2543.0
2022-01-01 18:00:00+00:00,386.0,155.0,8.0,0.0,0.0,438.0,3.0,551.0,1.0,93.0,1.0,26.0,0.0,25.0,2744.0
2022-01-01 19:00:00+00:00,386.0,155.0,7.0,0.0,0.0,248.0,94.0,829.0,1.0,159.0,1.0,26.0,0.0,25.0,2836.0
