,Biomass_Actual Aggregated,Fossil Gas_Actual Aggregated,Fossil Oil_Actual Aggregated,Hydro Pumped Storage_Actual Aggregated,Hydro Pumped Storage_Actual Consumption,Hydro Run-of-river and poundage_Actual Aggregated,Nuclear_Actual Aggregated,Other_Actual Aggregated,Solar_Actual Aggregated,Waste_Actual Aggregated,Wind Offshore_Actual Aggregated,Wind Offshore_Actual Consumption,Wind Onshore_Actual Aggregated
2023-01-01 01:00:00+01:00,78.0,850.0,0.0,0.0,537.0,49.0,4949.0,412.0,0.0,222.0,1983.0,0.0,2192.0
2023-01-01 02:00:00+01:00,78.0,865.0,0.0,0.0,601.0,49.0,4948.0,419.0,0.0,220.0,1976.0,0.0,2191.0
2023-01-01 03:00:00+01:00,75.0,832.0,0.0,0.0,649.0,49.0,4951.0,416.0,0.0,217.0,1923.0,0.0,2164.0
2023-01-01 04:00:00+01:00,78.0,858.0,0.0,0.0,640.0,49.0,4948.0,424.0,0.0,223.0,1992.0,0.0,2113.0
2023-01-01 05:00:00+01:00,78.0,844.0,0.0,0.0,472.0,49.0,4948.0,418.0,0.0,225.0,1961.0,0.0,2009.0
2023-01-01 06:00:00+01:00,78.0,861.0,0.0,5.0,20.0,49.0,4946.0,428.0,0.0,222.0,1985.0,0.0,1985.0
2023-01-01 07:00:00+01:00,80.0,863.0,0.0,73.0,2.0,49.0,4949.0,443.0,0.0,223.0,1985.0,0.0,1904.0
2023-01-01 08:00:00+01:00,81.0,857.0,0.0,101.0,2.0,49.0,4949.0,462.0,0.0,225.0,2091.0,0.0,1738.0
2023-01-01 09:00:00+01:00,77.0,876.0,0.0,4.0,95.0,49.0,4951.0,509.0,75.0,219.0,2027.0,0.0,1676.0
2023-01-01 10:00:00+01:00,78.0,820.0,0.0,0.0,206.0,49.0,4952.0,487.0,284.0,222.0,1927.0,0.0,1582.0
2023-01-01 11:00:00+01:00,76.0,844.0,0.0,0.0,268.0,50.0,4955.0,471.0,709.0,219.0,1419.0,0.0,1538.0
2023-01-01 12:00:00+01:00,75.0,851.0,0.0,0.0,46.0,51.0,4955.0,461.0,767.0,222.0,1553.0,0.0,1445.0
2023-01-01 13:00:00+01:00,75.0,847.0,0.0,233.0,10.0,51.0,4953.0,494.0,521.0,223.0,1681.0,0.0,1335.0
2023-01-01 14:00:00+01:00,68.0,863.0,0.0,156.0,0.0,51.0,4953.0,606.0,292.0,222.0,1639.0,0.0,1101.0
