,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2023-01-01 02:00:00+02:00,32.0,873.0,1393.0,0.0,960.0,42.0,1409.0,0.0,1081.0
2023-01-01 02:15:00+02:00,32.0,875.0,1388.0,0.0,926.0,41.0,1409.0,0.0,1095.0
2023-01-01 02:30:00+02:00,32.0,876.0,1387.0,0.0,926.0,41.0,1409.0,0.0,1118.0
2023-01-01 02:45:00+02:00,32.0,865.0,1367.0,0.0,910.0,42.0,1409.0,0.0,1165.0
2023-01-01 03:00:00+02:00,32.0,859.0,1375.0,0.0,904.0,41.0,1409.0,0.0,1213.0
2023-01-01 03:15:00+02:00,32.0,853.0,1364.0,0.0,897.0,41.0,1409.0,0.0,1243.0
2023-01-01 03:30:00+02:00,32.0,817.0,1287.0,0.0,831.0,41.0,1409.0,0.0,1256.0
2023-01-01 03:45:00+02:00,32.0,816.0,1280.0,0.0,749.0,41.0,1409.0,0.0,1227.0
2023-01-01 04:00:00+02:00,31.0,827.0,1302.0,0.0,759.0,41.0,1409.0,0.0,1038.0
2023-01-01 04:15:00+02:00,32.0,830.0,1311.0,0.0,765.0,44.0,1408.0,0.0,982.0
2023-01-01 04:30:00+02:00,32.0,823.0,1291.0,0.0,749.0,44.0,1409.0,0.0,976.0
2023-01-01 04:45:00+02:00,32.0,822.0,1281.0,0.0,744.0,44.0,1409.0,0.0,951.0
2023-01-01 05:00:00+02:00,32.0,853.0,1362.0,0.0,811.0,43.0,1408.0,0.0,757.0
2023-01-01 05:15:00+02:00,32.0,859.0,1370.0,0.0,816.0,40.0,1408.0,0.0,711.0
2023-01-01 05:30:00+02:00,32.0,848.0,1358.0,0.0,801.0,41.0,1408.0,0.0,685.0
2023-01-01 05:45:00+02:00,32.0,846.0,1351.0,0.0,803.0,42.0,1408.0,0.0,685.0
2023-01-01 06:00:00+02:00,30.0,850.0,1357.0,0.0,818.0,49.0,1407.0,0.0,673.0
2023-01-01 06:15:00+02:00,30.0,853.0,1350.0,0.0,818.0,50.0,1408.0,0.0,687.0
2023-01-01 06:30:00+02:00,30.0,857.0,1349.0,0.0,825.0,50.0,1408.0,0.0,726.0
2023-01-01 06:45:00+02:00,30.0,855.0,1338.0,0.0,811.0,50.0,1408.0,0.0,736.0
2023-01-01 07:00:00+02:00,30.0,843.0,1316.0,0.0,779.0,49.0,1408.0,0.0,770.0
2023-01-01 07:15:00+02:00,30.0,838.0,1306.0,0.0,746.0,48.0,1408.0,0.0,804.0
2023-01-01 07:30:00+02:00,30.0,837.0,1301.0,0.0,737.0,48.0,1409.0,0.0,829.0
2023-01-01 07:45:00+02:00,30.0,831.0,1282.0,0.0,723.0,52.0,1408.0,0.0,792.0
2023-01-01 08:00:00+02:00,30.0,837.0,1289.0,0.0,722.0,64.0,1408.0,3.0,776.0
2023-01-01 08:15:00+02:00,30.0,835.0,1284.0,0.0,724.0,67.0,1408.0,11.0,757.0
2023-01-01 08:30:00+02:00,30.0,828.0,1273.0,0.0,711.0,68.0,1408.0,31.0,750.0
2023-01-01 08:45:00+02:00,29.0,833.0,1282.0,0.0,721.0,68.0,1408.0,62.0,767.0
2023-01-01 09:00:00+02:00,30.0,868.0,1362.0,0.0,781.0,89.0,1409.0,88.0,760.0
2023-01-01 09:15:00+02:00,30.0,871.0,1376.0,0.0,794.0,88.0,1409.0,122.0,708.0
2023-01-01 09:30:00+02:00,30.0,872.0,1381.0,0.0,795.0,88.0,1409.0,170.0,695.0
