,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Solar,Waste,Wind Offshore,Wind Onshore
2023-01-01 01:00:00+01:00,286.0,110.0,223.0,20.0,0.0,118.0,1260.0,1233.0
2023-01-01 02:00:00+01:00,335.0,118.0,230.0,20.0,0.0,119.0,1084.0,1287.0
2023-01-01 03:00:00+01:00,367.0,117.0,228.0,20.0,0.0,118.0,978.0,1309.0
2023-01-01 04:00:00+01:00,352.0,115.0,231.0,20.0,0.0,118.0,789.0,1375.0
2023-01-01 05:00:00+01:00,374.0,115.0,226.0,20.0,0.0,118.0,804.0,1345.0
2023-01-01 06:00:00+01:00,287.0,115.0,226.0,20.0,0.0,118.0,839.0,1354.0
2023-01-01 07:00:00+01:00,207.0,114.0,225.0,20.0,0.0,121.0,912.0,1563.0
2023-01-01 08:00:00+01:00,212.0,113.0,225.0,20.0,0.0,120.0,1164.0,1974.0
2023-01-01 09:00:00+01:00,238.0,114.0,227.0,20.0,11.0,119.0,1508.0,2187.0
2023-01-01 10:00:00+01:00,221.0,116.0,230.0,21.0,64.0,121.0,1707.0,2397.0
2023-01-01 11:00:00+01:00,222.0,115.0,228.0,20.0,120.0,124.0,1568.0,2440.0
2023-01-01 12:00:00+01:00,216.0,114.0,227.0,20.0,169.0,135.0,1661.0,2641.0
2023-01-01 13:00:00+01:00,231.0,114.0,324.0,20.0,143.0,134.0,1235.0,2816.0
2023-01-01 14:00:00+01:00,226.0,115.0,334.0,21.0,95.0,135.0,2012.0,3092.0
2023-01-01 15:00:00+01:00,237.0,124.0,356.0,29.0,27.0,137.0,2038.0,3065.0
2023-01-01 16:00:00+01:00,221.0,139.0,448.0,38.0,0.0,140.0,2028.0,3055.0
2023-01-01 17:00:00+01:00,328.0,175.0,572.0,41.0,0.0,140.0,1962.0,3024.0
2023-01-01 18:00:00+01:00,375.0,174.0,591.0,41.0,0.0,140.0,1808.0,2860.0
2023-01-01 19:00:00+01:00,336.0,146.0,471.0,40.0,0.0,137.0,1894.0,2564.0
2023-01-01 20:00:00+01:00,258.0,146.0,441.0,41.0,0.0,132.0,1873.0,2280.0
2023-01-01 21:00:00+01:00,307.0,139.0,412.0,39.0,0.0,126.0,1771.0,2090.0
2023-01-01 22:00:00+01:00,292.0,137.0,380.0,38.0,0.0,126.0,1821.0,1862.0
2023-01-01 23:00:00+01:00,299.0,136.0,369.0,30.0,0.0,125.0,1624.0,1575.0
2023-01-02 00:00:00+01:00,314.0,150.0,368.0,31.0,0.0,129.0,1344.0,1221.0
2023-01-02 01:00:00+01:00,287.0,151.0,366.0,32.0,0.0,129.0,1067.0,1035.0
2023-01-02 02:00:00+01:00,292.0,151.0,365.0,32.0,0.0,130.0,986.0,889.0
2023-01-02 03:00:00+01:00,274.0,151.0,367.0,32.0,0.0,130.0,916.0,793.0
2023-01-02 04:00:00+01:00,279.0,153.0,379.0,32.0,0.0,131.0,713.0,619.0
2023-01-02 05:00:00+01:00,431.0,154.0,426.0,32.0,0.0,131.0,679.0,533.0
2023-01-02 06:00:00+01:00,601.0,197.0,529.0,32.0,0.0,132.0,580.0,399.0
2023-01-02 07:00:00+01:00,624.0,315.0,647.0,38.0,0.0,135.0,706.0,383.0
