,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore
2023-01-01 01:00:00+01:00,0.0,207.0,72.0,2150.0,5570.0,0.0,67.0,30.0,2218.0
2023-01-01 02:00:00+01:00,0.0,207.0,71.0,2149.0,4712.0,0.0,67.0,29.0,2150.0
2023-01-01 03:00:00+01:00,0.0,207.0,66.0,2126.0,4390.0,0.0,63.0,30.0,2056.0
2023-01-01 04:00:00+01:00,0.0,207.0,67.0,2129.0,4464.0,0.0,62.0,29.0,1873.0
2023-01-01 05:00:00+01:00,0.0,207.0,65.0,2054.0,4640.0,0.0,59.0,30.0,1698.0
2023-01-01 06:00:00+01:00,0.0,207.0,65.0,2047.0,4719.0,0.0,57.0,30.0,1754.0
2023-01-01 07:00:00+01:00,0.0,207.0,66.0,2060.0,4993.0,0.0,53.0,30.0,1737.0
2023-01-01 08:00:00+01:00,0.0,207.0,66.0,2057.0,5116.0,0.0,55.0,31.0,1740.0
2023-01-01 09:00:00+01:00,0.0,207.0,66.0,2043.0,5668.0,0.0,57.0,31.0,1916.0
2023-01-01 10:00:00+01:00,0.0,206.0,72.0,2014.0,6031.0,0.0,62.0,31.0,1963.0
2023-01-01 11:00:00+01:00,0.0,206.0,75.0,2053.0,6812.0,0.0,72.0,32.0,1894.0
2023-01-01 12:00:00+01:00,0.0,206.0,76.0,2096.0,7089.0,0.0,62.0,32.0,1991.0
2023-01-01 13:00:00+01:00,0.0,207.0,76.0,2110.0,7408.0,0.0,58.0,32.0,2224.0
2023-01-01 14:00:00+01:00,0.0,207.0,76.0,2108.0,7202.0,0.0,59.0,36.0,2246.0
2023-01-01 15:00:00+01:00,0.0,206.0,76.0,2149.0,8527.0,0.0,61.0,32.0,2144.0
2023-01-01 16:00:00+01:00,0.0,206.0,76.0,2210.0,10420.0,0.0,60.0,37.0,1943.0
2023-01-01 17:00:00+01:00,0.0,203.0,76.0,2224.0,10559.0,0.0,60.0,34.0,1860.0
2023-01-01 18:00:00+01:00,0.0,206.0,75.0,2200.0,10098.0,0.0,58.0,33.0,1781.0
2023-01-01 19:00:00+01:00,0.0,206.0,75.0,2162.0,10033.0,0.0,60.0,38.0,1872.0
2023-01-01 20:00:00+01:00,0.0,206.0,76.0,2173.0,9949.0,0.0,59.0,37.0,1845.0
2023-01-01 21:00:00+01:00,0.0,206.0,76.0,2198.0,9988.0,0.0,61.0,37.0,1700.0
2023-01-01 22:00:00+01:00,0.0,205.0,75.0,2190.0,9730.0,0.0,63.0,37.0,1588.0
2023-01-01 23:00:00+01:00,0.0,205.0,75.0,2172.0,9526.0,0.0,65.0,37.0,1411.0
2023-01-02 00:00:00+01:00,0.0,202.0,64.0,2091.0,9920.0,0.0,70.0,37.0,1098.0
2023-01-02 01:00:00+01:00,0.0,202.0,59.0,2098.0,9798.0,0.0,72.0,36.0,854.0
2023-01-02 02:00:00+01:00,0.0,202.0,58.0,2060.0,9462.0,0.0,73.0,36.0,816.0
2023-01-02 03:00:00+01:00,0.0,199.0,60.0,2073.0,9548.0,0.0,73.0,36.0,707.0
2023-01-02 04:00:00+01:00,0.0,202.0,59.0,2068.0,9880.0,0.0,71.0,36.0,689.0
2023-01-02 05:00:00+01:00,0.0,204.0,59.0,2075.0,10041.0,0.0,70.0,31.0,665.0
2023-01-02 06:00:00+01:00,0.0,205.0,63.0,2114.0,11407.0,0.0,70.0,31.0,643.0
2023-01-02 07:00:00+01:00,0.0,202.0,122.0,2184.0,14429.0,0.0,67.0,30.0,649.0
2023-01-02 08:00:00+01:00,0.0,204.0,127.0,2248.0,15465.0,0.0,67.0,29.0,699.0
2023-01-02 09:00:00+01:00,0.0,206.0,130.0,2278.0,15505.0,0.0,66.0,27.0,783.0
2023-01-02 10:00:00+01:00,0.0,210.0,131.0,2341.0,15140.0,0.0,67.0,24.0,781.0
2023-01-02 11:00:00+01:00,0.0,211.0,134.0,2385.0,16223.0,0.0,68.0,21.0,765.0
2023-01-02 12:00:00+01:00,0.0,202.0,153.0,2382.0,16733.0,0.0,69.0,26.0,797.0
2023-01-02 13:00:00+01:00,0.0,209.0,162.0,2415.0,16037.0,0.0,69.0,27.0,745.0
2023-01-02 14:00:00+01:00,0.0,207.0,221.0,2421.0,16193.0,0.0,68.0,27.0,732.0
2023-01-02 15:00:00+01:00,0.0,204.0,234.0,2421.0,16926.0,0.0,69.0,26.0,819.0
2023-01-02 16:00:00+01:00,0.0,206.0,236.0,2406.0,17477.0,0.0,71.0,26.0,954.0
2023-01-02 17:00:00+01:00,0.0,212.0,285.0,2428.0,17835.0,0.0,70.0,26.0,840.0
2023-01-02 18:00:00+01:00,0.0,215.0,330.0,2440.0,18124.0,0.0,70.0,26.0,884.0
2023-01-02 19:00:00+01:00,0.0,216.0,270.0,2425.0,17537.0,0.0,68.0,24.0,857.0
2023-01-02 20:00:00+01:00,0.0,215.0,208.0,2417.0,16545.0,0.0,66.0,23.0,807.0
