,Biomass_Actual Aggregated,Fossil Gas_Actual Aggregated,Hydro Pumped Storage_Actual Aggregated,Hydro Pumped Storage_Actual Consumption,Hydro Run-of-river and poundage_Actual Aggregated,Other_Actual Aggregated,Solar_Actual Aggregated,Waste_Actual Aggregated,Wind Onshore_Actual Aggregated
2023-01-01 02:00:00+02:00,34.0,26.0,0.0,66.0,25.0,12.0,0.0,56.0,505.0
2023-01-01 03:00:00+02:00,34.0,25.0,0.0,0.0,25.0,12.0,0.0,56.0,461.0
2023-01-01 04:00:00+02:00,34.0,25.0,0.0,0.0,25.0,12.0,0.0,56.0,444.0
2023-01-01 05:00:00+02:00,34.0,26.0,0.0,0.0,25.0,12.0,0.0,56.0,427.0
2023-01-01 06:00:00+02:00,33.0,26.0,0.0,0.0,25.0,11.0,0.0,56.0,376.0
2023-01-01 07:00:00+02:00,34.0,26.0,68.0,81.0,25.0,10.0,0.0,56.0,431.0
2023-01-01 08:00:00+02:00,34.0,26.0,119.0,145.0,47.0,10.0,0.0,56.0,507.0
2023-01-01 09:00:00+02:00,34.0,26.0,120.0,144.0,31.0,11.0,6.0,56.0,551.0
2023-01-01 10:00:00+02:00,34.0,26.0,0.0,0.0,26.0,12.0,6.0,56.0,571.0
2023-01-01 11:00:00+02:00,34.0,26.0,0.0,0.0,26.0,12.0,6.0,56.0,572.0
2023-01-01 12:00:00+02:00,34.0,26.0,0.0,0.0,26.0,11.0,6.0,56.0,571.0
2023-01-01 13:00:00+02:00,34.0,26.0,0.0,0.0,47.0,11.0,6.0,56.0,571.0
2023-01-01 14:00:00+02:00,34.0,25.0,0.0,0.0,47.0,11.0,6.0,56.0,569.0
2023-01-01 15:00:00+02:00,34.0,25.0,0.0,0.0,88.0,11.0,6.0,56.0,516.0
2023-01-01 16:00:00+02:00,34.0,25.0,0.0,0.0,66.0,10.0,6.0,56.0,547.0
2023-01-01 17:00:00+02:00,34.0,26.0,0.0,0.0,64.0,10.0,6.0,56.0,571.0
2023-01-01 18:00:00+02:00,34.0,26.0,0.0,0.0,90.0,10.0,6.0,56.0,569.0
2023-01-01 19:00:00+02:00,34.0,26.0,0.0,0.0,80.0,10.0,6.0,56.0,570.0
2023-01-01 20:00:00+02:00,34.0,26.0,0.0,0.0,88.0,10.0,6.0,55.0,565.0
2023-01-01 21:00:00+02:00,34.0,26.0,0.0,0.0,51.0,10.0,6.0,55.0,557.0
2023-01-01 22:00:00+02:00,34.0,26.0,0.0,0.0,47.0,10.0,6.0,54.0,513.0
2023-01-01 23:00:00+02:00,34.0,26.0,0.0,0.0,50.0,11.0,6.0,50.0,407.0
2023-01-02 00:00:00+02:00,34.0,25.0,0.0,0.0,74.0,10.0,6.0,50.0,322.0
2023-01-02 01:00:00+02:00,34.0,25.0,0.0,0.0,47.0,10.0,6.0,46.0,222.0
2023-01-02 02:00:00+02:00,34.0,25.0,0.0,0.0,57.0,10.0,6.0,40.0,188.0
2023-01-02 03:00:00+02:00,34.0,25.0,0.0,0.0,47.0,10.0,6.0,40.0,143.0
2023-01-02 04:00:00+02:00,34.0,26.0,0.0,0.0,47.0,10.0,6.0,40.0,111.0
2023-01-02 05:00:00+02:00,34.0,26.0,0.0,0.0,47.0,10.0,6.0,40.0,41.0
2023-01-02 06:00:00+02:00,34.0,26.0,0.0,0.0,47.0,9.0,6.0,39.0,36.0
2023-01-02 07:00:00+02:00,34.0,26.0,1.0,0.0,47.0,10.0,6.0,39.0,66.0
2023-01-02 08:00:00+02:00,34.0,26.0,171.0,0.0,68.0,10.0,6.0,39.0,84.0
2023-01-02 09:00:00+02:00,34.0,26.0,172.0,0.0,68.0,10.0,6.0,39.0,100.0
2023-01-02 10:00:00+02:00,34.0,27.0,152.0,0.0,88.0,10.0,6.0,39.0,112.0
2023-01-02 11:00:00+02:00,34.0,26.0,191.0,0.0,92.0,11.0,18.0,38.0,126.0
2023-01-02 12:00:00+02:00,34.0,26.0,53.0,0.0,92.0,11.0,17.0,38.0,141.0
2023-01-02 13:00:00+02:00,34.0,26.0,2.0,0.0,88.0,10.0,12.0,38.0,202.0
2023-01-02 14:00:00+02:00,34.0,26.0,0.0,0.0,88.0,9.0,7.0,38.0,267.0
2023-01-02 15:00:00+02:00,34.0,26.0,0.0,0.0,88.0,9.0,2.0,38.0,329.0
2023-01-02 16:00:00+02:00,34.0,26.0,181.0,0.0,88.0,9.0,0.0,38.0,370.0
