,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Solar,Waste,Wind Onshore
2022-01-01 01:00:00+01:00,7.0,207.0,56.0,0.0,0.0,96.0,693.0,0.0,11.0,0.0
2022-01-01 02:00:00+01:00,7.0,207.0,55.0,0.0,0.0,94.0,693.0,0.0,11.0,0.0
2022-01-01 03:00:00+01:00,7.0,207.0,55.0,0.0,0.0,94.0,693.0,0.0,11.0,0.0
2022-01-01 04:00:00+01:00,7.0,205.0,58.0,0.0,0.0,94.0,693.0,0.0,11.0,0.0
2022-01-01 05:00:00+01:00,6.0,206.0,60.0,0.0,0.0,103.0,693.0,0.0,11.0,0.0
2022-01-01 06:00:00+01:00,7.0,206.0,57.0,0.0,0.0,97.0,693.0,0.0,11.0,0.0
2022-01-01 07:00:00+01:00,6.0,204.0,57.0,0.0,0.0,135.0,693.0,0.0,10.0,0.0
2022-01-01 08:00:00+01:00,6.0,187.0,56.0,0.0,0.0,233.0,693.0,5.0,11.0,0.0
2022-01-01 09:00:00+01:00,6.0,189.0,56.0,0.0,0.0,239.0,693.0,18.0,11.0,0.0
2022-01-01 10:00:00+01:00,6.0,188.0,58.0,0.0,0.0,230.0,693.0,30.0,11.0,0.0
2022-01-01 11:00:00+01:00,6.0,188.0,57.0,0.0,0.0,240.0,694.0,38.0,11.0,0.0
2022-01-01 12:00:00+01:00,6.0,188.0,57.0,0.0,0.0,276.0,694.0,40.0,10.0,0.0
2022-01-01 13:00:00+01:00,6.0,188.0,56.0,0.0,0.0,263.0,694.0,36.0,10.0,0.0
2022-01-01 14:00:00+01:00,6.0,188.0,56.0,0.0,0.0,306.0,694.0,22.0,11.0,0.0
2022-01-01 15:00:00+01:00,6.0,188.0,56.0,0.0,174.0,305.0,694.0,7.0,11.0,0.0
2022-01-01 16:00:00+01:00,6.0,188.0,57.0,0.0,178.0,546.0,694.0,0.0,11.0,0.0
2022-01-01 17:00:00+01:00,7.0,188.0,60.0,0.0,176.0,624.0,694.0,0.0,11.0,0.0
2022-01-01 18:00:00+01:00,7.0,188.0,59.0,0.0,173.0,638.0,693.0,0.0,11.0,0.0
2022-01-01 19:00:00+01:00,7.0,188.0,57.0,0.0,173.0,637.0,693.0,0.0,11.0,0.0
2022-01-01 20:00:00+01:00,7.0,188.0,57.0,0.0,171.0,494.0,693.0,0.0,11.0,0.0
2022-01-01 21:00:00+01:00,7.0,188.0,57.0,0.0,0.0,364.0,694.0,0.0,11.0,0.0
2022-01-01 22:00:00+01:00,7.0,189.0,57.0,0.0,0.0,282.0,693.0,0.0,11.0,0.0
2022-01-01 23:00:00+01:00,7.0,204.0,54.0,0.0,0.0,185.0,693.0,0.0,12.0,0.0
2022-01-02 00:00:00+01:00,7.0,204.0,52.0,0.0,0.0,107.0,694.0,0.0,12.0,0.0
2022-01-02 01:00:00+01:00,7.0,206.0,55.0,0.0,0.0,107.0,693.0,0.0,11.0,0.0
2022-01-02 02:00:00+01:00,7.0,208.0,54.0,0.0,0.0,107.0,693.0,0.0,11.0,0.0
2022-01-02 03:00:00+01:00,7.0,207.0,54.0,0.0,0.0,107.0,693.0,0.0,11.0,0.0
2022-01-02 04:00:00+01:00,7.0,200.0,56.0,0.0,0.0,106.0,693.0,0.0,11.0,0.0
2022-01-02 05:00:00+01:00,7.0,207.0,58.0,0.0,0.0,105.0,693.0,0.0,11.0,0.0
2022-01-02 06:00:00+01:00,7.0,209.0,57.0,0.0,0.0,105.0,693.0,0.0,11.0,0.0
2022-01-02 07:00:00+01:00,7.0,205.0,57.0,0.0,0.0,146.0,693.0,0.0,12.0,0.0
2022-01-02 08:00:00+01:00,7.0,184.0,57.0,0.0,0.0,248.0,693.0,6.0,11.0,0.0
2022-01-02 09:00:00+01:00,7.0,185.0,57.0,0.0,0.0,289.0,693.0,21.0,11.0,0.0
2022-01-02 10:00:00+01:00,7.0,182.0,58.0,0.0,0.0,332.0,693.0,37.0,11.0,0.0
2022-01-02 11:00:00+01:00,6.0,182.0,58.0,0.0,0.0,304.0,692.0,50.0,11.0,0.0
2022-01-02 12:00:00+01:00,7.0,182.0,58.0,0.0,0.0,286.0,693.0,50.0,11.0,0.0
2022-01-02 13:00:00+01:00,7.0,178.0,56.0,0.0,0.0,267.0,694.0,41.0,10.0,0.0
2022-01-02 14:00:00+01:00,7.0,183.0,56.0,0.0,90.0,345.0,694.0,24.0,10.0,0.0
2022-01-02 15:00:00+01:00,7.0,180.0,56.0,0.0,90.0,408.0,694.0,7.0,11.0,0.0
2022-01-02 16:00:00+01:00,7.0,187.0,57.0,0.0,175.0,658.0,694.0,1.0,11.0,0.0
2022-01-02 17:00:00+01:00,7.0,190.0,59.0,0.0,153.0,700.0,694.0,0.0,11.0,0.0
2022-01-02 18:00:00+01:00,7.0,215.0,59.0,0.0,175.0,731.0,693.0,0.0,11.0,0.0
2022-01-02 19:00:00+01:00,7.0,207.0,58.0,0.0,161.0,653.0,694.0,0.0,11.0,0.0
2022-01-02 20:00:00+01:00,7.0,201.0,57.0,0.0,1.0,507.0,694.0,0.0,11.0,0.0
2022-01-02 21:00:00+01:00,7.0,201.0,57.0,0.0,0.0,401.0,693.0,0.0,11.0,0.0
2022-01-02 22:00:00+01:00,7.0,258.0,58.0,0.0,0.0,285.0,693.0,0.0,12.0,0.0
