;Code;City;Country;Latitude;Longitude
37;EDLP;Paderborn/Lippstadt;Germany;51.6145993;8.619064
38;EDLV;Niederrhein;Germany;51.5975224;6.6811994
39;EDLW;Dortmund;Germany;51.5142273;7.4652789
40;EDMA;Augsburg;Germany;48.3690341;10.8979522
41;EDMO;Oberpfaffenhofen;Germany;48.0732582;11.2649062
42;EDNY;Friedrichshafen;Germany;47.6500279;9.4800858
43;EDQM;Hof-Plauen;Germany;50.2883652;11.8537646
44;EDSB;Karlsruhe/Baden-Baden;Germany;48.7787136;8.0819713
45;EDTL;Lahr;Germany;49.9440252;6.2909576
46;EDTY;Schwabisch Hall;Germany;49.1123963;9.7369047
47;EDVE;Braunschweig-Wolfsburg;Germany;52.31912;10.5600944
48;EDVK;Kassel-Calden;Germany;51.4046455;9.380747
49;EDWE;Emden;Germany;53.3670541;7.2058304
50;EDXW;Sylt;Germany;54.9022784;8.3312387
51;EFET;Enontekio;Finland;68.3854896;23.6437979
52;EFHA;Halli;Finland;61.8613065;24.8283904
53;EFHK;Helsinki ;Finland;60.1674881;24.9427473
54;EFIV;Ivalo;Finland;68.6588185;27.5348114
55;EFJO;Joensuu;Finland;62.6005753;29.7622128
56;EFJY;Jyvaskyla;Finland;62.2417066;25.7495727
57;EFKE;Kemi ;Finland;65.7333404;24.5666495
58;EFKI;Kajaani;Finland;64.2240872;27.7334227
59;EFKK;Kokkola-Pietarsaari;Finland;63.7192474;23.1403733
60;EFKS;Kuusamo;Finland;65.9645637;29.1883283
61;EFKT;Kittila;Finland;67.651985;24.9095086
62;EFKU;Kuopio;Finland;62.8924601;27.6781839
63;EFLP;Lappeenranta;Finland;61.0583713;28.1862742
64;EFMA;Mariehamn;Finland;60.102423;19.94126
65;EFMI;Mikkeli;Finland;61.6877956;27.2726569
66;EFOU;Oulu;Finland;65.0118734;25.4716809
67;EFPO;Pori;Finland;61.4866126;21.7972071
68;EFRO;Rovaniemi;Finland;66.5025657;25.73122
69;EFSA;Savonlinna;Finland;61.8689933;28.8797178
70;EFSI;Seinajoki;Finland;62.7954104;22.8442015
71;EFTP;Tampere ;Finland;61.4980214;23.7603118
72;EFTU;Turku;Finland;60.4517531;22.2670522
73;EFUT;Utti;Finland;60.8798273;26.9288293
74;EFVA;Vaasa;Finland;63.0957722;21.6159187
75;EGAA;Belfast ;United Kingdom;54.596391;-5.9301829
