,Other,Fossil Hard coal,Fossil Gas,Marine,Biomass,Fossil Oil shale,Waste,Solar,Nuclear,Fossil Peat,Geothermal,Fossil Coal-derived gas,Hydro Water Reservoir,Wind Offshore,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Fossil Oil,Other renewable,Hydro Pumped Storage,Wind Onshore
2023-01-01 00:00:00+00:00,29.98897461868794,55.38982676312864,754.1056634209377,0.0,14.295961003880498,0.0,1.2378301760581256,5.8033367655039e-05,143.46191112779925,3.6469502734571122e-06,10.752630840006058,14.359706236418129,,0.21296629408979867,,43.61217321326187,12.65815481957426,0.14724440788515766,0.02752047877542544,345.31868486860367
2023-01-01 01:00:00+00:00,28.656310565674765,56.815754218770934,618.5657462729353,0.0,14.790472659258471,0.0,1.2699065920687844,6.794751802884381e-05,140.63572017804537,5.864667166058323e-06,11.105864517308913,14.814636470940371,,0.20888625765061594,,43.706801453632664,12.98924320258522,0.15706074814542556,0.0076914699473566,392.1600480451679
2023-01-01 02:00:00+00:00,27.592406047953535,54.446361486531096,454.02534524396384,0.0,14.49996641718731,0.0,1.249879555171276,4.758282420484025e-05,132.9257871463336,2.1563572971845696e-05,11.046304601903463,14.733803013615944,,0.17206084289077528,,40.040294037966895,12.967979425931516,0.13520997553602473,0.004565974723843593,419.3554741009903
2023-01-01 03:00:00+00:00,29.580375486064156,56.334395898994636,411.77141646484677,0.0,15.030641469656704,0.0,1.3127765007167755,5.515969990627898e-05,125.50727624284404,8.035842690643962e-06,11.780708711291327,15.729401365036138,,0.12820055482677925,,38.577237112752066,13.752320503385986,0.11089313786151464,0.006834675509431147,444.20988631604115
2023-01-01 04:00:00+00:00,0.0,0.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,330.0,0.0,0.0,0.0,0.0,682.0
2023-01-01 05:00:00+00:00,0.0,0.0,456.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,122.0,0.0,341.0,0.0,0.0,0.0,0.0,707.0
2023-01-01 06:00:00+00:00,0.0,0.0,431.0,0.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,119.0,0.0,347.0,0.0,0.0,0.0,0.0,749.0
2023-01-01 07:00:00+00:00,0.0,0.0,439.0,0.0,0.0,0.0,0.0,1234.0,0.0,0.0,0.0,0.0,69.0,0.0,321.0,0.0,0.0,0.0,0.0,696.0
2023-01-01 08:00:00+00:00,0.0,0.0,446.0,0.0,0.0,0.0,0.0,2086.0,0.0,0.0,0.0,0.0,33.0,0.0,346.0,0.0,0.0,0.0,0.0,644.0
2023-01-01 09:00:00+00:00,0.0,0.0,462.0,0.0,0.0,0.0,0.0,2600.0,0.0,0.0,0.0,0.0,32.0,0.0,371.0,0.0,0.0,0.0,0.0,613.0
2023-01-01 10:00:00+00:00,0.0,0.0,464.0,0.0,0.0,0.0,0.0,2808.0,0.0,0.0,0.0,0.0,29.0,0.0,345.0,0.0,0.0,0.0,0.0,606.0
2023-01-01 11:00:00+00:00,0.0,0.0,429.0,0.0,0.0,0.0,0.0,2713.0,0.0,0.0,0.0,0.0,27.0,0.0,330.0,0.0,0.0,0.0,0.0,713.0
2023-01-01 12:00:00+00:00,0.0,0.0,430.0,0.0,0.0,0.0,0.0,2293.0,0.0,0.0,0.0,0.0,1.0,0.0,284.0,0.0,0.0,0.0,0.0,790.0
2023-01-01 13:00:00+00:00,0.0,0.0,526.0,0.0,0.0,0.0,0.0,1387.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,834.0
2023-01-01 14:00:00+00:00,18.78173533209751,33.65064423394368,721.9977867303475,0.0,9.112453748281022,0.0,0.8159864570403439,331.00050726005685,157.5111985392285,0.0,6.503335391686121,8.667375476073994,,0.11995565081932476,,40.20421486552908,7.646956501699929,0.054742082400156246,1.1016736711502875,705.0011632726882
2023-01-01 15:00:00+00:00,27.713535069044685,46.24936460680635,887.7406236518277,0.0,12.190774481364867,2.002180951673474e-06,0.9783960154677207,8.739822803682058,147.67838383352844,4.974552516315309e-06,9.37578579711506,12.524688750312844,,0.10982496621951035,,52.44070333056648,11.03206525419548,0.06030844344863899,61.08195977995662,750.3829454693716
2023-01-01 16:00:00+00:00,24.63463896458607,39.91110434351472,1032.9793843942432,0.0,10.639793431035775,5.562681985158326e-05,0.859558780623828,0.16667754956630665,152.05888178316206,1.1354408311006393e-05,8.07553240250268,10.753162193026608,,0.0565333458940004,,62.74175216668867,9.444087697456908,0.05174653108352597,215.5607979631384,792.1385659415405
2023-01-01 17:00:00+00:00,18.563122672594943,32.589589999276356,1092.8520118163513,0.0,8.68151761972337,4.913989518246962e-05,0.7121832398455775,0.07022421047440917,149.90030900719418,1.1515361383113251e-05,6.313492812353564,8.457876884830078,,0.043017486685736475,,56.10542470415106,7.539750794795617,0.043390491735196275,240.6333624688854,869.8643366687805
2023-01-01 18:00:00+00:00,17.249575122116237,30.13168095359573,1029.712431586145,0.0,8.967744975864301,8.140178681137468e-05,0.6934174087627076,8.40547787171786e-05,154.12141971613738,1.7552744515458725e-05,5.772632383020289,7.724767519700044,,0.033507185657264876,,54.77659548334462,6.882034741288297,0.05085951605249966,242.85103900756195,903.4991126951044
