,Other,Fossil Hard coal,Fossil Gas,Marine,Biomass,Fossil Oil shale,Waste,Solar,Nuclear,Fossil Peat,Geothermal,Fossil Coal-derived gas,Hydro Water Reservoir,Wind Offshore,Fossil Brown coal/Lignite,Hydro Run-of-river and poundage,Fossil Oil,Other renewable,Hydro Pumped Storage,Wind Onshore
2023-01-01 00:00:00+00:00,2.350933483112596,1.6040800190028168,0.8575491117648864,0.0,7.190781888477399,7.824128386501523,0.9311376688820632,2.327233746426859e-06,15.532596605055682,0.8482490714437332,4.1379542103064835e-05,2.068054143605389,,0.01998355624919361,,1.9023097139576328,0.004132822299594199,0.041743821043963056,0.0007793630241367958,25.54093072232552
2023-01-01 01:00:00+00:00,1.7623850973101018,1.1688808418314276,0.6551473774034514,0.0,5.261840952060573,5.7589091713397265,0.7457271623766856,2.50273160165088e-06,11.400285725197614,0.6250569024654227,3.6954795745521754e-05,1.515502413510454,,0.01802902337450785,,1.47705803666475,0.003150633306285864,0.030538827742435957,0.0003426966749143924,17.359817089447862
2023-01-01 02:00:00+00:00,1.921123825201515,1.3011097971108405,0.6361054385347641,0.0,5.833251946589197,6.34672050739436,0.6926464514762141,2.7428567547482906e-06,12.72112650654157,0.6953637231215937,4.6508796561471076e-05,1.6568872121073774,,0.021432076832603324,,1.5414150149420625,0.0036284298847089583,0.0339303971575347,0.00025395528962139587,17.36496722525028
2023-01-01 03:00:00+00:00,1.5502421632923558,1.121578514596665,0.6041061781093396,0.0,5.026636747017751,5.533886085075703,0.659226870162375,3.112800150727291e-06,10.972144617115365,0.5980370221558143,4.009379548174381e-05,1.5398639541080217,,0.015558858649101674,,1.435361444768667,0.003109620712791071,0.02905621219269997,0.00035077813946275444,13.68167024432129
2023-01-01 04:00:00+00:00,13.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2023-01-01 05:00:00+00:00,14.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2023-01-01 06:00:00+00:00,14.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,4.0
2023-01-01 07:00:00+00:00,14.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,10.0
2023-01-01 08:00:00+00:00,14.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,10.0
2023-01-01 09:00:00+00:00,13.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,0.0,0.0,0.0,4.0
2023-01-01 10:00:00+00:00,13.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,0.0,0.0,0.0,6.0
2023-01-01 11:00:00+00:00,14.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,0.0,0.0,0.0,3.0
2023-01-01 12:00:00+00:00,14.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.0,0.0,0.0,0.0,0.0
2023-01-01 13:00:00+00:00,14.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,0.0,0.0,0.0
2023-01-01 14:00:00+00:00,12.414027137037765,10.03311226258466,3.4677208407083016,0.0,19.519866061619275,0.0,3.8257441017284513,0.8010860833098237,2.6371859393186052,0.005273594886258966,0.001447508382587129,0.09862028629239127,,0.5228685046166588,,582.6829189445824,0.6168300796363111,0.0065302790470904105,0.056658508636176046,54.2077538993656
2023-01-01 15:00:00+00:00,12.786512025065964,2.4178089910073157,1.1269178231770902,0.0,26.81990649471457,17.452573864242407,1.1964605774290784,0.0,20.796972405883437,1.4497316237992581,0.0,3.6086148967418503,,0.0,,593.9672263101744,0.004768854025655455,0.07514888799207184,0.0,21.297357245746948
2023-01-01 16:00:00+00:00,12.40666139774667,5.113218521358056,2.1072030888649107,0.0,34.95253392261629,33.37807158119658,2.225838432669828,0.0,41.767526573340525,3.0641009865816065,0.0,6.43165498906778,,0.0,,740.3804528096437,0.00957531558306752,0.13004123442592436,0.0,43.03312114690506
2023-01-01 17:00:00+00:00,12.476773929295819,5.259866533195884,1.9857167330317158,0.0,37.21985856043169,32.468572817405025,2.2184918547236285,0.0,41.40483384705279,3.1616165262711724,0.0,6.27358864607487,,0.0,,749.2511328370664,0.009494343922736253,0.1290516465485404,0.0,42.14100172497967
2023-01-01 18:00:00+00:00,11.491893012598132,6.458376370046439,2.363530197477503,0.0,38.10256875642503,36.0646279597003,2.5212601899428493,0.0,49.314397501580515,3.653337246103327,0.0,7.088564805872127,,0.0,,729.7949462336456,0.01131064162880287,0.14698206932553778,0.0,57.98820501565377
2023-01-01 19:00:00+00:00,11.517357324950092,6.436126723118162,2.445813488210782,0.0,35.70674257896182,36.32533452941617,2.5811715780790347,0.0,48.63347055943705,3.591737963334571,0.0,7.2906481273828225,,0.0,,726.4172254585219,0.011154465724641524,0.1502150389472273,0.0,62.893002163915746
