,BA,BG,HR,HU,XK,ME,MK,RO,sum
2022-01-01 00:00:00+00:00,17.0,486.0,14.0,171.0,0.0,0.0,0.0,555.0,1243.0
2022-01-01 01:00:00+00:00,0.0,471.0,1.0,164.0,0.0,0.0,0.0,660.0,1296.0
2022-01-01 02:00:00+00:00,0.0,456.0,9.0,174.0,0.0,22.0,0.0,670.0,1331.0
2022-01-01 03:00:00+00:00,0.0,421.0,21.0,167.0,0.0,76.0,0.0,630.0,1315.0
2022-01-01 04:00:00+00:00,0.0,461.0,4.0,144.0,0.0,180.0,0.0,543.0,1332.0
2022-01-01 05:00:00+00:00,0.0,464.0,0.0,70.0,0.0,172.0,0.0,499.0,1205.0
2022-01-01 06:00:00+00:00,0.0,515.0,0.0,7.0,0.0,184.0,0.0,501.0,1207.0
2022-01-01 07:00:00+00:00,0.0,543.0,0.0,17.0,0.0,186.0,0.0,418.0,1164.0
2022-01-01 08:00:00+00:00,0.0,560.0,0.0,55.0,0.0,185.0,0.0,348.0,1148.0
2022-01-01 09:00:00+00:00,11.0,592.0,0.0,57.0,0.0,175.0,0.0,287.0,1122.0
2022-01-01 10:00:00+00:00,33.0,590.0,0.0,52.0,0.0,171.0,0.0,246.0,1092.0
2022-01-01 11:00:00+00:00,20.0,591.0,0.0,37.0,0.0,150.0,0.0,280.0,1078.0
2022-01-01 12:00:00+00:00,64.0,543.0,0.0,29.0,0.0,143.0,0.0,226.0,1005.0
2022-01-01 13:00:00+00:00,77.0,541.0,0.0,2.0,0.0,120.0,0.0,273.0,1013.0
2022-01-01 14:00:00+00:00,117.0,506.0,0.0,3.0,0.0,77.0,0.0,250.0,953.0
2022-01-01 15:00:00+00:00,124.0,563.0,0.0,11.0,0.0,57.0,0.0,240.0,995.0
2022-01-01 16:00:00+00:00,73.0,607.0,0.0,34.0,0.0,95.0,0.0,169.0,978.0
2022-01-01 17:00:00+00:00,51.0,645.0,0.0,21.0,0.0,112.0,0.0,165.0,994.0
2022-01-01 18:00:00+00:00,54.0,637.0,0.0,16.0,0.0,103.0,0.0,189.0,999.0
2022-01-01 19:00:00+00:00,71.0,635.0,0.0,23.0,0.0,114.0,0.0,258.0,1101.0
2022-01-01 20:00:00+00:00,96.0,548.0,0.0,60.0,0.0,90.0,0.0,308.0,1102.0
2022-01-01 21:00:00+00:00,69.0,578.0,0.0,38.0,0.0,77.0,0.0,459.0,1221.0
2022-01-01 22:00:00+00:00,46.0,576.0,0.0,54.0,0.0,86.0,0.0,473.0,1235.0
2022-01-01 23:00:00+00:00,72.0,612.0,60.0,245.0,0.0,110.0,0.0,472.0,1571.0
2022-01-02 00:00:00+00:00,32.0,591.0,59.0,237.0,0.0,167.0,0.0,534.0,1620.0
2022-01-02 01:00:00+00:00,0.0,584.0,26.0,172.0,0.0,264.0,0.0,582.0,1628.0
2022-01-02 02:00:00+00:00,0.0,541.0,6.0,145.0,0.0,274.0,0.0,664.0,1630.0
2022-01-02 03:00:00+00:00,0.0,560.0,0.0,95.0,0.0,326.0,0.0,613.0,1594.0
2022-01-02 04:00:00+00:00,0.0,625.0,0.0,66.0,0.0,385.0,0.0,526.0,1602.0
2022-01-02 05:00:00+00:00,0.0,597.0,0.0,20.0,0.0,360.0,0.0,401.0,1378.0
2022-01-02 06:00:00+00:00,0.0,557.0,0.0,40.0,0.0,311.0,0.0,447.0,1355.0
