,EE,SE,NO,sum
2024-01-01 00:00:00+00:00,0.0,1410.0,7.0,1417.0
2024-01-01 01:00:00+00:00,0.0,1167.0,17.0,1184.0
2024-01-01 02:00:00+00:00,244.0,1014.0,26.0,1284.0
2024-01-01 03:00:00+00:00,105.0,1232.0,43.0,1380.0
2024-01-01 04:00:00+00:00,76.0,1397.0,49.0,1522.0
2024-01-01 05:00:00+00:00,76.0,1313.0,41.0,1430.0
2024-01-01 06:00:00+00:00,211.0,1220.0,40.0,1471.0
2024-01-01 07:00:00+00:00,239.0,1174.0,49.0,1462.0
2024-01-01 08:00:00+00:00,227.0,1327.0,51.0,1605.0
2024-01-01 09:00:00+00:00,232.0,1306.0,55.0,1593.0
2024-01-01 10:00:00+00:00,260.0,1613.0,80.0,1953.0
2024-01-01 11:00:00+00:00,40.0,1939.0,81.0,2060.0
2024-01-01 12:00:00+00:00,193.0,1989.0,71.0,2253.0
2024-01-01 13:00:00+00:00,193.0,1940.0,69.0,2202.0
2024-01-01 14:00:00+00:00,4.0,1925.0,53.0,1982.0
2024-01-01 15:00:00+00:00,0.0,2304.0,42.0,2346.0
2024-01-01 16:00:00+00:00,0.0,2421.0,42.0,2463.0
2024-01-01 17:00:00+00:00,0.0,2241.0,48.0,2289.0
2024-01-01 18:00:00+00:00,180.0,1954.0,40.0,2174.0
2024-01-01 19:00:00+00:00,133.0,2103.0,36.0,2272.0
2024-01-01 20:00:00+00:00,298.0,2143.0,38.0,2479.0
2024-01-01 21:00:00+00:00,399.0,2215.0,24.0,2638.0
2024-01-01 22:00:00+00:00,394.0,2316.0,42.0,2752.0
2024-01-01 23:00:00+00:00,425.0,2227.0,42.0,2694.0
2024-01-02 00:00:00+00:00,491.0,2293.0,60.0,2844.0
2024-01-02 01:00:00+00:00,566.0,2432.0,74.0,3072.0
2024-01-02 02:00:00+00:00,585.0,2369.0,77.0,3031.0
2024-01-02 03:00:00+00:00,557.0,2163.0,69.0,2789.0
2024-01-02 04:00:00+00:00,452.0,2195.0,69.0,2716.0
2024-01-02 05:00:00+00:00,610.0,1909.0,67.0,2586.0
2024-01-02 06:00:00+00:00,487.0,1819.0,76.0,2382.0
2024-01-02 07:00:00+00:00,485.0,1723.0,64.0,2272.0
2024-01-02 08:00:00+00:00,470.0,1910.0,53.0,2433.0
2024-01-02 09:00:00+00:00,437.0,2035.0,53.0,2525.0
2024-01-02 10:00:00+00:00,501.0,2251.0,57.0,2809.0
2024-01-02 11:00:00+00:00,474.0,2103.0,49.0,2626.0
2024-01-02 12:00:00+00:00,395.0,2086.0,38.0,2519.0
2024-01-02 13:00:00+00:00,423.0,2051.0,29.0,2503.0
2024-01-02 14:00:00+00:00,445.0,2100.0,17.0,2562.0
2024-01-02 15:00:00+00:00,418.0,2254.0,12.0,2684.0
2024-01-02 16:00:00+00:00,489.0,2286.0,5.0,2780.0
2024-01-02 17:00:00+00:00,555.0,2297.0,3.0,2855.0
2024-01-02 18:00:00+00:00,537.0,1996.0,0.0,2533.0
2024-01-02 19:00:00+00:00,412.0,2213.0,0.0,2625.0
2024-01-02 20:00:00+00:00,522.0,2347.0,2.0,2871.0
2024-01-02 21:00:00+00:00,585.0,2460.0,12.0,3057.0
2024-01-02 22:00:00+00:00,555.0,2390.0,19.0,2964.0
2024-01-02 23:00:00+00:00,465.0,2395.0,24.0,2884.0
2024-01-03 00:00:00+00:00,486.0,2203.0,33.0,2722.0
2024-01-03 01:00:00+00:00,551.0,2121.0,39.0,2711.0
2024-01-03 02:00:00+00:00,558.0,2267.0,48.0,2873.0
2024-01-03 03:00:00+00:00,562.0,2302.0,56.0,2920.0
2024-01-03 04:00:00+00:00,539.0,2344.0,56.0,2939.0
2024-01-03 05:00:00+00:00,464.0,2329.0,45.0,2838.0
2024-01-03 06:00:00+00:00,318.0,2197.0,35.0,2550.0
2024-01-03 07:00:00+00:00,223.0,2405.0,36.0,2664.0
2024-01-03 08:00:00+00:00,257.0,2347.0,52.0,2656.0
2024-01-03 09:00:00+00:00,260.0,2478.0,63.0,2801.0
2024-01-03 10:00:00+00:00,304.0,2459.0,71.0,2834.0
2024-01-03 11:00:00+00:00,307.0,2408.0,60.0,2775.0
2024-01-03 12:00:00+00:00,342.0,2363.0,70.0,2775.0
2024-01-03 13:00:00+00:00,326.0,2386.0,76.0,2788.0
2024-01-03 14:00:00+00:00,401.0,2160.0,79.0,2640.0
2024-01-03 15:00:00+00:00,312.0,2222.0,88.0,2622.0
2024-01-03 16:00:00+00:00,382.0,2268.0,101.0,2751.0
2024-01-03 17:00:00+00:00,422.0,2405.0,60.0,2887.0
2024-01-03 18:00:00+00:00,380.0,2447.0,58.0,2885.0
2024-01-03 19:00:00+00:00,305.0,2104.0,51.0,2460.0
2024-01-03 20:00:00+00:00,537.0,2156.0,47.0,2740.0
2024-01-03 21:00:00+00:00,645.0,2149.0,49.0,2843.0
2024-01-03 22:00:00+00:00,599.0,2166.0,45.0,2810.0
2024-01-03 23:00:00+00:00,391.0,2050.0,42.0,2483.0
2024-01-04 00:00:00+00:00,468.0,2086.0,44.0,2598.0
