,BA,BG,HR,HU,XK,ME,MK,RO,sum
2024-01-01 00:00:00+00:00,16.0,101.0,162.0,284.0,0.0,0.0,47.0,0.0,610.0
2024-01-01 01:00:00+00:00,12.0,117.0,140.0,252.0,0.0,0.0,42.0,0.0,563.0
2024-01-01 02:00:00+00:00,0.0,113.0,83.0,178.0,0.0,0.0,53.0,16.0,443.0
2024-01-01 03:00:00+00:00,0.0,119.0,27.0,101.0,0.0,51.0,55.0,75.0,428.0
2024-01-01 04:00:00+00:00,21.0,41.0,0.0,40.0,0.0,62.0,64.0,193.0,421.0
2024-01-01 05:00:00+00:00,29.0,0.0,28.0,101.0,0.0,0.0,91.0,182.0,431.0
2024-01-01 06:00:00+00:00,36.0,0.0,30.0,96.0,0.0,0.0,89.0,106.0,357.0
2024-01-01 07:00:00+00:00,63.0,9.0,76.0,157.0,0.0,7.0,95.0,108.0,515.0
2024-01-01 08:00:00+00:00,2.0,133.0,0.0,72.0,0.0,52.0,40.0,166.0,465.0
2024-01-01 09:00:00+00:00,28.0,134.0,8.0,108.0,0.0,3.0,18.0,118.0,417.0
2024-01-01 10:00:00+00:00,1.0,170.0,15.0,138.0,0.0,0.0,0.0,107.0,431.0
2024-01-01 11:00:00+00:00,0.0,202.0,1.0,132.0,0.0,0.0,0.0,119.0,454.0
2024-01-01 12:00:00+00:00,10.0,161.0,43.0,147.0,0.0,0.0,0.0,97.0,458.0
2024-01-01 13:00:00+00:00,61.0,52.0,122.0,186.0,0.0,0.0,57.0,113.0,591.0
2024-01-01 14:00:00+00:00,120.0,0.0,136.0,167.0,0.0,0.0,68.0,181.0,672.0
2024-01-01 15:00:00+00:00,145.0,0.0,167.0,171.0,0.0,0.0,32.0,184.0,699.0
2024-01-01 16:00:00+00:00,102.0,40.0,144.0,155.0,0.0,0.0,46.0,130.0,617.0
2024-01-01 17:00:00+00:00,79.0,96.0,135.0,147.0,0.0,0.0,47.0,83.0,587.0
2024-01-01 18:00:00+00:00,46.0,113.0,123.0,161.0,0.0,0.0,37.0,145.0,625.0
2024-01-01 19:00:00+00:00,0.0,145.0,103.0,180.0,0.0,0.0,14.0,183.0,625.0
2024-01-01 20:00:00+00:00,0.0,179.0,55.0,173.0,0.0,0.0,0.0,231.0,638.0
2024-01-01 21:00:00+00:00,0.0,211.0,83.0,197.0,0.0,0.0,0.0,254.0,745.0
2024-01-01 22:00:00+00:00,0.0,224.0,57.0,192.0,0.0,0.0,0.0,309.0,782.0
2024-01-01 23:00:00+00:00,0.0,268.0,14.0,170.0,0.0,0.0,0.0,363.0,815.0
2024-01-02 00:00:00+00:00,0.0,238.0,28.0,167.0,0.0,0.0,0.0,354.0,787.0
2024-01-02 01:00:00+00:00,0.0,217.0,20.0,145.0,0.0,17.0,0.0,338.0,737.0
2024-01-02 02:00:00+00:00,0.0,131.0,31.0,125.0,0.0,19.0,0.0,331.0,637.0
2024-01-02 03:00:00+00:00,0.0,28.0,136.0,219.0,0.0,0.0,24.0,281.0,688.0
2024-01-02 04:00:00+00:00,0.0,0.0,156.0,221.0,0.0,0.0,46.0,228.0,651.0
2024-01-02 05:00:00+00:00,0.0,0.0,49.0,75.0,0.0,0.0,61.0,117.0,302.0
2024-01-02 06:00:00+00:00,57.0,0.0,50.0,40.0,0.0,0.0,91.0,0.0,238.0
2024-01-02 07:00:00+00:00,100.0,0.0,13.0,18.0,0.0,0.0,109.0,0.0,240.0
2024-01-02 08:00:00+00:00,66.0,0.0,0.0,37.0,0.0,0.0,90.0,0.0,193.0
2024-01-02 09:00:00+00:00,42.0,0.0,0.0,48.0,0.0,0.0,54.0,0.0,144.0
