,DK,FI,DE,SE,NL,UK,sum
2022-01-01 00:00:00+00:00,1091.0,0.0,1361.0,1124.0,680.0,0.0,2084.75
2022-01-01 01:00:00+00:00,1091.0,0.0,1362.5,955.0,151.0,247.0,1973.5
2022-01-01 02:00:00+00:00,1091.0,0.0,1398.0,819.0,716.0,676.0,2223.5
2022-01-01 03:00:00+00:00,1091.0,0.0,1399.75,1074.0,730.0,676.0,2292.5
2022-01-01 04:00:00+00:00,1092.0,0.0,1399.75,971.0,730.0,675.0,2266.75
2022-01-01 05:00:00+00:00,1092.0,0.0,1399.75,1195.0,730.0,675.0,2322.75
2022-01-01 06:00:00+00:00,1091.0,0.0,1398.75,1333.0,730.0,676.0,2356.25
2022-01-01 07:00:00+00:00,1091.0,0.0,1399.75,1112.0,730.0,693.0,2306.25
2022-01-01 08:00:00+00:00,1091.0,0.0,1398.75,669.0,730.0,694.0,2194.75
2022-01-01 09:00:00+00:00,1091.0,0.0,1399.75,488.0,730.0,694.0,2150.5
2022-01-01 10:00:00+00:00,1091.0,0.0,1400.0,452.0,730.0,694.0,2141.75
2022-01-01 11:00:00+00:00,1091.0,0.0,1394.75,587.0,730.0,690.0,2169.25
2022-01-01 12:00:00+00:00,1091.0,0.0,1361.75,784.0,730.0,592.0,2161.0
2022-01-01 13:00:00+00:00,1091.0,0.0,1360.75,696.0,730.0,175.0,2033.75
2022-01-01 14:00:00+00:00,1090.0,0.0,1349.25,605.0,723.0,68.0,1970.75
2022-01-01 15:00:00+00:00,1086.0,0.0,1103.25,882.0,540.0,0.0,1730.25
2022-01-01 16:00:00+00:00,1029.0,0.0,798.5,1035.0,3.0,0.0,1315.25
2022-01-01 17:00:00+00:00,1077.0,0.0,400.75,1174.0,0.0,0.0,963.5
2022-01-01 18:00:00+00:00,1086.0,0.0,939.75,1548.0,204.0,0.0,1649.25
2022-01-01 19:00:00+00:00,1088.0,0.0,1312.0,1514.0,703.0,0.0,2138.25
2022-01-01 20:00:00+00:00,1089.0,0.0,1348.75,1510.0,650.0,0.0,2161.0
2022-01-01 21:00:00+00:00,1089.0,0.0,1285.0,1439.0,592.0,43.0,2075.75
2022-01-01 22:00:00+00:00,1089.0,0.0,1290.5,1034.0,656.0,481.0,2105.5
2022-01-01 23:00:00+00:00,1089.0,0.0,314.25,1291.0,731.0,686.0,1263.5
2022-01-02 00:00:00+00:00,1089.0,0.0,6.25,1253.0,731.0,694.0,948.0
2022-01-02 01:00:00+00:00,1089.0,0.0,7.0,1362.0,731.0,694.0,976.0
2022-01-02 02:00:00+00:00,1089.0,0.0,7.0,1581.0,731.0,694.0,1030.75
2022-01-02 03:00:00+00:00,1089.0,0.0,7.0,1819.0,731.0,694.0,1090.25
2022-01-02 04:00:00+00:00,1089.0,0.0,7.0,2027.0,731.0,694.0,1142.25
2022-01-02 05:00:00+00:00,1088.0,0.0,7.0,2070.0,731.0,694.0,1152.75
2022-01-02 06:00:00+00:00,1088.0,0.0,6.25,1631.0,731.0,694.0,1042.25
2022-01-02 07:00:00+00:00,1088.0,0.0,6.0,1597.0,731.0,694.0,1033.5
2022-01-02 08:00:00+00:00,1088.0,0.0,6.0,1544.0,731.0,694.0,1020.25
2022-01-02 09:00:00+00:00,1088.0,0.0,5.75,1168.0,731.0,677.0,921.75
2022-01-02 10:00:00+00:00,1088.0,0.0,6.0,964.0,731.0,350.0,789.25
2022-01-02 11:00:00+00:00,1088.0,0.0,6.0,915.0,731.0,680.0,859.5
2022-01-02 12:00:00+00:00,1069.0,0.0,6.25,860.0,731.0,694.0,844.75
2022-01-02 13:00:00+00:00,830.0,0.0,6.0,867.0,731.0,686.0,784.5
2022-01-02 14:00:00+00:00,1069.0,0.0,8.0,693.0,731.0,524.0,762.25
2022-01-02 15:00:00+00:00,1082.0,0.0,41.25,729.0,731.0,347.0,763.5
2022-01-02 16:00:00+00:00,894.0,0.0,54.5,911.0,731.0,0.0,688.5
2022-01-02 17:00:00+00:00,1074.0,0.0,188.25,747.0,731.0,0.0,826.25
2022-01-02 18:00:00+00:00,1090.0,0.0,219.0,636.0,731.0,0.0,833.25
2022-01-02 19:00:00+00:00,1090.0,0.0,1211.5,523.0,730.0,334.0,1880.75
2022-01-02 20:00:00+00:00,1090.0,0.0,1325.75,296.0,731.0,674.0,2023.5
2022-01-02 21:00:00+00:00,1090.0,0.0,1325.25,166.0,731.0,573.0,1965.25
2022-01-02 22:00:00+00:00,1090.0,0.0,1300.75,413.0,731.0,689.0,2031.5
2022-01-02 23:00:00+00:00,1090.0,27.0,724.25,1057.0,730.0,694.0,1623.75
2022-01-03 00:00:00+00:00,1089.0,31.0,151.75,1559.0,700.0,694.0,1170.0
2022-01-03 01:00:00+00:00,1089.0,33.0,189.75,1661.0,525.0,694.0,1190.25
2022-01-03 02:00:00+00:00,1089.0,32.0,118.25,1474.0,606.0,694.0,1092.0
2022-01-03 03:00:00+00:00,1089.0,30.0,23.75,1463.0,703.0,694.0,1018.5
2022-01-03 04:00:00+00:00,1089.0,0.0,24.5,927.0,690.0,694.0,874.5
2022-01-03 05:00:00+00:00,1090.0,0.0,553.25,446.0,146.0,694.0,1147.25
2022-01-03 06:00:00+00:00,1090.0,0.0,109.25,260.0,620.0,694.0,775.25
