,PT,FR,sum
2023-01-01 00:00:00+00:00,1327.0,2631.0,3958.0
2023-01-01 01:00:00+00:00,921.0,2408.0,3329.0
2023-01-01 02:00:00+00:00,481.0,2540.0,3021.0
2023-01-01 03:00:00+00:00,632.0,2927.0,3559.0
2023-01-01 04:00:00+00:00,401.0,3092.0,3493.0
2023-01-01 05:00:00+00:00,238.0,3168.0,3406.0
2023-01-01 06:00:00+00:00,138.0,2926.0,3064.0
2023-01-01 07:00:00+00:00,50.0,2789.0,2839.0
2023-01-01 08:00:00+00:00,17.0,2709.0,2726.0
2023-01-01 09:00:00+00:00,0.0,1603.0,1603.0
2023-01-01 10:00:00+00:00,256.0,306.0,562.0
2023-01-01 11:00:00+00:00,824.0,0.0,824.0
2023-01-01 12:00:00+00:00,1132.0,0.0,1132.0
2023-01-01 13:00:00+00:00,1137.0,0.0,1137.0
2023-01-01 14:00:00+00:00,1050.0,0.0,1050.0
2023-01-01 15:00:00+00:00,1374.0,0.0,1374.0
2023-01-01 16:00:00+00:00,1467.0,0.0,1467.0
2023-01-01 17:00:00+00:00,1908.0,0.0,1908.0
2023-01-01 18:00:00+00:00,2492.0,0.0,2492.0
2023-01-01 19:00:00+00:00,2505.0,0.0,2505.0
2023-01-01 20:00:00+00:00,2370.0,0.0,2370.0
2023-01-01 21:00:00+00:00,2144.0,0.0,2144.0
2023-01-01 22:00:00+00:00,1802.0,0.0,1802.0
2023-01-01 23:00:00+00:00,832.0,0.0,832.0
2023-01-02 00:00:00+00:00,125.0,0.0,125.0
2023-01-02 01:00:00+00:00,7.0,0.0,7.0
2023-01-02 02:00:00+00:00,16.0,0.0,16.0
2023-01-02 03:00:00+00:00,200.0,0.0,200.0
2023-01-02 04:00:00+00:00,505.0,0.0,505.0
2023-01-02 05:00:00+00:00,1247.0,0.0,1247.0
2023-01-02 06:00:00+00:00,1380.0,0.0,1380.0
2023-01-02 07:00:00+00:00,1821.0,0.0,1821.0
2023-01-02 08:00:00+00:00,1879.0,0.0,1879.0
2023-01-02 09:00:00+00:00,1536.0,0.0,1536.0
2023-01-02 10:00:00+00:00,909.0,0.0,909.0
2023-01-02 11:00:00+00:00,908.0,0.0,908.0
2023-01-02 12:00:00+00:00,1110.0,0.0,1110.0
2023-01-02 13:00:00+00:00,1159.0,0.0,1159.0
2023-01-02 14:00:00+00:00,1046.0,0.0,1046.0
2023-01-02 15:00:00+00:00,1194.0,0.0,1194.0
2023-01-02 16:00:00+00:00,1282.0,0.0,1282.0
2023-01-02 17:00:00+00:00,1049.0,14.0,1063.0
2023-01-02 18:00:00+00:00,690.0,614.0,1304.0
2023-01-02 19:00:00+00:00,242.0,1640.0,1882.0
2023-01-02 20:00:00+00:00,166.0,1613.0,1779.0
2023-01-02 21:00:00+00:00,332.0,372.0,704.0
2023-01-02 22:00:00+00:00,462.0,0.0,462.0
2023-01-02 23:00:00+00:00,99.0,678.0,777.0
2023-01-03 00:00:00+00:00,0.0,1130.0,1130.0
2023-01-03 01:00:00+00:00,0.0,272.0,272.0
2023-01-03 02:00:00+00:00,0.0,0.0,0.0
2023-01-03 03:00:00+00:00,253.0,0.0,253.0
2023-01-03 04:00:00+00:00,697.0,0.0,697.0
2023-01-03 05:00:00+00:00,1166.0,0.0,1166.0
2023-01-03 06:00:00+00:00,1637.0,0.0,1637.0
2023-01-03 07:00:00+00:00,1685.0,0.0,1685.0
2023-01-03 08:00:00+00:00,1658.0,0.0,1658.0
2023-01-03 09:00:00+00:00,976.0,0.0,976.0
2023-01-03 10:00:00+00:00,534.0,0.0,534.0
2023-01-03 11:00:00+00:00,50.0,0.0,50.0
2023-01-03 12:00:00+00:00,0.0,0.0,0.0
2023-01-03 13:00:00+00:00,0.0,0.0,0.0
2023-01-03 14:00:00+00:00,146.0,0.0,146.0
2023-01-03 15:00:00+00:00,40.0,0.0,40.0
2023-01-03 16:00:00+00:00,857.0,0.0,857.0
2023-01-03 17:00:00+00:00,1790.0,0.0,1790.0
2023-01-03 18:00:00+00:00,1569.0,0.0,1569.0
2023-01-03 19:00:00+00:00,1212.0,182.0,1394.0
2023-01-03 20:00:00+00:00,818.0,210.0,1028.0
2023-01-03 21:00:00+00:00,359.0,1251.0,1610.0
2023-01-03 22:00:00+00:00,29.0,2147.0,2176.0
2023-01-03 23:00:00+00:00,427.0,2427.0,2854.0
2023-01-04 00:00:00+00:00,344.0,2435.0,2779.0
2023-01-04 01:00:00+00:00,122.0,2416.0,2538.0
2023-01-04 02:00:00+00:00,24.0,2374.0,2398.0
2023-01-04 03:00:00+00:00,103.0,2325.0,2428.0
2023-01-04 04:00:00+00:00,127.0,2383.0,2510.0
2023-01-04 05:00:00+00:00,123.0,2366.0,2489.0
2023-01-04 06:00:00+00:00,15.0,2194.0,2209.0
2023-01-04 07:00:00+00:00,1439.0,742.0,2181.0
2023-01-04 08:00:00+00:00,1491.0,405.0,1896.0
2023-01-04 09:00:00+00:00,495.0,66.0,561.0
2023-01-04 10:00:00+00:00,89.0,0.0,89.0
2023-01-04 11:00:00+00:00,0.0,94.0,94.0
2023-01-04 12:00:00+00:00,0.0,506.0,506.0
2023-01-04 13:00:00+00:00,0.0,125.0,125.0
2023-01-04 14:00:00+00:00,0.0,0.0,0.0
2023-01-04 15:00:00+00:00,0.0,1041.0,1041.0
2023-01-04 16:00:00+00:00,119.0,1228.0,1347.0
2023-01-04 17:00:00+00:00,1051.0,945.0,1996.0
2023-01-04 18:00:00+00:00,797.0,1716.0,2513.0
2023-01-04 19:00:00+00:00,545.0,2619.0,3164.0
2023-01-04 20:00:00+00:00,658.0,3059.0,3717.0
2023-01-04 21:00:00+00:00,298.0,2563.0,2861.0
2023-01-04 22:00:00+00:00,15.0,1733.0,1748.0
2023-01-04 23:00:00+00:00,293.0,2692.0,2985.0
2023-01-05 00:00:00+00:00,87.0,3044.0,3131.0
2023-01-05 01:00:00+00:00,299.0,2752.0,3051.0
2023-01-05 02:00:00+00:00,397.0,3057.0,3454.0
2023-01-05 03:00:00+00:00,525.0,3049.0,3574.0
2023-01-05 04:00:00+00:00,840.0,3107.0,3947.0
2023-01-05 05:00:00+00:00,1422.0,1785.0,3207.0
2023-01-05 06:00:00+00:00,2347.0,214.0,2561.0
2023-01-05 07:00:00+00:00,2725.0,0.0,2725.0
2023-01-05 08:00:00+00:00,2790.0,0.0,2790.0
2023-01-05 09:00:00+00:00,1434.0,0.0,1434.0
2023-01-05 10:00:00+00:00,895.0,0.0,895.0
2023-01-05 11:00:00+00:00,896.0,0.0,896.0
2023-01-05 12:00:00+00:00,731.0,0.0,731.0
2023-01-05 13:00:00+00:00,374.0,0.0,374.0
2023-01-05 14:00:00+00:00,42.0,0.0,42.0
2023-01-05 15:00:00+00:00,0.0,0.0,0.0
2023-01-05 16:00:00+00:00,1115.0,0.0,1115.0
2023-01-05 17:00:00+00:00,1962.0,0.0,1962.0
2023-01-05 18:00:00+00:00,1733.0,0.0,1733.0
2023-01-05 19:00:00+00:00,1207.0,0.0,1207.0
2023-01-05 20:00:00+00:00,1491.0,0.0,1491.0
2023-01-05 21:00:00+00:00,1190.0,0.0,1190.0
2023-01-05 22:00:00+00:00,361.0,0.0,361.0
2023-01-05 23:00:00+00:00,31.0,1230.0,1261.0
2023-01-06 00:00:00+00:00,25.0,1327.0,1352.0
2023-01-06 01:00:00+00:00,14.0,676.0,690.0
2023-01-06 02:00:00+00:00,186.0,566.0,752.0
2023-01-06 03:00:00+00:00,62.0,1291.0,1353.0
2023-01-06 04:00:00+00:00,276.0,491.0,767.0
2023-01-06 05:00:00+00:00,294.0,0.0,294.0
2023-01-06 06:00:00+00:00,381.0,0.0,381.0
2023-01-06 07:00:00+00:00,110.0,0.0,110.0
2023-01-06 08:00:00+00:00,0.0,0.0,0.0
2023-01-06 09:00:00+00:00,0.0,0.0,0.0
2023-01-06 10:00:00+00:00,0.0,0.0,0.0
2023-01-06 11:00:00+00:00,0.0,0.0,0.0
2023-01-06 12:00:00+00:00,0.0,0.0,0.0
2023-01-06 13:00:00+00:00,0.0,0.0,0.0
2023-01-06 14:00:00+00:00,0.0,0.0,0.0
2023-01-06 15:00:00+00:00,0.0,0.0,0.0
2023-01-06 16:00:00+00:00,0.0,0.0,0.0
2023-01-06 17:00:00+00:00,433.0,0.0,433.0
2023-01-06 18:00:00+00:00,817.0,0.0,817.0
2023-01-06 19:00:00+00:00,678.0,0.0,678.0
