,FR,DE,LU,NL,UK,sum
2023-01-01 00:00:00+00:00,0.0,0.0,105.5,1312.0,0.0,433.5
2023-01-01 01:00:00+00:00,0.0,705.25,0.0,485.0,0.0,826.5
2023-01-01 02:00:00+00:00,0.0,620.75,0.0,33.0,0.0,629.0
2023-01-01 03:00:00+00:00,0.0,826.0,0.0,0.0,0.0,826.0
2023-01-01 04:00:00+00:00,0.0,250.25,0.0,268.0,0.0,317.25
2023-01-01 05:00:00+00:00,0.0,359.75,0.0,93.0,313.0,461.25
2023-01-01 06:00:00+00:00,0.0,40.25,0.0,505.0,270.0,234.0
2023-01-01 07:00:00+00:00,0.0,0.0,0.0,587.0,410.0,249.25
2023-01-01 08:00:00+00:00,0.0,65.0,0.0,211.0,405.0,219.0
2023-01-01 09:00:00+00:00,0.0,724.0,0.0,0.0,0.0,724.0
2023-01-01 10:00:00+00:00,0.0,391.25,0.0,100.0,0.0,416.25
2023-01-01 11:00:00+00:00,0.0,378.0,0.0,0.0,0.0,378.0
2023-01-01 12:00:00+00:00,0.0,458.75,0.0,0.0,0.0,458.75
2023-01-01 13:00:00+00:00,0.0,555.75,0.0,0.0,0.0,555.75
2023-01-01 14:00:00+00:00,333.0,274.25,0.0,0.0,0.0,357.5
2023-01-01 15:00:00+00:00,1490.0,0.0,0.0,0.0,0.0,372.5
2023-01-01 16:00:00+00:00,2106.0,0.0,0.0,0.0,0.0,526.5
2023-01-01 17:00:00+00:00,2337.0,0.0,0.0,0.0,0.0,584.25
2023-01-01 18:00:00+00:00,2542.0,50.25,0.0,0.0,0.0,685.75
2023-01-01 19:00:00+00:00,2759.0,0.0,0.0,0.0,0.0,689.75
2023-01-01 20:00:00+00:00,3005.0,0.0,0.0,0.0,0.0,751.25
2023-01-01 21:00:00+00:00,3050.0,0.0,0.0,0.0,0.0,762.5
2023-01-01 22:00:00+00:00,2284.0,504.5,0.0,0.0,0.0,1075.5
2023-01-01 23:00:00+00:00,2403.0,590.25,0.0,0.0,0.0,1191.0
2023-01-02 00:00:00+00:00,2022.0,3.5,0.0,0.0,0.0,509.0
2023-01-02 01:00:00+00:00,1701.0,0.0,0.0,0.0,0.0,425.25
2023-01-02 02:00:00+00:00,2013.0,0.0,0.0,0.0,0.0,503.25
2023-01-02 03:00:00+00:00,1961.0,0.0,0.0,0.0,0.0,490.25
2023-01-02 04:00:00+00:00,2107.0,433.25,0.0,0.0,0.0,960.0
2023-01-02 05:00:00+00:00,2148.0,0.0,0.0,0.0,0.0,537.0
2023-01-02 06:00:00+00:00,1338.0,476.0,0.0,0.0,0.0,810.5
2023-01-02 07:00:00+00:00,1595.0,943.5,0.0,0.0,0.0,1342.25
