,AT,HR,IT,HU,sum
2022-01-01 00:00:00+00:00,312.25,732.0,0.0,0.0,495.25
2022-01-01 01:00:00+00:00,187.25,735.0,0.0,0.0,371.0
2022-01-01 02:00:00+00:00,366.0,717.0,0.0,0.0,545.25
2022-01-01 03:00:00+00:00,319.75,676.0,0.0,0.0,488.75
2022-01-01 04:00:00+00:00,287.25,769.0,0.0,0.0,479.5
2022-01-01 05:00:00+00:00,256.5,934.0,0.0,0.0,490.0
2022-01-01 06:00:00+00:00,84.5,1173.0,0.0,0.0,377.75
2022-01-01 07:00:00+00:00,95.0,1189.0,0.0,0.0,392.25
2022-01-01 08:00:00+00:00,98.25,1143.0,0.0,0.0,384.0
2022-01-01 09:00:00+00:00,86.25,895.0,0.0,0.0,310.0
2022-01-01 10:00:00+00:00,185.75,646.0,0.0,0.0,347.25
2022-01-01 11:00:00+00:00,171.75,604.0,0.0,0.0,322.75
2022-01-01 12:00:00+00:00,137.5,497.0,0.0,0.0,261.75
2022-01-01 13:00:00+00:00,96.5,498.0,0.0,0.0,221.0
2022-01-01 14:00:00+00:00,126.75,407.0,0.0,0.0,228.5
2022-01-01 15:00:00+00:00,133.25,242.0,0.0,0.0,193.75
2022-01-01 16:00:00+00:00,201.5,290.0,0.0,0.0,274.0
2022-01-01 17:00:00+00:00,216.25,363.0,0.0,0.0,307.0
2022-01-01 18:00:00+00:00,228.25,421.0,0.0,0.0,333.5
2022-01-01 19:00:00+00:00,229.5,468.0,0.0,0.0,346.5
2022-01-01 20:00:00+00:00,294.75,455.0,0.0,0.0,408.5
2022-01-01 21:00:00+00:00,216.5,623.0,0.0,0.0,372.25
2022-01-01 22:00:00+00:00,171.0,620.0,0.0,0.0,326.0
2022-01-01 23:00:00+00:00,224.0,591.0,0.0,0.0,371.75
2022-01-02 00:00:00+00:00,305.5,652.0,0.0,0.0,468.5
2022-01-02 01:00:00+00:00,205.5,652.0,0.0,0.0,368.5
2022-01-02 02:00:00+00:00,42.5,677.0,0.0,0.0,211.75
2022-01-02 03:00:00+00:00,98.0,759.0,0.0,0.0,287.75
2022-01-02 04:00:00+00:00,216.5,802.0,0.0,0.0,417.0
2022-01-02 05:00:00+00:00,100.0,846.0,0.0,0.0,311.5
2022-01-02 06:00:00+00:00,203.5,886.0,0.0,0.0,425.0
2022-01-02 07:00:00+00:00,357.75,664.0,0.0,0.0,523.75
2022-01-02 08:00:00+00:00,253.5,478.0,0.0,0.0,373.0
2022-01-02 09:00:00+00:00,117.75,157.0,0.0,0.0,157.0
2022-01-02 10:00:00+00:00,444.5,44.0,0.0,0.0,455.5
2022-01-02 11:00:00+00:00,612.0,76.0,0.0,0.0,631.0
2022-01-02 12:00:00+00:00,610.25,0.0,0.0,0.0,610.25
2022-01-02 13:00:00+00:00,488.75,0.0,0.0,0.0,488.75
2022-01-02 14:00:00+00:00,337.75,5.0,0.0,0.0,339.0
2022-01-02 15:00:00+00:00,319.0,0.0,0.0,0.0,319.0
2022-01-02 16:00:00+00:00,335.25,0.0,0.0,0.0,335.25
2022-01-02 17:00:00+00:00,483.75,0.0,0.0,0.0,483.75
2022-01-02 18:00:00+00:00,490.5,0.0,0.0,0.0,490.5
2022-01-02 19:00:00+00:00,755.25,144.0,0.0,0.0,791.25
2022-01-02 20:00:00+00:00,850.25,45.0,0.0,0.0,861.5
2022-01-02 21:00:00+00:00,820.25,245.0,0.0,0.0,881.5
2022-01-02 22:00:00+00:00,402.75,384.0,0.0,0.0,498.75
2022-01-02 23:00:00+00:00,681.25,414.0,0.0,0.0,784.75
2022-01-03 00:00:00+00:00,467.75,392.0,0.0,0.0,565.75
2022-01-03 01:00:00+00:00,223.0,348.0,0.0,0.0,310.0
2022-01-03 02:00:00+00:00,461.0,395.0,0.0,0.0,559.75
2022-01-03 03:00:00+00:00,559.75,406.0,0.0,0.0,661.25
2022-01-03 04:00:00+00:00,611.5,464.0,0.0,0.0,727.5
2022-01-03 05:00:00+00:00,713.0,496.0,0.0,0.0,837.0
2022-01-03 06:00:00+00:00,920.25,414.0,0.0,0.0,1023.75
2022-01-03 07:00:00+00:00,1008.25,373.0,0.0,0.0,1101.5
2022-01-03 08:00:00+00:00,1110.25,407.0,0.0,0.0,1212.0
2022-01-03 09:00:00+00:00,1003.75,199.0,0.0,0.0,1053.5
2022-01-03 10:00:00+00:00,968.25,248.0,0.0,0.0,1030.25
2022-01-03 11:00:00+00:00,924.0,262.0,0.0,0.0,989.5
2022-01-03 12:00:00+00:00,841.5,335.0,0.0,0.0,925.25
2022-01-03 13:00:00+00:00,819.5,288.0,0.0,0.0,891.5
2022-01-03 14:00:00+00:00,647.75,153.0,0.0,0.0,686.0
2022-01-03 15:00:00+00:00,642.5,2.0,0.0,0.0,643.0
2022-01-03 16:00:00+00:00,696.0,5.0,0.0,0.0,697.25
2022-01-03 17:00:00+00:00,665.75,47.0,0.0,0.0,677.5
2022-01-03 18:00:00+00:00,681.5,0.0,0.0,0.0,681.5
2022-01-03 19:00:00+00:00,803.0,129.0,0.0,0.0,835.25
2022-01-03 20:00:00+00:00,735.0,262.0,0.0,0.0,800.5
2022-01-03 21:00:00+00:00,635.5,302.0,0.0,0.0,711.0
2022-01-03 22:00:00+00:00,600.25,377.0,0.0,0.0,694.5
2022-01-03 23:00:00+00:00,615.25,410.0,0.0,0.0,717.75
2022-01-04 00:00:00+00:00,425.0,517.0,0.0,0.0,554.25
2022-01-04 01:00:00+00:00,230.75,556.0,0.0,0.0,369.75
2022-01-04 02:00:00+00:00,351.25,541.0,0.0,0.0,486.5
2022-01-04 03:00:00+00:00,419.5,489.0,0.0,0.0,541.75
2022-01-04 04:00:00+00:00,617.5,367.0,0.0,0.0,709.25
2022-01-04 05:00:00+00:00,715.5,136.0,0.0,0.0,749.5
2022-01-04 06:00:00+00:00,622.5,0.0,0.0,0.0,622.5
2022-01-04 07:00:00+00:00,640.25,0.0,0.0,0.0,640.25
2022-01-04 08:00:00+00:00,658.25,0.0,0.0,0.0,658.25
2022-01-04 09:00:00+00:00,704.25,0.0,0.0,0.0,704.25
2022-01-04 10:00:00+00:00,559.75,58.0,0.0,0.0,574.25
2022-01-04 11:00:00+00:00,668.5,0.0,0.0,0.0,668.5
2022-01-04 12:00:00+00:00,672.75,143.0,0.0,0.0,708.5
2022-01-04 13:00:00+00:00,531.0,72.0,0.0,0.0,549.0
2022-01-04 14:00:00+00:00,317.75,145.0,0.0,0.0,354.0
2022-01-04 15:00:00+00:00,479.75,57.0,0.0,0.0,494.0
2022-01-04 16:00:00+00:00,673.5,126.0,0.0,0.0,705.0
2022-01-04 17:00:00+00:00,637.75,248.0,0.0,0.0,699.75
2022-01-04 18:00:00+00:00,720.0,245.0,0.0,0.0,781.25
2022-01-04 19:00:00+00:00,699.25,401.0,0.0,0.0,799.5
2022-01-04 20:00:00+00:00,663.25,406.0,0.0,0.0,764.75
2022-01-04 21:00:00+00:00,552.75,456.0,0.0,0.0,666.75
2022-01-04 22:00:00+00:00,486.5,671.0,0.0,0.0,654.25
2022-01-04 23:00:00+00:00,281.0,752.0,0.0,0.0,469.0
2022-01-05 00:00:00+00:00,150.5,840.0,0.0,0.0,360.5
2022-01-05 01:00:00+00:00,115.0,892.0,0.0,0.0,338.0
2022-01-05 02:00:00+00:00,176.5,904.0,0.0,0.0,402.5
2022-01-05 03:00:00+00:00,178.25,844.0,0.0,0.0,389.25
2022-01-05 04:00:00+00:00,377.5,647.0,0.0,0.0,539.25
2022-01-05 05:00:00+00:00,535.25,580.0,0.0,0.0,680.25
2022-01-05 06:00:00+00:00,386.0,725.0,0.0,0.0,567.25
2022-01-05 07:00:00+00:00,312.75,695.0,0.0,0.0,486.5
2022-01-05 08:00:00+00:00,201.5,653.0,0.0,0.0,364.75
2022-01-05 09:00:00+00:00,112.5,812.0,0.0,0.0,315.5
2022-01-05 10:00:00+00:00,108.5,756.0,0.0,0.0,297.5
2022-01-05 11:00:00+00:00,70.75,663.0,0.0,0.0,236.5
2022-01-05 12:00:00+00:00,113.75,674.0,0.0,0.0,282.25
2022-01-05 13:00:00+00:00,199.75,632.0,0.0,0.0,357.75
2022-01-05 14:00:00+00:00,300.75,614.0,0.0,0.0,454.25
2022-01-05 15:00:00+00:00,397.5,346.0,0.0,0.0,484.0
2022-01-05 16:00:00+00:00,406.0,319.0,0.0,0.0,485.75
2022-01-05 17:00:00+00:00,425.75,402.0,0.0,0.0,526.25
2022-01-05 18:00:00+00:00,384.5,529.0,0.0,0.0,516.75
2022-01-05 19:00:00+00:00,247.75,542.0,0.0,0.0,383.25
2022-01-05 20:00:00+00:00,161.0,562.0,0.0,0.0,301.5
2022-01-05 21:00:00+00:00,71.5,620.0,0.0,0.0,226.5
2022-01-05 22:00:00+00:00,1.0,780.0,0.0,0.0,196.0
2022-01-05 23:00:00+00:00,0.0,801.0,0.0,0.0,200.25
2022-01-06 00:00:00+00:00,0.0,838.0,0.0,0.0,209.5
2022-01-06 01:00:00+00:00,0.0,1082.0,0.0,0.0,270.5
2022-01-06 02:00:00+00:00,0.0,1119.0,0.0,0.0,279.75
2022-01-06 03:00:00+00:00,0.0,1049.0,0.0,0.0,262.25
2022-01-06 04:00:00+00:00,0.0,921.0,0.0,0.0,230.25
2022-01-06 05:00:00+00:00,30.75,916.0,0.0,0.0,259.75
2022-01-06 06:00:00+00:00,2.0,712.0,0.0,0.0,180.0
2022-01-06 07:00:00+00:00,0.0,832.0,0.0,0.0,208.0
2022-01-06 08:00:00+00:00,0.0,977.0,0.0,0.0,244.25
2022-01-06 09:00:00+00:00,0.0,995.0,0.0,0.0,248.75
2022-01-06 10:00:00+00:00,41.25,958.0,0.0,0.0,280.75
2022-01-06 11:00:00+00:00,84.0,856.0,0.0,0.0,298.0
2022-01-06 12:00:00+00:00,0.0,962.0,0.0,0.0,240.5
2022-01-06 13:00:00+00:00,0.0,840.0,0.0,0.0,210.0
2022-01-06 14:00:00+00:00,0.0,909.0,0.0,0.0,227.25
2022-01-06 15:00:00+00:00,10.25,865.0,0.0,0.0,226.5
2022-01-06 16:00:00+00:00,52.75,759.0,0.0,0.0,242.5
2022-01-06 17:00:00+00:00,163.0,752.0,0.0,0.0,351.0
2022-01-06 18:00:00+00:00,209.5,813.0,0.0,0.0,412.75
2022-01-06 19:00:00+00:00,84.0,425.0,0.0,0.0,190.25
2022-01-06 20:00:00+00:00,135.5,525.0,0.0,0.0,266.75
2022-01-06 21:00:00+00:00,297.0,568.0,0.0,0.0,439.0
2022-01-06 22:00:00+00:00,173.75,674.0,0.0,0.0,342.25
2022-01-06 23:00:00+00:00,117.0,807.0,0.0,0.0,318.75
2022-01-07 00:00:00+00:00,0.0,1072.0,0.0,0.0,268.0
2022-01-07 01:00:00+00:00,0.0,962.0,0.0,0.0,240.5
2022-01-07 02:00:00+00:00,0.0,977.0,0.0,0.0,244.25
2022-01-07 03:00:00+00:00,69.25,952.0,0.0,0.0,307.25
2022-01-07 04:00:00+00:00,190.5,768.0,0.0,0.0,382.5
2022-01-07 05:00:00+00:00,502.25,588.0,0.0,0.0,649.25
2022-01-07 06:00:00+00:00,622.0,185.0,0.0,0.0,668.25
2022-01-07 07:00:00+00:00,684.75,258.0,0.0,0.0,749.25
2022-01-07 08:00:00+00:00,620.0,243.0,0.0,0.0,680.75
2022-01-07 09:00:00+00:00,669.75,419.0,0.0,0.0,774.5
2022-01-07 10:00:00+00:00,552.5,472.0,0.0,0.0,670.5
2022-01-07 11:00:00+00:00,578.75,387.0,0.0,0.0,675.5
2022-01-07 12:00:00+00:00,601.5,348.0,0.0,0.0,688.5
2022-01-07 13:00:00+00:00,567.75,307.0,0.0,0.0,644.5
2022-01-07 14:00:00+00:00,504.75,170.0,0.0,0.0,547.25
2022-01-07 15:00:00+00:00,557.0,133.0,0.0,0.0,590.25
2022-01-07 16:00:00+00:00,761.25,0.0,0.0,0.0,761.25
2022-01-07 17:00:00+00:00,770.75,13.0,0.0,0.0,774.0
2022-01-07 18:00:00+00:00,623.75,118.0,0.0,0.0,653.25
2022-01-07 19:00:00+00:00,416.25,240.0,0.0,0.0,476.25
2022-01-07 20:00:00+00:00,325.25,356.0,0.0,0.0,414.25
2022-01-07 21:00:00+00:00,352.75,355.0,0.0,0.0,441.5
2022-01-07 22:00:00+00:00,331.5,656.0,0.0,0.0,495.5
2022-01-07 23:00:00+00:00,317.5,736.0,0.0,0.0,501.5
2022-01-08 00:00:00+00:00,219.0,837.0,0.0,0.0,428.25
2022-01-08 01:00:00+00:00,56.5,826.0,0.0,0.0,263.0
2022-01-08 02:00:00+00:00,185.75,875.0,0.0,0.0,404.5
2022-01-08 03:00:00+00:00,234.0,841.0,0.0,0.0,444.25
2022-01-08 04:00:00+00:00,240.25,734.0,0.0,0.0,423.75
