,CZ,HU,PL,UA,sum
2024-01-01 00:00:00+00:00,1317.0,0.0,265.0,0.0,1582.0
2024-01-01 01:00:00+00:00,1129.0,0.0,253.0,0.0,1382.0
2024-01-01 02:00:00+00:00,776.0,0.0,214.0,0.0,990.0
2024-01-01 03:00:00+00:00,502.0,0.0,156.0,0.0,658.0
2024-01-01 04:00:00+00:00,551.0,0.0,163.0,0.0,714.0
2024-01-01 05:00:00+00:00,594.0,0.0,136.0,0.0,730.0
2024-01-01 06:00:00+00:00,632.0,0.0,154.0,0.0,786.0
2024-01-01 07:00:00+00:00,708.0,0.0,166.0,0.0,874.0
2024-01-01 08:00:00+00:00,423.0,0.0,57.0,0.0,480.0
2024-01-01 09:00:00+00:00,545.0,0.0,18.0,0.0,563.0
2024-01-01 10:00:00+00:00,447.0,0.0,0.0,5.0,452.0
2024-01-01 11:00:00+00:00,286.0,0.0,0.0,26.0,312.0
2024-01-01 12:00:00+00:00,198.0,0.0,0.0,48.0,246.0
2024-01-01 13:00:00+00:00,479.0,0.0,0.0,4.0,483.0
2024-01-01 14:00:00+00:00,658.0,0.0,0.0,0.0,658.0
2024-01-01 15:00:00+00:00,811.0,0.0,0.0,0.0,811.0
2024-01-01 16:00:00+00:00,853.0,0.0,0.0,0.0,853.0
2024-01-01 17:00:00+00:00,736.0,0.0,0.0,0.0,736.0
2024-01-01 18:00:00+00:00,682.0,0.0,0.0,0.0,682.0
2024-01-01 19:00:00+00:00,667.0,0.0,0.0,0.0,667.0
2024-01-01 20:00:00+00:00,656.0,0.0,0.0,0.0,656.0
2024-01-01 21:00:00+00:00,491.0,0.0,5.0,0.0,496.0
2024-01-01 22:00:00+00:00,169.0,0.0,25.0,0.0,194.0
2024-01-01 23:00:00+00:00,207.0,0.0,88.0,59.0,354.0
2024-01-02 00:00:00+00:00,43.0,0.0,98.0,69.0,210.0
2024-01-02 01:00:00+00:00,148.0,0.0,117.0,31.0,296.0
2024-01-02 02:00:00+00:00,217.0,0.0,142.0,4.0,363.0
2024-01-02 03:00:00+00:00,598.0,0.0,308.0,0.0,906.0
2024-01-02 04:00:00+00:00,951.0,0.0,385.0,0.0,1336.0
2024-01-02 05:00:00+00:00,830.0,0.0,347.0,0.0,1177.0
2024-01-02 06:00:00+00:00,968.0,0.0,370.0,0.0,1338.0
2024-01-02 07:00:00+00:00,774.0,0.0,226.0,0.0,1000.0
2024-01-02 08:00:00+00:00,427.0,0.0,94.0,0.0,521.0
2024-01-02 09:00:00+00:00,197.0,0.0,1.0,24.0,222.0
2024-01-02 10:00:00+00:00,0.0,0.0,0.0,218.0,218.0
2024-01-02 11:00:00+00:00,0.0,0.0,0.0,183.0,183.0
2024-01-02 12:00:00+00:00,67.0,0.0,0.0,122.0,189.0
2024-01-02 13:00:00+00:00,740.0,0.0,50.0,0.0,790.0
2024-01-02 14:00:00+00:00,1115.0,0.0,209.0,0.0,1324.0
2024-01-02 15:00:00+00:00,1328.0,0.0,322.0,0.0,1650.0
2024-01-02 16:00:00+00:00,1264.0,0.0,312.0,0.0,1576.0
2024-01-02 17:00:00+00:00,1182.0,0.0,262.0,0.0,1444.0
2024-01-02 18:00:00+00:00,1067.0,0.0,203.0,0.0,1270.0
2024-01-02 19:00:00+00:00,1141.0,0.0,263.0,0.0,1404.0
2024-01-02 20:00:00+00:00,1278.0,0.0,415.0,0.0,1693.0
2024-01-02 21:00:00+00:00,1146.0,0.0,463.0,0.0,1609.0
2024-01-02 22:00:00+00:00,1237.0,0.0,451.0,0.0,1688.0
2024-01-02 23:00:00+00:00,1269.0,0.0,496.0,0.0,1765.0
2024-01-03 00:00:00+00:00,983.0,0.0,427.0,0.0,1410.0
2024-01-03 01:00:00+00:00,774.0,0.0,356.0,0.0,1130.0
2024-01-03 02:00:00+00:00,706.0,0.0,300.0,0.0,1006.0
2024-01-03 03:00:00+00:00,822.0,0.0,349.0,0.0,1171.0
2024-01-03 04:00:00+00:00,1322.0,0.0,512.0,0.0,1834.0
2024-01-03 05:00:00+00:00,1144.0,0.0,364.0,0.0,1508.0
2024-01-03 06:00:00+00:00,1234.0,0.0,391.0,0.0,1625.0
2024-01-03 07:00:00+00:00,1420.0,0.0,341.0,0.0,1761.0
2024-01-03 08:00:00+00:00,1246.0,0.0,438.0,0.0,1684.0
2024-01-03 09:00:00+00:00,930.0,0.0,287.0,0.0,1217.0
2024-01-03 10:00:00+00:00,745.0,0.0,160.0,0.0,905.0
2024-01-03 11:00:00+00:00,748.0,0.0,151.0,0.0,899.0
2024-01-03 12:00:00+00:00,655.0,0.0,124.0,0.0,779.0
2024-01-03 13:00:00+00:00,537.0,0.0,52.0,0.0,589.0
2024-01-03 14:00:00+00:00,631.0,0.0,65.0,4.0,700.0
2024-01-03 15:00:00+00:00,1066.0,0.0,268.0,0.0,1334.0
2024-01-03 16:00:00+00:00,912.0,0.0,215.0,0.0,1127.0
2024-01-03 17:00:00+00:00,877.0,0.0,128.0,0.0,1005.0
2024-01-03 18:00:00+00:00,731.0,0.0,52.0,0.0,783.0
2024-01-03 19:00:00+00:00,790.0,0.0,0.0,0.0,790.0
2024-01-03 20:00:00+00:00,697.0,0.0,0.0,5.0,702.0
2024-01-03 21:00:00+00:00,522.0,0.0,122.0,3.0,647.0
2024-01-03 22:00:00+00:00,589.0,0.0,221.0,0.0,810.0
2024-01-03 23:00:00+00:00,644.0,0.0,242.0,0.0,886.0
2024-01-04 00:00:00+00:00,493.0,0.0,207.0,1.0,701.0
2024-01-04 01:00:00+00:00,438.0,0.0,217.0,0.0,655.0
2024-01-04 02:00:00+00:00,349.0,0.0,183.0,4.0,536.0
2024-01-04 03:00:00+00:00,407.0,0.0,175.0,0.0,582.0
2024-01-04 04:00:00+00:00,708.0,0.0,291.0,0.0,999.0
2024-01-04 05:00:00+00:00,604.0,0.0,116.0,0.0,720.0
2024-01-04 06:00:00+00:00,648.0,0.0,42.0,0.0,690.0
2024-01-04 07:00:00+00:00,191.0,0.0,55.0,11.0,257.0
