,DE,LT,CZ,SK,UA,SE,sum
2023-01-01 00:00:00+00:00,1173.0,120.0,0.0,0.0,0.0,0.0,1293.0
2023-01-01 01:00:00+00:00,1038.0,129.0,0.0,0.0,0.0,0.0,1167.0
2023-01-01 02:00:00+00:00,681.0,352.0,0.0,0.0,0.0,0.0,1033.0
2023-01-01 03:00:00+00:00,558.0,202.0,0.0,0.0,0.0,0.0,760.0
2023-01-01 04:00:00+00:00,595.0,352.0,0.0,0.0,0.0,0.0,947.0
2023-01-01 05:00:00+00:00,693.0,290.0,0.0,0.0,0.0,0.0,983.0
2023-01-01 06:00:00+00:00,855.0,6.0,0.0,0.0,0.0,0.0,861.0
2023-01-01 07:00:00+00:00,555.0,0.0,0.0,0.0,0.0,0.0,555.0
2023-01-01 08:00:00+00:00,611.0,0.0,0.0,0.0,0.0,0.0,611.0
2023-01-01 09:00:00+00:00,605.0,0.0,0.0,0.0,0.0,0.0,605.0
2023-01-01 10:00:00+00:00,942.0,0.0,0.0,0.0,0.0,0.0,942.0
2023-01-01 11:00:00+00:00,782.0,0.0,0.0,0.0,0.0,0.0,782.0
2023-01-01 12:00:00+00:00,1042.0,0.0,0.0,0.0,0.0,0.0,1042.0
2023-01-01 13:00:00+00:00,1337.0,0.0,0.0,0.0,0.0,0.0,1337.0
2023-01-01 14:00:00+00:00,1480.0,0.0,0.0,0.0,0.0,1.0,1481.0
2023-01-01 15:00:00+00:00,1087.0,105.0,0.0,0.0,0.0,377.0,1569.0
2023-01-01 16:00:00+00:00,939.0,350.0,0.0,0.0,0.0,587.0,1876.0
2023-01-01 17:00:00+00:00,881.0,351.0,0.0,0.0,0.0,597.0,1829.0
2023-01-01 18:00:00+00:00,757.0,351.0,0.0,0.0,0.0,597.0,1705.0
2023-01-01 19:00:00+00:00,946.0,351.0,0.0,0.0,0.0,597.0,1894.0
2023-01-01 20:00:00+00:00,977.0,351.0,0.0,0.0,0.0,597.0,1925.0
2023-01-01 21:00:00+00:00,883.0,351.0,0.0,0.0,0.0,597.0,1831.0
2023-01-01 22:00:00+00:00,837.0,351.0,0.0,0.0,0.0,597.0,1785.0
2023-01-01 23:00:00+00:00,962.0,351.0,0.0,0.0,0.0,597.0,1910.0
2023-01-02 00:00:00+00:00,981.0,300.0,0.0,0.0,0.0,597.0,1878.0
2023-01-02 01:00:00+00:00,1092.0,207.0,0.0,0.0,0.0,597.0,1896.0
2023-01-02 02:00:00+00:00,1117.0,201.0,0.0,0.0,0.0,588.0,1906.0
2023-01-02 03:00:00+00:00,1486.0,1.0,0.0,0.0,0.0,151.0,1638.0
2023-01-02 04:00:00+00:00,1217.0,1.0,0.0,0.0,0.0,530.0,1748.0
2023-01-02 05:00:00+00:00,1657.0,201.0,0.0,0.0,0.0,596.0,2454.0
2023-01-02 06:00:00+00:00,2045.0,350.0,0.0,0.0,0.0,590.0,2985.0
2023-01-02 07:00:00+00:00,1651.0,113.0,0.0,0.0,0.0,368.0,2132.0
