,EE,LT,RU,sum
2022-01-04 12:00:00+00:00,147.0,0.0,24.0,171.0
2022-01-04 13:00:00+00:00,131.0,0.0,14.0,145.0
2022-01-04 14:00:00+00:00,111.0,0.0,13.0,124.0
2022-01-04 15:00:00+00:00,182.0,0.0,25.0,207.0
2022-01-04 16:00:00+00:00,143.0,0.0,9.0,152.0
2022-01-04 17:00:00+00:00,242.0,0.0,41.0,283.0
2022-01-04 18:00:00+00:00,202.0,0.0,41.0,243.0
2022-01-04 19:00:00+00:00,282.0,0.0,56.0,338.0
2022-01-04 20:00:00+00:00,121.0,64.0,11.0,196.0
2022-01-04 21:00:00+00:00,149.0,59.0,20.0,228.0
2022-01-04 22:00:00+00:00,125.0,38.0,19.0,182.0
2022-01-04 23:00:00+00:00,282.0,0.0,64.0,346.0
2022-01-05 00:00:00+00:00,263.0,0.0,58.0,321.0
2022-01-05 01:00:00+00:00,248.0,1.0,56.0,305.0
2022-01-05 02:00:00+00:00,168.0,115.0,35.0,318.0
2022-01-05 03:00:00+00:00,79.0,278.0,10.0,367.0
2022-01-05 04:00:00+00:00,0.0,536.0,0.0,536.0
2022-01-05 05:00:00+00:00,0.0,445.0,0.0,445.0
2022-01-05 06:00:00+00:00,0.0,508.0,0.0,508.0
2022-01-05 07:00:00+00:00,0.0,389.0,0.0,389.0
2022-01-05 08:00:00+00:00,0.0,397.0,0.0,397.0
2022-01-05 09:00:00+00:00,0.0,488.0,0.0,488.0
2022-01-05 10:00:00+00:00,0.0,404.0,0.0,404.0
2022-01-05 11:00:00+00:00,0.0,425.0,0.0,425.0
2022-01-05 12:00:00+00:00,0.0,465.0,0.0,465.0
2022-01-05 13:00:00+00:00,0.0,433.0,0.0,433.0
2022-01-05 14:00:00+00:00,0.0,449.0,0.0,449.0
2022-01-05 15:00:00+00:00,0.0,340.0,0.0,340.0
2022-01-05 16:00:00+00:00,0.0,312.0,0.0,312.0
2022-01-05 17:00:00+00:00,0.0,203.0,0.0,203.0
2022-01-05 18:00:00+00:00,0.0,274.0,0.0,274.0
2022-01-05 19:00:00+00:00,0.0,399.0,0.0,399.0
2022-01-05 20:00:00+00:00,0.0,466.0,0.0,466.0
2022-01-05 21:00:00+00:00,52.0,431.0,0.0,483.0
2022-01-05 22:00:00+00:00,186.0,179.0,21.0,386.0
2022-01-05 23:00:00+00:00,319.0,0.0,77.0,396.0
2022-01-06 00:00:00+00:00,283.0,0.0,61.0,344.0
2022-01-06 01:00:00+00:00,285.0,0.0,62.0,347.0
2022-01-06 02:00:00+00:00,303.0,0.0,70.0,373.0
2022-01-06 03:00:00+00:00,236.0,87.0,45.0,368.0
2022-01-06 04:00:00+00:00,233.0,199.0,43.0,475.0
2022-01-06 05:00:00+00:00,236.0,129.0,43.0,408.0
2022-01-06 06:00:00+00:00,172.0,28.0,43.0,243.0
2022-01-06 07:00:00+00:00,415.0,0.0,101.0,516.0
2022-01-06 08:00:00+00:00,468.0,0.0,107.0,575.0
2022-01-06 09:00:00+00:00,488.0,0.0,107.0,595.0
2022-01-06 10:00:00+00:00,426.0,0.0,90.0,516.0
2022-01-06 11:00:00+00:00,394.0,0.0,78.0,472.0
2022-01-06 12:00:00+00:00,354.0,0.0,74.0,428.0
2022-01-06 13:00:00+00:00,301.0,0.0,59.0,360.0
2022-01-06 14:00:00+00:00,253.0,0.0,57.0,310.0
2022-01-06 15:00:00+00:00,221.0,0.0,49.0,270.0
2022-01-06 16:00:00+00:00,203.0,0.0,42.0,245.0
2022-01-06 17:00:00+00:00,204.0,0.0,45.0,249.0
2022-01-06 18:00:00+00:00,272.0,0.0,69.0,341.0
2022-01-06 19:00:00+00:00,359.0,0.0,87.0,446.0
2022-01-06 20:00:00+00:00,352.0,0.0,87.0,439.0
2022-01-06 21:00:00+00:00,387.0,0.0,92.0,479.0
2022-01-06 22:00:00+00:00,358.0,0.0,94.0,452.0
2022-01-06 23:00:00+00:00,424.0,0.0,101.0,525.0
2022-01-07 00:00:00+00:00,440.0,0.0,112.0,552.0
2022-01-07 01:00:00+00:00,421.0,0.0,105.0,526.0
2022-01-07 02:00:00+00:00,335.0,0.0,84.0,419.0
2022-01-07 03:00:00+00:00,213.0,109.0,40.0,362.0
2022-01-07 04:00:00+00:00,192.0,129.0,38.0,359.0
2022-01-07 05:00:00+00:00,201.0,37.0,48.0,286.0
2022-01-07 06:00:00+00:00,153.0,132.0,31.0,316.0
2022-01-07 07:00:00+00:00,334.0,0.0,93.0,427.0
2022-01-07 08:00:00+00:00,287.0,0.0,72.0,359.0
2022-01-07 09:00:00+00:00,276.0,0.0,53.0,329.0
2022-01-07 10:00:00+00:00,167.0,0.0,32.0,199.0
2022-01-07 11:00:00+00:00,134.0,0.0,31.0,165.0
2022-01-07 12:00:00+00:00,76.0,0.0,18.0,94.0
2022-01-07 13:00:00+00:00,94.0,0.0,20.0,114.0
2022-01-07 14:00:00+00:00,8.0,0.0,0.0,8.0
2022-01-07 15:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-07 16:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-07 17:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-07 18:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-07 19:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-07 20:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-07 21:00:00+00:00,0.0,190.0,0.0,190.0
2022-01-07 22:00:00+00:00,0.0,299.0,0.0,299.0
2022-01-07 23:00:00+00:00,43.0,330.0,0.0,373.0
2022-01-08 00:00:00+00:00,0.0,409.0,0.0,409.0
2022-01-08 01:00:00+00:00,6.0,363.0,0.0,369.0
2022-01-08 02:00:00+00:00,6.0,366.0,0.0,372.0
2022-01-08 03:00:00+00:00,0.0,409.0,0.0,409.0
2022-01-08 04:00:00+00:00,0.0,490.0,0.0,490.0
2022-01-08 05:00:00+00:00,46.0,317.0,0.0,363.0
2022-01-08 06:00:00+00:00,54.0,0.0,4.0,58.0
2022-01-08 07:00:00+00:00,137.0,0.0,40.0,177.0
2022-01-08 08:00:00+00:00,163.0,0.0,40.0,203.0
2022-01-08 09:00:00+00:00,204.0,0.0,49.0,253.0
2022-01-08 10:00:00+00:00,192.0,0.0,46.0,238.0
2022-01-08 11:00:00+00:00,239.0,0.0,62.0,301.0
2022-01-08 12:00:00+00:00,137.0,0.0,30.0,167.0
2022-01-08 13:00:00+00:00,108.0,0.0,11.0,119.0
2022-01-08 14:00:00+00:00,153.0,0.0,16.0,169.0
2022-01-08 15:00:00+00:00,150.0,0.0,23.0,173.0
2022-01-08 16:00:00+00:00,96.0,0.0,7.0,103.0
2022-01-08 17:00:00+00:00,179.0,0.0,33.0,212.0
2022-01-08 18:00:00+00:00,285.0,0.0,69.0,354.0
2022-01-08 19:00:00+00:00,194.0,0.0,40.0,234.0
2022-01-08 20:00:00+00:00,0.0,416.0,0.0,416.0
2022-01-08 21:00:00+00:00,0.0,576.0,0.0,576.0
2022-01-08 22:00:00+00:00,0.0,498.0,0.0,498.0
2022-01-08 23:00:00+00:00,8.0,374.0,0.0,382.0
2022-01-09 00:00:00+00:00,88.0,229.0,0.0,317.0
2022-01-09 01:00:00+00:00,147.0,154.0,0.0,301.0
2022-01-09 02:00:00+00:00,90.0,232.0,0.0,322.0
2022-01-09 03:00:00+00:00,149.0,173.0,1.0,323.0
2022-01-09 04:00:00+00:00,199.0,137.0,15.0,351.0
2022-01-09 05:00:00+00:00,211.0,51.0,33.0,295.0
2022-01-09 06:00:00+00:00,81.0,185.0,0.0,266.0
2022-01-09 07:00:00+00:00,20.0,325.0,0.0,345.0
2022-01-09 08:00:00+00:00,24.0,348.0,0.0,372.0
2022-01-09 09:00:00+00:00,0.0,404.0,0.0,404.0
2022-01-09 10:00:00+00:00,88.0,288.0,0.0,376.0
2022-01-09 11:00:00+00:00,109.0,115.0,0.0,224.0
2022-01-09 12:00:00+00:00,13.0,151.0,0.0,164.0
2022-01-09 13:00:00+00:00,43.0,120.0,0.0,163.0
2022-01-09 14:00:00+00:00,0.0,81.0,0.0,81.0
2022-01-09 15:00:00+00:00,66.0,16.0,0.0,82.0
2022-01-09 16:00:00+00:00,54.0,0.0,0.0,54.0
2022-01-09 17:00:00+00:00,25.0,0.0,0.0,25.0
2022-01-09 18:00:00+00:00,152.0,0.0,24.0,176.0
2022-01-09 19:00:00+00:00,149.0,0.0,25.0,174.0
2022-01-09 20:00:00+00:00,39.0,0.0,0.0,39.0
2022-01-09 21:00:00+00:00,111.0,0.0,0.0,111.0
2022-01-09 22:00:00+00:00,126.0,5.0,0.0,131.0
2022-01-09 23:00:00+00:00,2.0,180.0,0.0,182.0
2022-01-10 00:00:00+00:00,0.0,264.0,0.0,264.0
2022-01-10 01:00:00+00:00,0.0,213.0,0.0,213.0
2022-01-10 02:00:00+00:00,0.0,228.0,0.0,228.0
2022-01-10 03:00:00+00:00,0.0,285.0,0.0,285.0
2022-01-10 04:00:00+00:00,0.0,515.0,0.0,515.0
2022-01-10 05:00:00+00:00,0.0,372.0,0.0,372.0
2022-01-10 06:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 07:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 08:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 09:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 10:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 11:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 12:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 13:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 14:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 15:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 16:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 17:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 18:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 19:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 20:00:00+00:00,0.0,98.0,0.0,98.0
2022-01-10 21:00:00+00:00,2.0,43.0,0.0,45.0
2022-01-10 22:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-10 23:00:00+00:00,190.0,0.0,42.0,232.0
2022-01-11 00:00:00+00:00,191.0,0.0,41.0,232.0
2022-01-11 01:00:00+00:00,148.0,0.0,21.0,169.0
2022-01-11 02:00:00+00:00,152.0,0.0,23.0,175.0
2022-01-11 03:00:00+00:00,175.0,0.0,29.0,204.0
2022-01-11 04:00:00+00:00,175.0,0.0,24.0,199.0
2022-01-11 05:00:00+00:00,60.0,0.0,4.0,64.0
2022-01-11 06:00:00+00:00,10.0,0.0,0.0,10.0
2022-01-11 07:00:00+00:00,10.0,0.0,0.0,10.0
2022-01-11 08:00:00+00:00,3.0,0.0,0.0,3.0
2022-01-11 09:00:00+00:00,3.0,0.0,0.0,3.0
2022-01-11 10:00:00+00:00,3.0,0.0,0.0,3.0
2022-01-11 11:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-11 12:00:00+00:00,8.0,0.0,0.0,8.0
2022-01-11 13:00:00+00:00,3.0,0.0,0.0,3.0
2022-01-11 14:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-11 15:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-11 16:00:00+00:00,17.0,0.0,0.0,17.0
2022-01-11 17:00:00+00:00,52.0,0.0,0.0,52.0
2022-01-11 18:00:00+00:00,80.0,0.0,9.0,89.0
2022-01-11 19:00:00+00:00,135.0,0.0,18.0,153.0
2022-01-11 20:00:00+00:00,162.0,0.0,14.0,176.0
2022-01-11 21:00:00+00:00,163.0,4.0,6.0,173.0
2022-01-11 22:00:00+00:00,156.0,0.0,2.0,158.0
2022-01-11 23:00:00+00:00,151.0,0.0,3.0,154.0
2022-01-12 00:00:00+00:00,179.0,0.0,6.0,185.0
2022-01-12 01:00:00+00:00,167.0,0.0,1.0,168.0
2022-01-12 02:00:00+00:00,179.0,0.0,7.0,186.0
2022-01-12 03:00:00+00:00,182.0,2.0,7.0,191.0
2022-01-12 04:00:00+00:00,133.0,98.0,0.0,231.0
2022-01-12 05:00:00+00:00,15.0,0.0,0.0,15.0
2022-01-12 06:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-12 07:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-12 08:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-12 09:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-12 10:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-12 11:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-12 12:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-12 13:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-12 14:00:00+00:00,5.0,0.0,0.0,5.0
2022-01-12 15:00:00+00:00,44.0,0.0,0.0,44.0
2022-01-12 16:00:00+00:00,58.0,0.0,0.0,58.0
2022-01-12 17:00:00+00:00,91.0,0.0,0.0,91.0
2022-01-12 18:00:00+00:00,141.0,0.0,13.0,154.0
2022-01-12 19:00:00+00:00,161.0,0.0,12.0,173.0
2022-01-12 20:00:00+00:00,128.0,291.0,0.0,419.0
2022-01-12 21:00:00+00:00,95.0,253.0,0.0,348.0
2022-01-12 22:00:00+00:00,83.0,196.0,0.0,279.0
2022-01-12 23:00:00+00:00,251.0,104.0,32.0,387.0
2022-01-13 00:00:00+00:00,268.0,56.0,44.0,368.0
2022-01-13 01:00:00+00:00,257.0,61.0,42.0,360.0
2022-01-13 02:00:00+00:00,256.0,69.0,40.0,365.0
2022-01-13 03:00:00+00:00,285.0,63.0,57.0,405.0
2022-01-13 04:00:00+00:00,224.0,241.0,20.0,485.0
2022-01-13 05:00:00+00:00,144.0,18.0,6.0,168.0
2022-01-13 06:00:00+00:00,100.0,0.0,0.0,100.0
2022-01-13 07:00:00+00:00,179.0,0.0,18.0,197.0
2022-01-13 08:00:00+00:00,87.0,0.0,0.0,87.0
2022-01-13 09:00:00+00:00,123.0,48.0,0.0,171.0
2022-01-13 10:00:00+00:00,141.0,0.0,0.0,141.0
2022-01-13 11:00:00+00:00,132.0,0.0,1.0,133.0
2022-01-13 12:00:00+00:00,130.0,0.0,0.0,130.0
2022-01-13 13:00:00+00:00,111.0,0.0,0.0,111.0
2022-01-13 14:00:00+00:00,57.0,88.0,0.0,145.0
2022-01-13 15:00:00+00:00,42.0,49.0,0.0,91.0
2022-01-13 16:00:00+00:00,47.0,110.0,0.0,157.0
2022-01-13 17:00:00+00:00,70.0,2.0,0.0,72.0
2022-01-13 18:00:00+00:00,114.0,0.0,2.0,116.0
2022-01-13 19:00:00+00:00,98.0,24.0,0.0,122.0
2022-01-13 20:00:00+00:00,200.0,271.0,14.0,485.0
2022-01-13 21:00:00+00:00,183.0,227.0,10.0,420.0
2022-01-13 22:00:00+00:00,191.0,147.0,16.0,354.0
2022-01-13 23:00:00+00:00,239.0,41.0,42.0,322.0
2022-01-14 00:00:00+00:00,197.0,78.0,30.0,305.0
2022-01-14 01:00:00+00:00,201.0,63.0,29.0,293.0
2022-01-14 02:00:00+00:00,193.0,78.0,33.0,304.0
2022-01-14 03:00:00+00:00,226.0,0.0,42.0,268.0
2022-01-14 04:00:00+00:00,235.0,56.0,42.0,333.0
2022-01-14 05:00:00+00:00,233.0,121.0,34.0,388.0
2022-01-14 06:00:00+00:00,222.0,152.0,30.0,404.0
2022-01-14 07:00:00+00:00,263.0,0.0,44.0,307.0
2022-01-14 08:00:00+00:00,146.0,0.0,11.0,157.0
2022-01-14 09:00:00+00:00,145.0,0.0,12.0,157.0
2022-01-14 10:00:00+00:00,152.0,0.0,17.0,169.0
2022-01-14 11:00:00+00:00,120.0,0.0,10.0,130.0
2022-01-14 12:00:00+00:00,115.0,0.0,7.0,122.0
2022-01-14 13:00:00+00:00,90.0,0.0,3.0,93.0
2022-01-14 14:00:00+00:00,69.0,0.0,0.0,69.0
2022-01-14 15:00:00+00:00,44.0,90.0,0.0,134.0
2022-01-14 16:00:00+00:00,66.0,36.0,0.0,102.0
2022-01-14 17:00:00+00:00,44.0,84.0,0.0,128.0
2022-01-14 18:00:00+00:00,37.0,158.0,0.0,195.0
2022-01-14 19:00:00+00:00,82.0,253.0,0.0,335.0
2022-01-14 20:00:00+00:00,55.0,319.0,0.0,374.0
2022-01-14 21:00:00+00:00,35.0,425.0,0.0,460.0
2022-01-14 22:00:00+00:00,68.0,317.0,0.0,385.0
2022-01-14 23:00:00+00:00,63.0,274.0,0.0,337.0
2022-01-15 00:00:00+00:00,21.0,324.0,0.0,345.0
2022-01-15 01:00:00+00:00,33.0,297.0,0.0,330.0
2022-01-15 02:00:00+00:00,79.0,239.0,0.0,318.0
2022-01-15 03:00:00+00:00,80.0,247.0,0.0,327.0
2022-01-15 04:00:00+00:00,90.0,255.0,0.0,345.0
2022-01-15 05:00:00+00:00,129.0,130.0,0.0,259.0
2022-01-15 06:00:00+00:00,151.0,40.0,3.0,194.0
2022-01-15 07:00:00+00:00,123.0,82.0,2.0,207.0
2022-01-15 08:00:00+00:00,108.0,0.0,0.0,108.0
2022-01-15 09:00:00+00:00,131.0,0.0,0.0,131.0
2022-01-15 10:00:00+00:00,144.0,0.0,1.0,145.0
2022-01-15 11:00:00+00:00,129.0,0.0,0.0,129.0
2022-01-15 12:00:00+00:00,88.0,0.0,0.0,88.0
2022-01-15 13:00:00+00:00,46.0,0.0,0.0,46.0
2022-01-15 14:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-15 15:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-15 16:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-15 17:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-15 18:00:00+00:00,0.0,0.0,0.0,0.0
2022-01-15 19:00:00+00:00,70.0,0.0,0.0,70.0
2022-01-15 20:00:00+00:00,122.0,24.0,0.0,146.0
2022-01-15 21:00:00+00:00,95.0,188.0,0.0,283.0
2022-01-15 22:00:00+00:00,119.0,162.0,0.0,281.0
2022-01-15 23:00:00+00:00,150.0,361.0,0.0,511.0
2022-01-16 00:00:00+00:00,191.0,331.0,7.0,529.0
2022-01-16 01:00:00+00:00,194.0,279.0,12.0,485.0
2022-01-16 02:00:00+00:00,185.0,280.0,8.0,473.0
2022-01-16 03:00:00+00:00,209.0,253.0,19.0,481.0
2022-01-16 04:00:00+00:00,209.0,281.0,19.0,509.0
2022-01-16 05:00:00+00:00,245.0,204.0,37.0,486.0
2022-01-16 06:00:00+00:00,235.0,133.0,36.0,404.0
2022-01-16 07:00:00+00:00,179.0,0.0,16.0,195.0
2022-01-16 08:00:00+00:00,145.0,0.0,1.0,146.0
2022-01-16 09:00:00+00:00,164.0,0.0,6.0,170.0
2022-01-16 10:00:00+00:00,164.0,0.0,2.0,166.0
2022-01-16 11:00:00+00:00,162.0,0.0,8.0,170.0
2022-01-16 12:00:00+00:00,150.0,0.0,5.0,155.0
2022-01-16 13:00:00+00:00,122.0,10.0,0.0,132.0
2022-01-16 14:00:00+00:00,89.0,170.0,0.0,259.0
2022-01-16 15:00:00+00:00,88.0,206.0,0.0,294.0
2022-01-16 16:00:00+00:00,87.0,202.0,0.0,289.0
2022-01-16 17:00:00+00:00,101.0,164.0,0.0,265.0
2022-01-16 18:00:00+00:00,142.0,231.0,0.0,373.0
2022-01-16 19:00:00+00:00,120.0,389.0,0.0,509.0
2022-01-16 20:00:00+00:00,99.0,455.0,0.0,554.0
2022-01-16 21:00:00+00:00,113.0,470.0,0.0,583.0
2022-01-16 22:00:00+00:00,153.0,361.0,0.0,514.0
2022-01-16 23:00:00+00:00,171.0,321.0,12.0,504.0
2022-01-17 00:00:00+00:00,101.0,393.0,0.0,494.0
2022-01-17 01:00:00+00:00,119.0,358.0,2.0,479.0
2022-01-17 02:00:00+00:00,167.0,294.0,20.0,481.0
2022-01-17 03:00:00+00:00,190.0,321.0,24.0,535.0
2022-01-17 04:00:00+00:00,190.0,367.0,28.0,585.0
2022-01-17 05:00:00+00:00,153.0,436.0,13.0,602.0
2022-01-17 06:00:00+00:00,128.0,505.0,13.0,646.0
2022-01-17 07:00:00+00:00,165.0,338.0,27.0,530.0
2022-01-17 08:00:00+00:00,165.0,254.0,25.0,444.0
2022-01-17 09:00:00+00:00,190.0,239.0,33.0,462.0
2022-01-17 10:00:00+00:00,214.0,138.0,44.0,396.0
2022-01-17 11:00:00+00:00,203.0,168.0,40.0,411.0
2022-01-17 12:00:00+00:00,202.0,62.0,41.0,305.0
2022-01-17 13:00:00+00:00,180.0,45.0,31.0,256.0
2022-01-17 14:00:00+00:00,148.0,0.0,29.0,177.0
2022-01-17 15:00:00+00:00,155.0,25.0,34.0,214.0
2022-01-17 16:00:00+00:00,118.0,44.0,20.0,182.0
2022-01-17 17:00:00+00:00,132.0,1.0,23.0,156.0
2022-01-17 18:00:00+00:00,150.0,0.0,25.0,175.0
2022-01-17 19:00:00+00:00,79.0,163.0,0.0,242.0
2022-01-17 20:00:00+00:00,68.0,226.0,0.0,294.0
2022-01-17 21:00:00+00:00,107.0,259.0,0.0,366.0
2022-01-17 22:00:00+00:00,136.0,286.0,0.0,422.0
