,FR,DE,LU,NL,UK,sum
2024-01-01 00:00:00+00:00,0.0,468.75,19.5,0.0,0.0,488.25
2024-01-01 01:00:00+00:00,0.0,986.5,2.25,0.0,0.0,988.75
2024-01-01 02:00:00+00:00,0.0,994.25,8.25,0.0,0.0,1002.5
2024-01-01 03:00:00+00:00,0.0,672.0,43.0,0.0,0.0,715.0
2024-01-01 04:00:00+00:00,0.0,638.75,73.5,0.0,0.0,712.25
2024-01-01 05:00:00+00:00,0.0,994.25,16.75,0.0,0.0,1011.0
2024-01-01 06:00:00+00:00,0.0,1000.75,30.75,0.0,0.0,1031.5
2024-01-01 07:00:00+00:00,0.0,973.25,26.5,0.0,0.0,999.75
2024-01-01 08:00:00+00:00,0.0,444.25,79.25,0.0,0.0,523.5
2024-01-01 09:00:00+00:00,0.0,404.75,54.75,0.0,0.0,459.5
2024-01-01 10:00:00+00:00,0.0,403.5,83.75,0.0,0.0,487.25
2024-01-01 11:00:00+00:00,0.0,687.25,56.25,0.0,0.0,743.5
2024-01-01 12:00:00+00:00,8.5,813.75,0.0,0.0,0.0,822.25
2024-01-01 13:00:00+00:00,642.75,866.0,0.0,0.0,0.0,1508.75
2024-01-01 14:00:00+00:00,2454.75,0.0,0.75,0.0,0.0,2455.5
2024-01-01 15:00:00+00:00,3159.25,0.0,0.0,0.0,0.0,3159.25
2024-01-01 16:00:00+00:00,2716.75,0.0,0.0,0.0,0.0,2716.75
2024-01-01 17:00:00+00:00,3149.5,0.0,0.0,0.0,0.0,3149.5
2024-01-01 18:00:00+00:00,2946.5,0.0,0.0,0.0,0.0,2946.5
2024-01-01 19:00:00+00:00,3281.0,0.0,0.0,0.0,0.0,3281.0
2024-01-01 20:00:00+00:00,2792.5,0.0,0.0,0.0,0.0,2792.5
2024-01-01 21:00:00+00:00,2850.75,0.0,0.0,0.0,0.0,2850.75
2024-01-01 22:00:00+00:00,2537.75,0.0,0.0,0.0,0.0,2537.75
2024-01-01 23:00:00+00:00,2219.0,0.0,0.0,0.0,648.0,2381.0
2024-01-02 00:00:00+00:00,3109.75,0.0,0.0,0.0,0.0,3109.75
2024-01-02 01:00:00+00:00,2296.75,0.0,0.0,0.0,405.0,2398.0
2024-01-02 02:00:00+00:00,2259.5,0.0,0.0,0.0,0.0,2259.5
2024-01-02 03:00:00+00:00,2075.75,0.0,0.0,0.0,0.0,2075.75
2024-01-02 04:00:00+00:00,1769.75,0.0,0.0,0.0,33.0,1778.0
2024-01-02 05:00:00+00:00,2736.75,0.0,0.0,0.0,0.0,2736.75
2024-01-02 06:00:00+00:00,2256.25,0.0,0.0,0.0,6.0,2257.75
2024-01-02 07:00:00+00:00,2900.5,0.0,0.0,0.0,0.0,2900.5
2024-01-02 08:00:00+00:00,3829.75,0.0,0.0,0.0,0.0,3829.75
