,BY,LV,PL,SE,sum
2023-01-01 00:00:00+00:00,304.0,0.0,0.0,326.0,630.0
2023-01-01 01:00:00+00:00,292.0,0.0,0.0,285.0,577.0
2023-01-01 02:00:00+00:00,253.0,0.0,0.0,521.0,774.0
2023-01-01 03:00:00+00:00,254.0,0.0,0.0,407.0,661.0
2023-01-01 04:00:00+00:00,264.0,0.0,0.0,663.0,927.0
2023-01-01 05:00:00+00:00,268.0,0.0,0.0,611.0,879.0
2023-01-01 06:00:00+00:00,183.0,0.0,1.0,473.0,657.0
2023-01-01 07:00:00+00:00,77.0,0.0,164.0,463.0,704.0
2023-01-01 08:00:00+00:00,62.0,0.0,385.0,301.0,748.0
2023-01-01 09:00:00+00:00,50.0,0.0,358.0,79.0,487.0
2023-01-01 10:00:00+00:00,85.0,3.0,491.0,0.0,579.0
2023-01-01 11:00:00+00:00,123.0,29.0,492.0,0.0,644.0
2023-01-01 12:00:00+00:00,128.0,32.0,492.0,0.0,652.0
2023-01-01 13:00:00+00:00,91.0,0.0,492.0,0.0,583.0
2023-01-01 14:00:00+00:00,86.0,0.0,482.0,117.0,685.0
2023-01-01 15:00:00+00:00,224.0,60.0,7.0,403.0,694.0
2023-01-01 16:00:00+00:00,322.0,428.0,0.0,149.0,899.0
2023-01-01 17:00:00+00:00,331.0,440.0,0.0,124.0,895.0
2023-01-01 18:00:00+00:00,355.0,520.0,0.0,0.0,875.0
2023-01-01 19:00:00+00:00,324.0,547.0,0.0,0.0,871.0
2023-01-01 20:00:00+00:00,238.0,258.0,0.0,329.0,825.0
2023-01-01 21:00:00+00:00,281.0,298.0,0.0,266.0,845.0
2023-01-01 22:00:00+00:00,228.0,67.0,0.0,548.0,843.0
2023-01-01 23:00:00+00:00,296.0,308.0,0.0,311.0,915.0
2023-01-02 00:00:00+00:00,300.0,378.0,0.0,192.0,870.0
2023-01-02 01:00:00+00:00,306.0,443.0,0.0,73.0,822.0
2023-01-02 02:00:00+00:00,241.0,322.0,0.0,305.0,868.0
2023-01-02 03:00:00+00:00,114.0,56.0,142.0,472.0,784.0
2023-01-02 04:00:00+00:00,142.0,142.0,1.0,667.0,952.0
2023-01-02 05:00:00+00:00,206.0,337.0,0.0,731.0,1274.0
2023-01-02 06:00:00+00:00,212.0,405.0,0.0,702.0,1319.0
2023-01-02 07:00:00+00:00,167.0,288.0,0.0,657.0,1112.0
2023-01-02 08:00:00+00:00,63.0,0.0,288.0,726.0,1077.0
2023-01-02 09:00:00+00:00,55.0,0.0,258.0,733.0,1046.0
2023-01-02 10:00:00+00:00,53.0,0.0,485.0,598.0,1136.0
2023-01-02 11:00:00+00:00,82.0,16.0,369.0,686.0,1153.0
2023-01-02 12:00:00+00:00,61.0,0.0,427.0,684.0,1172.0
2023-01-02 13:00:00+00:00,46.0,0.0,389.0,625.0,1060.0
2023-01-02 14:00:00+00:00,82.0,13.0,74.0,704.0,873.0
2023-01-02 15:00:00+00:00,242.0,326.0,0.0,600.0,1168.0
2023-01-02 16:00:00+00:00,212.0,340.0,0.0,553.0,1105.0
2023-01-02 17:00:00+00:00,163.0,223.0,0.0,612.0,998.0
