,EE,LT,RU,sum
2024-01-01 00:00:00+00:00,0.0,352.0,0.0,352.0
2024-01-01 01:00:00+00:00,0.0,311.0,0.0,311.0
2024-01-01 02:00:00+00:00,0.0,523.0,0.0,523.0
2024-01-01 03:00:00+00:00,0.0,409.0,0.0,409.0
2024-01-01 04:00:00+00:00,0.0,408.0,0.0,408.0
2024-01-01 05:00:00+00:00,0.0,414.0,0.0,414.0
2024-01-01 06:00:00+00:00,0.0,548.0,0.0,548.0
2024-01-01 07:00:00+00:00,0.0,518.0,0.0,518.0
2024-01-01 08:00:00+00:00,0.0,582.0,0.0,582.0
2024-01-01 09:00:00+00:00,0.0,547.0,0.0,547.0
2024-01-01 10:00:00+00:00,0.0,489.0,0.0,489.0
2024-01-01 11:00:00+00:00,0.0,332.0,0.0,332.0
2024-01-01 12:00:00+00:00,0.0,458.0,0.0,458.0
2024-01-01 13:00:00+00:00,0.0,492.0,0.0,492.0
2024-01-01 14:00:00+00:00,0.0,345.0,0.0,345.0
2024-01-01 15:00:00+00:00,0.0,278.0,0.0,278.0
2024-01-01 16:00:00+00:00,0.0,242.0,0.0,242.0
2024-01-01 17:00:00+00:00,0.0,379.0,0.0,379.0
2024-01-01 18:00:00+00:00,0.0,548.0,0.0,548.0
2024-01-01 19:00:00+00:00,0.0,560.0,0.0,560.0
2024-01-01 20:00:00+00:00,0.0,607.0,0.0,607.0
2024-01-01 21:00:00+00:00,0.0,654.0,0.0,654.0
2024-01-01 22:00:00+00:00,0.0,626.0,0.0,626.0
2024-01-01 23:00:00+00:00,0.0,601.0,0.0,601.0
2024-01-02 00:00:00+00:00,0.0,594.0,0.0,594.0
2024-01-02 01:00:00+00:00,0.0,574.0,0.0,574.0
2024-01-02 02:00:00+00:00,0.0,533.0,0.0,533.0
2024-01-02 03:00:00+00:00,0.0,495.0,0.0,495.0
2024-01-02 04:00:00+00:00,0.0,387.0,0.0,387.0
2024-01-02 05:00:00+00:00,0.0,378.0,0.0,378.0
2024-01-02 06:00:00+00:00,0.0,344.0,0.0,344.0
2024-01-02 07:00:00+00:00,0.0,369.0,0.0,369.0
2024-01-02 08:00:00+00:00,0.0,478.0,0.0,478.0
2024-01-02 09:00:00+00:00,0.0,461.0,0.0,461.0
2024-01-02 10:00:00+00:00,0.0,484.0,0.0,484.0
2024-01-02 11:00:00+00:00,0.0,534.0,0.0,534.0
2024-01-02 12:00:00+00:00,0.0,527.0,0.0,527.0
2024-01-02 13:00:00+00:00,0.0,557.0,0.0,557.0
2024-01-02 14:00:00+00:00,0.0,539.0,0.0,539.0
2024-01-02 15:00:00+00:00,0.0,558.0,0.0,558.0
2024-01-02 16:00:00+00:00,0.0,585.0,0.0,585.0
2024-01-02 17:00:00+00:00,0.0,574.0,0.0,574.0
2024-01-02 18:00:00+00:00,0.0,606.0,0.0,606.0
2024-01-02 19:00:00+00:00,0.0,489.0,0.0,489.0
2024-01-02 20:00:00+00:00,0.0,551.0,0.0,551.0
2024-01-02 21:00:00+00:00,0.0,539.0,0.0,539.0
2024-01-02 22:00:00+00:00,0.0,500.0,0.0,500.0
2024-01-02 23:00:00+00:00,0.0,484.0,0.0,484.0
2024-01-03 00:00:00+00:00,0.0,482.0,0.0,482.0
2024-01-03 01:00:00+00:00,0.0,476.0,0.0,476.0
2024-01-03 02:00:00+00:00,0.0,487.0,0.0,487.0
2024-01-03 03:00:00+00:00,0.0,503.0,0.0,503.0
2024-01-03 04:00:00+00:00,0.0,553.0,0.0,553.0
2024-01-03 05:00:00+00:00,0.0,542.0,0.0,542.0
2024-01-03 06:00:00+00:00,0.0,554.0,0.0,554.0
2024-01-03 07:00:00+00:00,0.0,500.0,0.0,500.0
2024-01-03 08:00:00+00:00,0.0,523.0,0.0,523.0
2024-01-03 09:00:00+00:00,0.0,590.0,0.0,590.0
2024-01-03 10:00:00+00:00,0.0,583.0,0.0,583.0
2024-01-03 11:00:00+00:00,0.0,528.0,0.0,528.0
2024-01-03 12:00:00+00:00,0.0,581.0,0.0,581.0
2024-01-03 13:00:00+00:00,0.0,608.0,0.0,608.0
2024-01-03 14:00:00+00:00,0.0,694.0,0.0,694.0
2024-01-03 15:00:00+00:00,0.0,603.0,0.0,603.0
2024-01-03 16:00:00+00:00,0.0,683.0,0.0,683.0
2024-01-03 17:00:00+00:00,0.0,559.0,0.0,559.0
2024-01-03 18:00:00+00:00,0.0,474.0,0.0,474.0
2024-01-03 19:00:00+00:00,0.0,394.0,0.0,394.0
2024-01-03 20:00:00+00:00,0.0,560.0,0.0,560.0
2024-01-03 21:00:00+00:00,0.0,577.0,0.0,577.0
2024-01-03 22:00:00+00:00,0.0,421.0,0.0,421.0
2024-01-03 23:00:00+00:00,0.0,473.0,0.0,473.0
2024-01-04 00:00:00+00:00,0.0,528.0,0.0,528.0
2024-01-04 01:00:00+00:00,0.0,595.0,0.0,595.0
2024-01-04 02:00:00+00:00,0.0,555.0,0.0,555.0
2024-01-04 03:00:00+00:00,0.0,683.0,0.0,683.0
2024-01-04 04:00:00+00:00,0.0,841.0,0.0,841.0
2024-01-04 05:00:00+00:00,0.0,821.0,0.0,821.0
2024-01-04 06:00:00+00:00,0.0,763.0,0.0,763.0
2024-01-04 07:00:00+00:00,0.0,722.0,0.0,722.0
2024-01-04 08:00:00+00:00,0.0,695.0,0.0,695.0
2024-01-04 09:00:00+00:00,0.0,680.0,0.0,680.0
2024-01-04 10:00:00+00:00,0.0,799.0,0.0,799.0
2024-01-04 11:00:00+00:00,0.0,683.0,0.0,683.0
2024-01-04 12:00:00+00:00,0.0,670.0,0.0,670.0
2024-01-04 13:00:00+00:00,0.0,645.0,0.0,645.0
2024-01-04 14:00:00+00:00,0.0,541.0,0.0,541.0
2024-01-04 15:00:00+00:00,0.0,537.0,0.0,537.0
2024-01-04 16:00:00+00:00,0.0,533.0,0.0,533.0
2024-01-04 17:00:00+00:00,0.0,531.0,0.0,531.0
2024-01-04 18:00:00+00:00,0.0,525.0,0.0,525.0
2024-01-04 19:00:00+00:00,0.0,533.0,0.0,533.0
2024-01-04 20:00:00+00:00,0.0,521.0,0.0,521.0
2024-01-04 21:00:00+00:00,0.0,418.0,0.0,418.0
2024-01-04 22:00:00+00:00,0.0,156.0,0.0,156.0
2024-01-04 23:00:00+00:00,0.0,211.0,0.0,211.0
2024-01-05 00:00:00+00:00,0.0,213.0,0.0,213.0
2024-01-05 01:00:00+00:00,0.0,196.0,0.0,196.0
2024-01-05 02:00:00+00:00,0.0,195.0,0.0,195.0
2024-01-05 03:00:00+00:00,0.0,147.0,0.0,147.0
2024-01-05 04:00:00+00:00,0.0,314.0,0.0,314.0
2024-01-05 05:00:00+00:00,0.0,367.0,0.0,367.0
2024-01-05 06:00:00+00:00,0.0,347.0,0.0,347.0
2024-01-05 07:00:00+00:00,0.0,319.0,0.0,319.0
2024-01-05 08:00:00+00:00,0.0,394.0,0.0,394.0
2024-01-05 09:00:00+00:00,0.0,478.0,0.0,478.0
2024-01-05 10:00:00+00:00,0.0,536.0,0.0,536.0
2024-01-05 11:00:00+00:00,0.0,568.0,0.0,568.0
2024-01-05 12:00:00+00:00,0.0,582.0,0.0,582.0
2024-01-05 13:00:00+00:00,0.0,651.0,0.0,651.0
2024-01-05 14:00:00+00:00,0.0,745.0,0.0,745.0
2024-01-05 15:00:00+00:00,0.0,796.0,0.0,796.0
2024-01-05 16:00:00+00:00,0.0,872.0,0.0,872.0
2024-01-05 17:00:00+00:00,0.0,847.0,0.0,847.0
2024-01-05 18:00:00+00:00,0.0,693.0,0.0,693.0
2024-01-05 19:00:00+00:00,0.0,536.0,0.0,536.0
2024-01-05 20:00:00+00:00,0.0,615.0,0.0,615.0
2024-01-05 21:00:00+00:00,0.0,635.0,0.0,635.0
2024-01-05 22:00:00+00:00,0.0,530.0,0.0,530.0
2024-01-05 23:00:00+00:00,0.0,557.0,0.0,557.0
2024-01-06 00:00:00+00:00,0.0,560.0,0.0,560.0
2024-01-06 01:00:00+00:00,0.0,534.0,0.0,534.0
2024-01-06 02:00:00+00:00,0.0,479.0,0.0,479.0
2024-01-06 03:00:00+00:00,0.0,475.0,0.0,475.0
2024-01-06 04:00:00+00:00,0.0,438.0,0.0,438.0
2024-01-06 05:00:00+00:00,0.0,440.0,0.0,440.0
2024-01-06 06:00:00+00:00,0.0,486.0,0.0,486.0
2024-01-06 07:00:00+00:00,0.0,531.0,0.0,531.0
2024-01-06 08:00:00+00:00,0.0,527.0,0.0,527.0
2024-01-06 09:00:00+00:00,0.0,552.0,0.0,552.0
