,DE,SE,NO,UK,NL,sum
2023-01-01 00:00:00+00:00,2315.0,0.0,0.0,,575.0,2458.75
2023-01-01 01:00:00+00:00,2596.25,0.0,0.0,,619.0,2751.0
2023-01-01 02:00:00+00:00,2732.75,0.0,0.0,,604.0,2883.75
2023-01-01 03:00:00+00:00,2567.0,0.0,0.0,,580.0,2712.0
2023-01-01 04:00:00+00:00,2692.5,0.0,0.0,,670.0,2860.0
2023-01-01 05:00:00+00:00,2519.25,0.0,0.0,,692.0,2692.25
2023-01-01 06:00:00+00:00,2546.0,0.0,0.0,,571.0,2688.75
2023-01-01 07:00:00+00:00,2322.0,0.0,0.0,,680.0,2492.0
2023-01-01 08:00:00+00:00,2555.75,0.0,0.0,,253.0,2619.0
2023-01-01 09:00:00+00:00,2875.0,0.0,0.0,,0.0,2875.0
2023-01-01 10:00:00+00:00,2872.5,0.0,0.0,,0.0,2872.5
2023-01-01 11:00:00+00:00,2651.5,0.0,0.0,,0.0,2651.5
2023-01-01 12:00:00+00:00,2714.0,0.0,0.0,,3.0,2714.75
2023-01-01 13:00:00+00:00,2012.0,0.0,0.0,,0.0,2012.0
2023-01-01 14:00:00+00:00,1468.5,0.0,0.0,,0.0,1468.5
2023-01-01 15:00:00+00:00,985.0,419.0,0.0,,0.0,1089.75
2023-01-01 16:00:00+00:00,848.0,685.0,0.0,,0.0,1019.25
2023-01-01 17:00:00+00:00,950.5,671.0,0.0,,0.0,1118.25
2023-01-01 18:00:00+00:00,1260.75,724.0,0.0,,0.0,1441.75
2023-01-01 19:00:00+00:00,1523.0,755.0,0.0,,0.0,1711.75
2023-01-01 20:00:00+00:00,1353.0,679.0,0.0,,0.0,1522.75
2023-01-01 21:00:00+00:00,1494.0,725.0,0.0,,0.0,1675.25
2023-01-01 22:00:00+00:00,1835.25,861.0,0.0,,0.0,2050.5
2023-01-01 23:00:00+00:00,1436.25,1022.0,0.0,,12.0,1694.75
2023-01-02 00:00:00+00:00,2288.5,919.0,0.0,,0.0,2518.25
2023-01-02 01:00:00+00:00,2419.25,835.0,0.0,,0.0,2628.0
2023-01-02 02:00:00+00:00,2568.75,337.0,0.0,,58.0,2667.5
2023-01-02 03:00:00+00:00,2594.25,698.0,0.0,,83.0,2789.5
2023-01-02 04:00:00+00:00,2861.0,303.0,0.0,,116.0,2965.75
2023-01-02 05:00:00+00:00,2691.75,432.0,0.0,,98.0,2824.25
2023-01-02 06:00:00+00:00,2434.0,653.0,3.0,,0.0,2598.0
2023-01-02 07:00:00+00:00,2048.5,563.0,2.0,,0.0,2189.75
2023-01-02 08:00:00+00:00,2427.5,377.0,3.0,,0.0,2522.5
2023-01-02 09:00:00+00:00,2736.0,37.0,2.0,,0.0,2745.75
2023-01-02 10:00:00+00:00,2389.5,385.0,3.0,,0.0,2486.5
2023-01-02 11:00:00+00:00,2500.25,202.0,3.0,,0.0,2551.5
2023-01-02 12:00:00+00:00,2543.5,1.0,3.0,,0.0,2544.5
2023-01-02 13:00:00+00:00,1628.75,0.0,6.0,,0.0,1630.25
2023-01-02 14:00:00+00:00,1387.0,0.0,3.0,,0.0,1387.75
2023-01-02 15:00:00+00:00,1800.0,0.0,3.0,,0.0,1800.75
2023-01-02 16:00:00+00:00,1605.0,0.0,3.0,,0.0,1605.75
2023-01-02 17:00:00+00:00,173.5,63.0,3.0,,0.0,190.0
2023-01-02 18:00:00+00:00,165.5,826.0,2.0,,0.0,372.5
2023-01-02 19:00:00+00:00,353.0,464.0,2.0,,0.0,469.5
2023-01-02 20:00:00+00:00,183.5,296.0,2.0,,0.0,258.0
2023-01-02 21:00:00+00:00,62.25,374.0,3.0,,0.0,156.5
2023-01-02 22:00:00+00:00,50.75,314.0,3.0,,0.0,130.0
2023-01-02 23:00:00+00:00,322.0,284.0,0.0,,0.0,393.0
2023-01-03 00:00:00+00:00,707.5,248.0,0.0,,0.0,769.5
2023-01-03 01:00:00+00:00,415.0,224.0,0.0,,0.0,471.0
2023-01-03 02:00:00+00:00,418.75,213.0,0.0,,34.0,480.5
2023-01-03 03:00:00+00:00,571.75,185.0,3.0,,0.0,618.75
2023-01-03 04:00:00+00:00,196.5,264.0,3.0,,0.0,263.25
2023-01-03 05:00:00+00:00,0.0,856.0,61.0,,0.0,229.25
2023-01-03 06:00:00+00:00,0.0,1134.0,783.0,,0.0,479.25
2023-01-03 07:00:00+00:00,0.0,1165.0,572.0,,0.0,434.25
2023-01-03 08:00:00+00:00,1.0,909.0,217.0,,0.0,282.5
2023-01-03 09:00:00+00:00,7.75,769.0,163.0,,0.0,240.75
2023-01-03 10:00:00+00:00,0.0,656.0,70.0,,0.0,181.5
2023-01-03 11:00:00+00:00,0.0,692.0,65.0,,0.0,189.25
2023-01-03 12:00:00+00:00,53.0,479.0,120.0,,0.0,202.75
2023-01-03 13:00:00+00:00,0.0,1122.0,154.0,,9.0,321.25
2023-01-03 14:00:00+00:00,0.0,782.0,186.0,,301.0,317.25
2023-01-03 15:00:00+00:00,80.25,847.0,347.0,,16.0,382.75
2023-01-03 16:00:00+00:00,0.0,1175.0,441.0,,0.0,404.0
2023-01-03 17:00:00+00:00,119.75,696.0,259.0,,0.0,358.5
2023-01-03 18:00:00+00:00,90.25,452.0,186.0,,0.0,249.75
