,CZ,DE,HU,IT,SI,CH,sum
2024-01-01 00:00:00+00:00,1467.0,1980.75,0.0,0.0,0.0,0.0,2347.5
2024-01-01 01:00:00+00:00,1184.0,1824.5,0.0,0.0,0.0,0.0,2120.5
2024-01-01 02:00:00+00:00,773.0,1562.25,0.0,0.0,0.0,0.0,1755.5
2024-01-01 03:00:00+00:00,636.0,1499.5,0.0,0.0,0.0,0.0,1658.5
2024-01-01 04:00:00+00:00,810.0,1432.25,0.0,0.0,0.0,0.0,1634.75
2024-01-01 05:00:00+00:00,1098.0,1353.75,0.0,0.0,0.0,0.0,1628.25
2024-01-01 06:00:00+00:00,1101.0,1469.5,0.0,0.0,0.0,0.0,1744.75
2024-01-01 07:00:00+00:00,1189.0,1565.5,0.0,0.0,0.0,0.0,1862.75
2024-01-01 08:00:00+00:00,975.0,1415.5,0.0,0.0,0.0,0.0,1659.25
2024-01-01 09:00:00+00:00,879.0,1852.25,0.0,0.0,0.0,0.0,2072.0
2024-01-01 10:00:00+00:00,635.0,1871.5,0.0,0.0,0.0,0.0,2030.25
2024-01-01 11:00:00+00:00,527.0,1691.5,0.0,0.0,0.0,0.0,1823.25
2024-01-01 12:00:00+00:00,452.0,1446.25,0.0,0.0,0.0,0.0,1559.25
2024-01-01 13:00:00+00:00,557.0,1583.5,0.0,0.0,0.0,281.0,1793.0
2024-01-01 14:00:00+00:00,860.0,1109.5,0.0,0.0,0.0,454.0,1438.0
2024-01-01 15:00:00+00:00,905.0,303.0,0.0,0.0,0.0,358.0,618.75
2024-01-01 16:00:00+00:00,986.0,247.0,0.0,0.0,0.0,307.0,570.25
2024-01-01 17:00:00+00:00,938.0,223.0,0.0,0.0,0.0,383.0,553.25
2024-01-01 18:00:00+00:00,906.0,206.75,0.0,29.0,0.0,209.0,492.75
2024-01-01 19:00:00+00:00,864.0,180.75,0.0,83.0,0.0,269.0,484.75
2024-01-01 20:00:00+00:00,926.0,367.75,0.0,55.0,0.0,275.0,681.75
2024-01-01 21:00:00+00:00,888.0,354.25,0.0,40.0,0.0,361.0,676.5
2024-01-01 22:00:00+00:00,871.0,643.5,0.0,89.0,0.0,318.0,963.0
2024-01-01 23:00:00+00:00,840.0,1114.0,0.0,117.0,15.25,553.0,1506.75
2024-01-02 00:00:00+00:00,612.0,1204.0,0.0,156.0,0.75,664.0,1562.75
2024-01-02 01:00:00+00:00,762.0,1336.0,0.0,120.0,0.0,524.0,1687.5
2024-01-02 02:00:00+00:00,759.0,1380.0,0.0,108.0,0.0,612.0,1749.75
2024-01-02 03:00:00+00:00,932.0,1851.25,0.0,108.0,0.0,584.0,2257.25
2024-01-02 04:00:00+00:00,1229.0,2123.25,0.0,20.0,0.0,747.0,2622.25
2024-01-02 05:00:00+00:00,1081.0,1372.25,0.0,0.0,0.0,833.0,1850.75
2024-01-02 06:00:00+00:00,1065.0,1403.25,0.0,0.0,0.0,962.0,1910.0
2024-01-02 07:00:00+00:00,908.0,1233.0,0.0,0.0,0.0,806.0,1661.5
2024-01-02 08:00:00+00:00,699.0,1022.0,0.0,0.0,0.0,573.0,1340.0
2024-01-02 09:00:00+00:00,581.0,927.0,0.0,0.0,0.0,848.0,1284.25
2024-01-02 10:00:00+00:00,486.0,561.0,0.0,0.0,0.0,909.0,909.75
2024-01-02 11:00:00+00:00,443.0,460.25,0.0,0.0,0.0,530.0,703.5
2024-01-02 12:00:00+00:00,428.0,548.75,0.0,0.0,0.0,647.0,817.5
2024-01-02 13:00:00+00:00,706.0,932.5,0.0,0.0,0.0,819.0,1313.75
2024-01-02 14:00:00+00:00,868.0,1237.75,0.0,0.0,0.0,795.0,1653.5
2024-01-02 15:00:00+00:00,1000.0,1408.5,0.0,0.0,0.0,732.0,1841.5
2024-01-02 16:00:00+00:00,1049.0,1376.25,0.0,0.0,0.0,825.0,1844.75
2024-01-02 17:00:00+00:00,1010.0,1262.25,0.0,0.0,0.0,741.0,1700.0
2024-01-02 18:00:00+00:00,885.0,1261.75,0.0,0.0,0.0,756.0,1672.0
2024-01-02 19:00:00+00:00,830.0,1588.25,0.0,0.0,0.0,753.0,1984.0
2024-01-02 20:00:00+00:00,969.0,1684.25,0.0,0.0,0.0,467.0,2043.25
2024-01-02 21:00:00+00:00,1183.0,1823.5,0.0,0.0,0.0,273.0,2187.5
2024-01-02 22:00:00+00:00,1316.0,1954.5,0.0,0.0,0.0,39.0,2293.25
