DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BA,2019,0.43,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2000,5.72,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2001,4.90,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2002,5.51,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2003,9.91,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2004,10.03,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2005,11.58,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2006,8.12,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2007,5.83,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2008,5.81,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2009,7.26,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2010,8.58,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2011,9.22,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2012,5.11,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2013,4.60,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2014,5.33,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2015,4.54,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2016,3.77,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2017,5.77,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2018,3.89,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BE,2019,5.77,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2000,1.95,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2001,1.62,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2002,1.73,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2003,1.60,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2004,1.61,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2005,1.31,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2006,1.46,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2007,1.86,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2008,1.73,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2009,1.46,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2010,0.93,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2011,1.66,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2012,1.68,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2013,1.16,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2014,1.03,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2015,1.27,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2016,1.48,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2017,1.75,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2018,1.35,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,BG,2019,1.56,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2000,0.64,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2001,0.53,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2002,0.76,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2003,0.72,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2004,0.81,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2005,0.82,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2006,0.80,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2007,0.69,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2008,0.67,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2009,0.72,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2010,0.75,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2011,0.90,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2012,1.04,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2013,0.56,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2014,0.64,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2015,0.69,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2016,0.66,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2017,0.84,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2018,0.72,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CH,2019,0.59,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2000,80.91,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2001,118.72,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2002,142.31,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2003,119.00,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2004,124.71,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2005,129.53,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2006,111.26,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2007,107.12,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2008,89.07,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2009,80.34,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2010,144.4,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2011,98.41,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2012,109.51,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2013,120.88,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2014,107.44,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2015,117.33,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2016,102.08,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2017,101.12,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2018,92.47,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CY,2019,113.00,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2000,11.79,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2001,8.51,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2002,4.66,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2003,9.58,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2004,7.39,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2005,5.71,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2006,5.04,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2007,6.54,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2008,8.32,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2009,5.41,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2010,3.30,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2011,5.27,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2012,6.24,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2013,3.60,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2014,10.70,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2015,10.76,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2016,10.70,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2017,13.63,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2018,10.70,
ESTAT:SDG_06_60(1.0),19/04/24 11:00:00,A,PC,CZ,2019,12.07,
