,DE,AT,SE,FR,IT,PL,ES,NL,BE,IE
2022-02-08,7667339904.0,4650114176.0,587807318048.0,0.0,2515225856.0,144892802240.0,0.0,13753636864.0,0.0,85267664960.0
2022-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-10,1006674892032.0,0.0,205621918560.0,426525567104.0,142586696.0,672860408672.0,343991628736.0,188790261760.0,113520079872.0,117232553824.0
2022-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-12,159698048256.0,0.0,1437704289152.0,33057337984.0,8008256912.0,244298080768.0,216825083826.8305,171243198464.0,0.0,250592173056.0
2022-02-13,749370435395.8674,0.0,2743077884416.0,1681842342400.0,0.0,189224103936.0,2211649727904.0,512464439808.0,71328692736.0,1049145793984.0
2022-02-14,1296783344640.0,0.0,3127426107904.0,2607280838144.0,284397872564.0,469727023360.0,355847259576.0,565757173760.0,182320525312.0,11765420256.0
2022-02-15,616802048448.0,490152590336.0,532644087424.0,2488142426880.0,1663896365014.0,175861094912.0,2056966508085.5,194303184320.0,131911901184.0,1163233622784.0
2022-02-16,3838671167488.0,110026193280.0,1591177374016.0,3205067424384.0,1565981932340.5,2232690552320.0,842965764204.8306,596068907008.0,293247297536.0,99150159296.0
2022-02-17,341388876012.50586,573409518592.0,711264173184.0,602636824448.0,452501010864.0,3827601633792.0,508489647488.0,10959544772.906372,0.0,459021501232.0
2022-02-18,4605699313664.0,613580262144.0,952816468096.0,1674787159872.0,12912233920.0,130352646400.0,390487048384.0,470162862080.0,323611238400.0,420906580720.0
2022-02-19,75231386880.0,119807550464.0,799961795264.0,1330174829603.6345,1626963677472.0,480715115264.0,686089917132.6127,53875493408.0,57243136000.0,722557319264.0
2022-02-20,2905892156188.611,158257048960.0,144174716181.36334,1298421019520.0,1337868930624.0,486521897984.0,224856562560.0,475877125504.0,466674700288.0,679769366016.0
2022-02-21,2013273978624.0,865434476544.0,1595976553920.0,706806186880.0,569512758676.5,3856762492928.0,252247041400.0,5517643008.0,17266130944.0,142595330432.0
2022-02-22,1713832429568.0,25013327104.0,47317253504.0,170270758528.0,384618273572.0,315133073536.0,2104499648.0,281683378176.0,7033669120.0,356933029056.0
2022-02-23,0.0,16698625280.0,695389716025.4338,14885976576.0,13305022848.0,554545710336.0,270031116038.5,6826280960.0,0.0,27092139376.0
2022-02-24,996201218415.9829,0.0,1761279391744.0,395349168768.0,63504669892.0,82238348800.0,917862200444.0,253820808704.0,84028062720.0,188596340864.0
2022-02-25,85394055936.0,5651412992.0,777677311920.0,140410572032.0,74393676420.0,1053829524416.0,975044991739.875,10008432896.0,0.0,202411936832.0
2022-02-26,0.0,3298588928.0,81197326272.0,2442800384.0,744693354368.0,0.0,94288502524.5,18446717056.0,0.0,328405919680.0
2022-02-27,0.0,0.0,1430387729920.0,0.0,590145682720.0,0.0,86408165193.5,0.0,0.0,75695712576.0
2022-02-28,0.0,0.0,45951959520.0,789166509440.0,20483599880.0,14800916224.0,1282281537264.0,7205063184.0,0.0,399716024472.0
2022-03-01,265048779776.0,0.0,817404249508.0,1283147237184.0,10351757952.0,0.0,2576415506432.0,209073824768.0,78230720576.0,106667519552.0
2022-03-02,90172593664.0,0.0,77315694680.0,1302862211663.5425,0.0,407314112.0,421048729408.0,3709494528.0,64088604672.0,171233049328.0
